signal_id,event,signal_bar_time_utc,signal_time_utc,signal_price,context,received_at_utc,received_et,pine_to_webhook_ms,bot_action
2026-09-08T01:22:00Z,SIGNAL_LONG,2026-09-08T01:21:00+00:00,2026-09-08T01:22:00+00:00,29652.75,BULLISH,2026-09-08T01:22:00.369326+00:00,2026-09-07 21:22:00 EDT,,WOULD_ENTER
f62907bb-f5ad-4dba-8c41-ff74de9bd065,SIGNAL_LONG,2026-09-08T01:48:00+00:00,2026-09-08T01:48:00+00:00,29676.75,BULLISH,2026-09-08T01:49:01.882044+00:00,2026-09-07 21:49:01 EDT,,WOULD_ENTER
2f88b5ae-7b23-43e3-85d2-f4ca2f203291,SIGNAL_LONG,2026-09-08T02:10:00+00:00,2026-09-08T02:10:00+00:00,29690.5,BULLISH,2026-09-08T02:10:59.805544+00:00,2026-09-07 22:10:59 EDT,,WOULD_ENTER
c9f67329-a4c9-4341-98bb-a249b7d30456,SIGNAL_LONG,2026-09-08T02:27:00+00:00,2026-09-08T02:27:00+00:00,29715.75,BULLISH,2026-09-08T02:28:01.402264+00:00,2026-09-07 22:28:01 EDT,,WOULD_ENTER
2026-09-08T04:07:00Z,SIGNAL_LONG,2026-09-08T04:06:00+00:00,2026-09-08T04:07:00+00:00,29742.25,BULLISH,2026-09-08T04:07:00.421171+00:00,2026-09-08 00:07:00 EDT,,WOULD_ENTER
2026-09-08T05:28:00Z,SIGNAL_SHORT,2026-09-08T05:27:00+00:00,2026-09-08T05:28:00+00:00,29692.25,BEARISH,2026-09-08T05:28:00.362665+00:00,2026-09-08 01:28:00 EDT,,WOULD_ENTER
2026-09-08T06:55:02Z,SIGNAL_SHORT,2026-09-08T06:54:00+00:00,2026-09-08T06:55:02+00:00,29586.75,BEARISH,2026-09-08T06:55:08.356501+00:00,2026-09-08 02:55:08 EDT,,WOULD_ENTER
2026-09-08T07:04:02Z,SIGNAL_LONG,2026-09-08T07:03:00+00:00,2026-09-08T07:04:02+00:00,29610.25,BULLISH,2026-09-08T07:04:02.403410+00:00,2026-09-08 03:04:02 EDT,,WOULD_ENTER
2026-09-08T08:31:00Z,SIGNAL_SHORT,2026-09-08T08:30:00+00:00,2026-09-08T08:31:00+00:00,29499.25,BEARISH,2026-09-08T08:31:01.748407+00:00,2026-09-08 04:31:01 EDT,,WOULD_ENTER
2026-09-08T08:52:00Z,SIGNAL_SHORT,2026-09-08T08:51:00+00:00,2026-09-08T08:52:00+00:00,29492.5,BEARISH,2026-09-08T08:52:00.605497+00:00,2026-09-08 04:52:00 EDT,,WOULD_ENTER
2026-09-08T09:25:00Z,SIGNAL_LONG,2026-09-08T09:24:00+00:00,2026-09-08T09:25:00+00:00,29544.75,BULLISH,2026-09-08T09:25:04.017459+00:00,2026-09-08 05:25:04 EDT,,WOULD_ENTER
2026-09-08T10:46:01Z,SIGNAL_SHORT,2026-09-08T10:45:00+00:00,2026-09-08T10:46:01+00:00,29589.0,BEARISH,2026-09-08T10:46:05.079697+00:00,2026-09-08 06:46:05 EDT,,WOULD_ENTER
2026-09-08T11:17:00Z,SIGNAL_LONG,2026-09-08T11:16:00+00:00,2026-09-08T11:17:00+00:00,29566.0,BULLISH,2026-09-08T11:16:59.920507+00:00,2026-09-08 07:16:59 EDT,,WOULD_ENTER
