family_id,family_definition,period_type,period,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2024,104,14.75177304964539,43,60,1,41.34615384615385,0.004018958946459385,-0.5336982274588633,0.41797173043177605,1.0081388264598241,8.875681199421194,43,61,0,41.34615384615385,-0.031583710449050575,-0.557795093219303,-3.2847058867012597,0.9385687687356489,10.3267961265297,0.9603172863138395,0.9638271134345137
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2025,75,10.638297872340425,27,48,0,36.0,-0.20640085948817039,-0.6087169597707835,-15.480064461612779,0.6127057127647911,19.973962317317813,27,48,0,36.0,-0.23793595617373758,-0.658995187666252,-17.84519671303032,0.5705167101339045,21.963896623330122,0.9070320077998711,0.9416950081817042
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2026,43,6.099290780141844,23,20,0,53.48837209302325,0.2074185094107773,0.033030888748634205,8.918995904663424,1.4980264419406777,4.768570956881814,23,20,0,53.48837209302325,0.18684486395430186,0.007357394664375542,8.03432915003498,1.43956416870358,5.012166211464246,1.0805301647426024,0.8376854515890492
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,Chronological half,First 50%,118,16.73758865248227,49,68,1,41.52542372881356,-0.0026711141755020157,-0.5107645514584898,-0.31519147270923786,0.9945231287059485,8.875681199421194,49,69,0,41.52542372881356,-0.037628968581895586,-0.5384508455502213,-4.440218292663679,0.9258668286506898,10.3267961265297,0.9670896185169535,0.959336799039161
F::Long::Same-bar Setup+BOS::Penetration + same-bar reclaim,Long × Same-bar Setup+BOS × Penetration + same-bar reclaim,Chronological half,Second 50%,104,14.75177304964539,44,60,0,42.30769230769231,-0.05603755147892637,-0.4500784315711779,-5.827905353808342,0.8872400648638995,16.30374052476904,44,60,0,42.30769230769231,-0.08322456881762418,-0.4796482895650327,-8.655355157032915,0.8379232249311855,17.961017869511945,0.9639098121207789,0.9008065148319748
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,Year,2024,31,4.397163120567376,16,15,0,51.61290322580645,0.1295362696295162,0.03218590420407046,4.015624358515002,1.2925624633432786,6.480717121816939,15,16,0,48.38709677419355,0.08346228474255168,-0.06115321798773952,2.587330827019102,1.1765142578996195,7.066256995196353,0.9459501617754204,0.8333448471413487
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,Year,2025,34,4.822695035460993,17,17,0,50.0,-0.013042664764402466,-0.08960724150511756,-0.44345060198968383,0.9717351162674616,4.762515812823385,17,17,0,50.0,-0.042570039777671764,-0.11524379047745852,-1.4473813524408399,0.9108759826385973,5.0307268612019005,0.9601291892143948,0.7840531628218137
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,Year,2026,15,2.127659574468085,4,11,0,26.666666666666668,-0.6438758991414404,-1.0,-9.658138487121606,0.12198741026167212,10.044213704332682,4,11,0,26.666666666666668,-0.6653062868842993,-1.0162857812208317,-9.97959430326449,0.11168246615239753,10.352340733214708,0.5630562542948051,1.1288676783104634
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,Chronological half,First 50%,39,5.531914893617022,19,20,0,48.717948717948715,0.05777201399209277,-0.2640759169826851,2.2531085456916182,1.1238094960789657,6.480717121816939,18,21,0,46.15384615384615,0.014185343873040374,-0.28660003931356137,0.5532284110485746,1.0285894429172582,7.066256995196353,0.8958253994746971,0.856723637923885
F::Long::Same-bar Setup+BOS::Tolerance-only shallow touch,Long × Same-bar Setup+BOS × Tolerance-only shallow touch,Chronological half,Second 50%,41,5.815602836879433,18,23,0,43.90243902439025,-0.2033920311289733,-1.0,-8.339073276287905,0.6246469273798034,12.631355811975721,18,23,0,43.90243902439025,-0.22909446926182445,-1.0068402896697188,-9.392873239734802,0.5876967367200882,13.286534519228505,0.8653048947130817,0.8783485632426564
F::Short::Same-bar Setup+BOS::Penetration + same-bar reclaim,Short × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2024,72,10.212765957446809,28,44,0,38.88888888888889,0.003021523646622578,-1.0,0.2175497025568256,1.0053081560864021,7.26231551037162,27,45,0,37.5,-0.03733092046483524,-1.0107142056541787,-2.6878262734681373,0.9370872349260392,8.26619221930747,1.0770495865195826,0.8351595466738542
F::Short::Same-bar Setup+BOS::Penetration + same-bar reclaim,Short × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2025,81,11.48936170212766,31,50,0,38.2716049382716,-0.04563822553528751,-1.0,-3.6966962683582887,0.9168429307899572,13.227448602452828,31,50,0,38.2716049382716,-0.07565762302908875,-1.0108692498756457,-6.128267465356189,0.86675349888474,15.085521061874754,1.1057086604105937,0.8832549277452213
F::Short::Same-bar Setup+BOS::Penetration + same-bar reclaim,Short × Same-bar Setup+BOS × Penetration + same-bar reclaim,Year,2026,42,5.957446808510638,18,24,0,42.857142857142854,0.045215841067667704,-0.44815660181107037,1.8990653248420437,1.0956915032983368,4.679076552893833,18,24,0,42.857142857142854,0.027060462820438745,-0.46920756461724333,1.1365394384584273,1.0560973609606188,4.802267624143703,1.072567611125682,0.9633995181817487
F::Short::Same-bar Setup+BOS::Penetration + same-bar reclaim,Short × Same-bar Setup+BOS × Penetration + same-bar reclaim,Chronological half,First 50%,88,12.4822695035461,36,52,0,40.909090909090914,0.038744797376499836,-1.0,3.409542169131986,1.069605158972795,7.26231551037162,35,53,0,39.77272727272727,0.00023611574450259226,-1.009142802003624,0.02077818551622812,1.0004076158486574,8.628960077586784,1.1195457985444586,0.8432986307957665
