model,dimension,bucket,N,win_pct,avg_R,total_R,profit_factor
Control,direction,Long,75,45,0.09,6.61,1.2
Control,direction,Short,58,34,-0.07,-4.13,0.9
Control,HTF_regime,Bull,82,45,0.15,12.49,1.3
Control,HTF_regime,Bear,51,33,-0.20,-10.01,0.7
Control,HTF_regime,Neutral,0,0,0,0,0
Control,session,Overnight,56,41,0.03,1.77,1.1
Control,session,Premarket,28,36,-0.03,-0.87,0.9
Control,session,Opening,7,57,0.12,0.81,1.3
Control,session,Morning,10,40,0.02,0.20,1.1
Control,session,Midday,14,43,0.22,3.10,1.5
Control,session,Afternoon,18,39,-0.14,-2.53,0.8
Control,session,After-hours,0,0,0,0,0
Control,score_band,70-74,0,0,0,0,0
Control,score_band,75-79,89,37,-0.03,-2.93,0.9
Control,score_band,80-84,0,0,0,0,0
Control,score_band,85-89,11,55,0.26,2.84,1.6
Control,score_band,90-94,28,46,0.11,3.13,1.2
Control,score_band,95+,5,40,-0.11,-0.56,0.8
Control,date_third,Early,32,44,0.01,0.46,1.0
Control,date_third,Middle,41,41,0.10,4.02,1.2
Control,date_third,Late,60,38,-0.03,-2.00,0.9
BOS,direction,Long,53,42,-0.04,-2.32,0.9
BOS,direction,Short,44,36,0.01,0.32,1.0
BOS,HTF_regime,Bull,59,39,0.01,0.59,1.0
BOS,HTF_regime,Bear,38,39,-0.07,-2.59,0.9
BOS,HTF_regime,Neutral,0,0,0,0,0
BOS,session,Overnight,39,38,-0.07,-2.89,0.9
BOS,session,Premarket,17,41,0.11,1.84,1.2
BOS,session,Opening,4,50,0.01,0.04,1.0
BOS,session,Morning,8,38,0.01,0.07,1.0
BOS,session,Midday,13,46,0.32,4.10,1.8
BOS,session,Afternoon,16,31,-0.32,-5.16,0.5
BOS,session,After-hours,0,0,0,0,0
BOS,score_band,70-74,0,0,0,0,0
BOS,score_band,75-79,63,35,-0.10,-6.54,0.8
BOS,score_band,80-84,0,0,0,0,0
BOS,score_band,85-89,4,50,0.19,0.75,1.4
BOS,score_band,90-94,26,50,0.18,4.79,1.4
BOS,score_band,95+,4,25,-0.25,-1.00,0.7
BOS,date_third,Early,21,48,0.14,2.97,1.3
BOS,date_third,Middle,32,38,0.06,1.95,1.1
BOS,date_third,Late,44,36,-0.16,-6.92,0.7
Retest,direction,Long,33,48,0.00,0.08,1.0
Retest,direction,Short,26,42,0.22,5.60,1.5
Retest,HTF_regime,Bull,33,52,0.25,8.29,1.6
Retest,HTF_regime,Bear,25,40,-0.06,-1.61,0.9
Retest,HTF_regime,Neutral,1,0,-1.00,-1.00,0.0
Retest,session,Overnight,27,37,-0.17,-4.70,0.7
Retest,session,Premarket,9,56,0.52,4.65,2.2
Retest,session,Opening,3,33,-0.03,-0.08,0.9
Retest,session,Morning,5,40,-0.09,-0.46,0.8
Retest,session,Midday,6,67,0.70,4.17,3.1
Retest,session,Afternoon,9,56,0.23,2.09,1.6
Retest,session,After-hours,0,0,0,0,0
Retest,score_band,70-74,0,0,0,0,0
Retest,score_band,75-79,36,50,0.04,1.46,1.1
Retest,score_band,80-84,0,0,0,0,0
Retest,score_band,85-89,2,50,0.99,1.97,71.3
Retest,score_band,90-94,18,39,0.12,2.24,1.2
Retest,score_band,95+,3,33,0.00,0.00,1.0
Retest,date_third,Early,11,73,0.62,6.86,3.3
Retest,date_third,Middle,15,47,0.24,3.66,1.5
Retest,date_third,Late,33,36,-0.15,-4.84,0.7
Confirm,direction,Long,21,38,-0.08,-1.78,0.8
Confirm,direction,Short,21,43,0.11,2.24,1.2
Confirm,HTF_regime,Bull,26,42,0.13,3.29,1.3
Confirm,HTF_regime,Bear,15,40,-0.12,-1.83,0.8
Confirm,HTF_regime,Neutral,1,0,-1.00,-1.00,0.0
Confirm,session,Overnight,17,29,-0.12,-2.08,0.8
Confirm,session,Premarket,7,29,-0.14,-1.00,0.8
Confirm,session,Opening,4,75,0.42,1.70,2.7
Confirm,session,Morning,4,50,-0.02,-0.08,1.0
Confirm,session,Midday,4,25,-0.13,-0.51,0.8
Confirm,session,Afternoon,6,67,0.40,2.43,2.5
Confirm,session,After-hours,0,0,0,0,0
Confirm,score_band,70-74,0,0,0,0,0
Confirm,score_band,75-79,24,38,-0.19,-4.64,0.6
Confirm,score_band,80-84,0,0,0,0,0
Confirm,score_band,85-89,2,100,1.05,2.09,99.9
Confirm,score_band,90-94,14,36,0.14,2.01,1.3
Confirm,score_band,95+,2,50,0.50,1.00,2.0
Confirm,date_third,Early,11,45,0.16,1.76,1.3
Confirm,date_third,Middle,9,56,0.24,2.16,1.7
Confirm,date_third,Late,22,32,-0.16,-3.47,0.7
