sequence_gap,bars,N,pct_trades
Setup→BOS,0,664,94.18439716312056
Setup→BOS,1,5,0.7092198581560284
Setup→BOS,2,7,0.9929078014184397
Setup→BOS,3,3,0.425531914893617
Setup→BOS,4,4,0.5673758865248227
Setup→BOS,5,5,0.7092198581560284
Setup→BOS,6,1,0.14184397163120568
Setup→BOS,7,7,0.9929078014184397
Setup→BOS,8,5,0.7092198581560284
Setup→BOS,9,4,0.5673758865248227
BOS→Retest,1,543,77.02127659574468
BOS→Retest,2,57,8.085106382978724
BOS→Retest,3,22,3.120567375886525
BOS→Retest,4,21,2.978723404255319
BOS→Retest,5,17,2.4113475177304964
BOS→Retest,6,13,1.8439716312056738
BOS→Retest,7,11,1.5602836879432624
BOS→Retest,8,10,1.4184397163120568
BOS→Retest,9,11,1.5602836879432624
Retest→Confirm,1,528,74.8936170212766
Retest→Confirm,2,137,19.43262411347518
Retest→Confirm,3,30,4.25531914893617
Retest→Confirm,4,6,0.851063829787234
Retest→Confirm,5,2,0.28368794326241137
Retest→Confirm,6,2,0.28368794326241137
Confirm→Entry,0,705,100.0
Setup == BOS,0,664,94.18439716312056
BOS == Retest,0,0,0.0
Retest == Confirm,0,0,0.0
Confirm == Entry,0,705,100.0
Setup == BOS == Retest,0,0,0.0
BOS == Retest == Confirm,0,0,0.0
