trade_id,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirmation_timestamp,entry_timestamp,exit_timestamp,setup_to_bos_bars,bos_to_retest_bars,retest_to_confirm_bars,same_bar_setup_bos,confirm_equals_entry,confirm_to_entry_bars,setup_not_after_bos,retest_after_bos,confirm_after_retest,event_order_pass,bos_equals_retest,retest_equals_confirm,setup_equals_bos_equals_retest,bos_equals_retest_equals_confirm
A0001,Short,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,2024-01-01 19:45:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 20:55:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0002,Short,2024-01-02 13:50:00-06:00,2024-01-02 13:50:00-06:00,2024-01-02 13:55:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:30:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0003,Short,2024-01-02 18:40:00-06:00,2024-01-02 18:40:00-06:00,2024-01-02 18:45:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 19:50:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0004,Short,2024-01-03 09:10:00-06:00,2024-01-03 09:10:00-06:00,2024-01-03 09:25:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 10:00:00-06:00,0,3,1,True,True,0,True,True,True,True,False,False,False,False
A0005,Long,2024-01-04 09:05:00-06:00,2024-01-04 09:05:00-06:00,2024-01-04 09:10:00-06:00,2024-01-04 09:30:00-06:00,2024-01-04 09:30:00-06:00,2024-01-04 10:15:00-06:00,0,1,4,True,True,0,True,True,True,True,False,False,False,False
A0006,Long,2024-01-05 02:15:00-06:00,2024-01-05 02:15:00-06:00,2024-01-05 02:20:00-06:00,2024-01-05 02:25:00-06:00,2024-01-05 02:25:00-06:00,2024-01-05 02:45:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0007,Long,2024-01-05 06:20:00-06:00,2024-01-05 06:20:00-06:00,2024-01-05 06:25:00-06:00,2024-01-05 06:35:00-06:00,2024-01-05 06:35:00-06:00,2024-01-05 06:50:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0008,Long,2024-01-08 20:15:00-06:00,2024-01-08 20:15:00-06:00,2024-01-08 20:20:00-06:00,2024-01-08 20:25:00-06:00,2024-01-08 20:25:00-06:00,2024-01-08 21:20:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0009,Long,2024-01-09 11:50:00-06:00,2024-01-09 11:50:00-06:00,2024-01-09 11:55:00-06:00,2024-01-09 12:00:00-06:00,2024-01-09 12:00:00-06:00,2024-01-09 12:05:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0010,Short,2024-01-09 12:30:00-06:00,2024-01-09 12:30:00-06:00,2024-01-09 12:35:00-06:00,2024-01-09 12:40:00-06:00,2024-01-09 12:40:00-06:00,2024-01-09 12:50:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0011,Long,2024-01-10 01:35:00-06:00,2024-01-10 01:35:00-06:00,2024-01-10 01:40:00-06:00,2024-01-10 01:45:00-06:00,2024-01-10 01:45:00-06:00,2024-01-10 02:05:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0012,Long,2024-01-10 11:35:00-06:00,2024-01-10 11:35:00-06:00,2024-01-10 11:40:00-06:00,2024-01-10 11:45:00-06:00,2024-01-10 11:45:00-06:00,2024-01-10 12:45:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0013,Long,2024-01-10 13:00:00-06:00,2024-01-10 13:00:00-06:00,2024-01-10 13:05:00-06:00,2024-01-10 13:10:00-06:00,2024-01-10 13:10:00-06:00,2024-01-10 14:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0014,Long,2024-01-11 00:30:00-06:00,2024-01-11 00:30:00-06:00,2024-01-11 00:35:00-06:00,2024-01-11 00:45:00-06:00,2024-01-11 00:45:00-06:00,2024-01-11 01:45:00-06:00,0,1,2,True,True,0,True,True,True,True,False,False,False,False
A0015,Long,2024-01-11 05:00:00-06:00,2024-01-11 05:00:00-06:00,2024-01-11 05:25:00-06:00,2024-01-11 05:30:00-06:00,2024-01-11 05:30:00-06:00,2024-01-11 05:45:00-06:00,0,5,1,True,True,0,True,True,True,True,False,False,False,False
A0016,Long,2024-01-16 08:40:00-06:00,2024-01-16 09:15:00-06:00,2024-01-16 10:00:00-06:00,2024-01-16 10:05:00-06:00,2024-01-16 10:05:00-06:00,2024-01-16 11:05:00-06:00,7,9,1,False,True,0,True,True,True,True,False,False,False,False
A0017,Long,2024-01-17 13:40:00-06:00,2024-01-17 13:40:00-06:00,2024-01-17 13:45:00-06:00,2024-01-17 13:50:00-06:00,2024-01-17 13:50:00-06:00,2024-01-17 14:05:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0018,Long,2024-01-18 09:35:00-06:00,2024-01-18 09:35:00-06:00,2024-01-18 09:40:00-06:00,2024-01-18 09:45:00-06:00,2024-01-18 09:45:00-06:00,2024-01-18 10:00:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
A0019,Short,2024-01-18 11:00:00-06:00,2024-01-18 11:00:00-06:00,2024-01-18 11:05:00-06:00,2024-01-18 11:10:00-06:00,2024-01-18 11:10:00-06:00,2024-01-18 12:10:00-06:00,0,1,1,True,True,0,True,True,True,True,False,False,False,False
