setup_id,setup_timestamp,direction,score,status,bos_timestamp,setup_to_bos_bars,opposite_bos_timestamp
S00001,2024-01-01 19:40:00-06:00,Short,75,Immediate same-bar,2024-01-01 19:40:00-06:00,0.0,
S00002,2024-01-01 20:45:00-06:00,Short,75,Immediate same-bar,2024-01-01 20:45:00-06:00,0.0,
S00003,2024-01-02 13:50:00-06:00,Short,75,Immediate same-bar,2024-01-02 13:50:00-06:00,0.0,
S00004,2024-01-02 14:55:00-06:00,Long,100,Immediate same-bar,2024-01-02 14:55:00-06:00,0.0,
S00005,2024-01-02 18:40:00-06:00,Short,90,Immediate same-bar,2024-01-02 18:40:00-06:00,0.0,
S00006,2024-01-03 02:40:00-06:00,Short,90,Immediate same-bar,2024-01-03 02:40:00-06:00,0.0,
S00007,2024-01-03 09:10:00-06:00,Short,90,Immediate same-bar,2024-01-03 09:10:00-06:00,0.0,
S00008,2024-01-03 13:40:00-06:00,Long,85,Immediate same-bar,2024-01-03 13:40:00-06:00,0.0,
S00009,2024-01-03 14:50:00-06:00,Short,100,Immediate same-bar,2024-01-03 14:50:00-06:00,0.0,
S00010,2024-01-03 20:15:00-06:00,Short,90,Immediate same-bar,2024-01-03 20:15:00-06:00,0.0,
S00011,2024-01-04 09:05:00-06:00,Long,75,Immediate same-bar,2024-01-04 09:05:00-06:00,0.0,
S00012,2024-01-04 09:45:00-06:00,Long,85,Immediate same-bar,2024-01-04 09:45:00-06:00,0.0,
S00013,2024-01-04 14:50:00-06:00,Short,75,Immediate same-bar,2024-01-04 14:50:00-06:00,0.0,
S00014,2024-01-04 20:40:00-06:00,Short,90,Immediate same-bar,2024-01-04 20:40:00-06:00,0.0,
S00015,2024-01-04 22:25:00-06:00,Long,75,Immediate same-bar,2024-01-04 22:25:00-06:00,0.0,
S00016,2024-01-05 02:15:00-06:00,Long,75,Immediate same-bar,2024-01-05 02:15:00-06:00,0.0,
S00017,2024-01-05 03:05:00-06:00,Long,75,Never within expiry,,,
S00018,2024-01-05 06:20:00-06:00,Long,75,Immediate same-bar,2024-01-05 06:20:00-06:00,0.0,
S00019,2024-01-05 07:15:00-06:00,Long,90,Immediate same-bar,2024-01-05 07:15:00-06:00,0.0,
S00020,2024-01-05 07:30:00-06:00,Short,90,Immediate same-bar,2024-01-05 07:30:00-06:00,0.0,
S00021,2024-01-05 08:05:00-06:00,Short,75,Opposite BOS first,,,2024-01-05 08:15:00-06:00
S00022,2024-01-05 08:15:00-06:00,Long,75,Immediate same-bar,2024-01-05 08:15:00-06:00,0.0,
S00023,2024-01-08 01:05:00-06:00,Long,90,Immediate same-bar,2024-01-08 01:05:00-06:00,0.0,
S00024,2024-01-08 02:10:00-06:00,Long,75,Never within expiry,,,
S00025,2024-01-08 14:35:00-06:00,Long,75,Immediate same-bar,2024-01-08 14:35:00-06:00,0.0,
S00026,2024-01-08 20:15:00-06:00,Long,90,Immediate same-bar,2024-01-08 20:15:00-06:00,0.0,
S00027,2024-01-09 01:00:00-06:00,Long,75,Opposite BOS first,,,2024-01-09 01:25:00-06:00
S00028,2024-01-09 11:50:00-06:00,Long,75,Immediate same-bar,2024-01-09 11:50:00-06:00,0.0,
S00029,2024-01-09 12:30:00-06:00,Short,75,Immediate same-bar,2024-01-09 12:30:00-06:00,0.0,
S00030,2024-01-09 14:45:00-06:00,Short,75,Immediate same-bar,2024-01-09 14:45:00-06:00,0.0,
S00031,2024-01-09 21:15:00-06:00,Long,90,Opposite BOS first,,,2024-01-09 21:30:00-06:00
S00032,2024-01-10 01:35:00-06:00,Long,75,Immediate same-bar,2024-01-10 01:35:00-06:00,0.0,
S00033,2024-01-10 09:00:00-06:00,Long,75,Later within expiry,2024-01-10 09:40:00-06:00,8.0,
S00034,2024-01-10 09:40:00-06:00,Long,100,Immediate same-bar,2024-01-10 09:40:00-06:00,0.0,
S00035,2024-01-10 11:35:00-06:00,Long,75,Immediate same-bar,2024-01-10 11:35:00-06:00,0.0,
S00036,2024-01-10 13:00:00-06:00,Long,75,Immediate same-bar,2024-01-10 13:00:00-06:00,0.0,
S00037,2024-01-10 13:50:00-06:00,Long,75,Immediate same-bar,2024-01-10 13:50:00-06:00,0.0,
S00038,2024-01-11 00:30:00-06:00,Long,90,Immediate same-bar,2024-01-11 00:30:00-06:00,0.0,
S00039,2024-01-11 01:05:00-06:00,Long,75,Immediate same-bar,2024-01-11 01:05:00-06:00,0.0,
S00040,2024-01-11 03:30:00-06:00,Long,75,Opposite BOS first,,,2024-01-11 03:35:00-06:00
S00041,2024-01-11 03:35:00-06:00,Short,75,Immediate same-bar,2024-01-11 03:35:00-06:00,0.0,
S00042,2024-01-11 05:00:00-06:00,Long,90,Immediate same-bar,2024-01-11 05:00:00-06:00,0.0,
S00043,2024-01-11 07:30:00-06:00,Short,90,Immediate same-bar,2024-01-11 07:30:00-06:00,0.0,
S00044,2024-01-11 18:40:00-06:00,Long,75,Opposite BOS first,,,2024-01-11 18:50:00-06:00
S00045,2024-01-12 01:05:00-06:00,Short,75,Immediate same-bar,2024-01-12 01:05:00-06:00,0.0,
S00046,2024-01-12 03:40:00-06:00,Long,75,Opposite BOS first,,,2024-01-12 03:50:00-06:00
S00047,2024-01-12 03:50:00-06:00,Short,75,Immediate same-bar,2024-01-12 03:50:00-06:00,0.0,
S00048,2024-01-12 09:45:00-06:00,Short,100,Immediate same-bar,2024-01-12 09:45:00-06:00,0.0,
S00049,2024-01-14 23:35:00-06:00,Long,75,Later within expiry,2024-01-15 00:15:00-06:00,8.0,
S00050,2024-01-15 00:15:00-06:00,Long,90,Immediate same-bar,2024-01-15 00:15:00-06:00,0.0,
S00051,2024-01-15 10:55:00-06:00,Short,85,Immediate same-bar,2024-01-15 10:55:00-06:00,0.0,
S00052,2024-01-16 01:40:00-06:00,Long,75,Immediate same-bar,2024-01-16 01:40:00-06:00,0.0,
S00053,2024-01-16 05:30:00-06:00,Short,75,Opposite BOS first,,,2024-01-16 05:45:00-06:00
S00054,2024-01-16 08:40:00-06:00,Long,75,Later within expiry,2024-01-16 09:15:00-06:00,7.0,
S00055,2024-01-17 13:40:00-06:00,Long,75,Immediate same-bar,2024-01-17 13:40:00-06:00,0.0,
S00056,2024-01-18 09:35:00-06:00,Long,75,Immediate same-bar,2024-01-18 09:35:00-06:00,0.0,
S00057,2024-01-18 11:00:00-06:00,Short,100,Immediate same-bar,2024-01-18 11:00:00-06:00,0.0,
