model,scenario,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Current BOS 5/5 (same-bar allowed),Full,705,100.0,289,415,1,40.99290780141844,-0.03634126434069508,-0.6087169597707835,-25.620591360190033,0.9304045369352899,42.43787130874263,284,421,0,40.283687943262414,-0.06957314333917415,-0.661561303094527,-49.04906605411777,0.8717849563156026,60.29673416610867,1.0192036899220243,0.9002764811316044
Current BOS 5/5 (same-bar allowed),Remove best trade,704,99.8581560283688,288,415,1,40.909090909090914,-0.03923379454572447,-0.6223318698907722,-27.620591360190026,0.9249717612365331,44.437871308742636,283,421,0,40.19886363636363,-0.07250456564715632,-0.6631593582018287,-51.04321421559805,0.866572221105614,62.29088232758895,1.0176962669140572,0.9011883965238244
Current BOS 5/5 (same-bar allowed),Remove top 1% winners,697,98.86524822695036,281,415,1,40.31563845050215,-0.059713904390516534,-0.6737213989329018,-41.620591360190026,0.8869423313452351,58.437871308742636,276,421,0,39.59827833572454,-0.09321870456194759,-0.6868340973013946,-64.97343707967747,0.8301583955889221,76.22110519166839,1.0025854939440904,0.90799556159305
Structural BOS 2/2 (later only),Full,255,36.170212765957444,111,144,0,43.529411764705884,0.0515341330144098,-0.29658504589255247,13.141203918674499,1.106226988226138,20.678426822844266,110,145,0,43.13725490196079,0.014783322354502146,-0.35859430753750293,3.7697472003980472,1.0291094442662823,23.979796701505276,1.0415206664805596,0.8702219962309125
Structural BOS 2/2 (later only),Remove best trade,254,36.02836879432624,110,144,0,43.30708661417323,0.0438630075538366,-0.31890918012188274,11.141203918674496,1.0900599781281997,20.678426822844266,109,145,0,42.91338582677165,0.006998961144340455,-0.36668497821905094,1.7777361306624755,1.0137274220431045,23.979796701505276,1.0376495643741774,0.8711644056234126
Structural BOS 2/2 (later only),Remove top 1% winners,252,35.744680851063826,108,144,0,42.857142857142854,0.028338110788390877,-0.3479734491305616,7.141203918674501,1.0577259579323233,20.678426822844266,107,145,0,42.46031746031746,-0.008720352737218821,-0.39494303534697117,-2.197528889779143,0.9830309988070774,23.979796701505276,1.0285146812979313,0.8756098982047319
Structural BOS 3/3 (later only),Full,165,23.404255319148938,71,94,0,43.03030303030303,0.004125874357575482,-1.0,0.6807692689999545,1.0078241318601135,15.325763870250197,71,94,0,43.03030303030303,-0.03430139044300135,-1.0071404289247086,-5.659729423095223,0.9378960345955872,17.371169350260672,1.0017000542337107,0.9038486527513296
Structural BOS 3/3 (later only),Remove best trade,164,23.26241134751773,70,94,0,42.68292682926829,-0.008044089823171015,-1.0,-1.3192307310000464,0.9848379830534636,15.325763870250197,70,94,0,42.68292682926829,-0.046640711722862056,-1.0078343340651577,-7.649076722549378,0.9160670129892687,17.371169350260672,0.9950632660644309,0.9090015499007101
Structural BOS 3/3 (later only),Remove top 1% winners,163,23.120567375886523,69,94,0,42.331288343558285,-0.020363378717791702,-1.0,-3.3192307310000473,0.9618518342468136,15.325763870250197,69,94,0,42.331288343558285,-0.059103833874572596,-1.0085282392056065,-9.633924921555334,0.8942873598169685,17.371169350260672,0.9873207347383448,0.9106356370012906
Structural BOS 5/5 (later only),Full,75,10.638297872340425,30,45,0,40.0,-0.08728021389535985,-1.0,-6.546016042151989,0.8538510774541486,11.155125131292746,29,46,0,38.666666666666664,-0.12583108752139416,-1.0165279123342885,-9.437331564104563,0.7984084915517564,12.082229018589615,0.962206647763022,0.951448246879952
Structural BOS 5/5 (later only),Remove best trade,74,10.49645390070922,29,45,0,39.189189189189186,-0.11548670327232419,-1.0,-8.54601604215199,0.8091982927360086,11.155125131292746,28,46,0,37.83783783783784,-0.15441457923727994,-1.01659985439979,-11.426678863558715,0.7559139028854256,12.423214158099505,0.9469643955166358,0.963511418861398
Structural BOS 5/5 (later only),Remove top 1% winners,74,10.49645390070922,29,45,0,39.189189189189186,-0.11548670327232419,-1.0,-8.54601604215199,0.8091982927360086,11.155125131292746,28,46,0,37.83783783783784,-0.15441457923727994,-1.01659985439979,-11.426678863558715,0.7559139028854256,12.423214158099505,0.9469643955166358,0.963511418861398
