Index,model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,trade_id,cost_R,gross_R,net_R,outcome,MFE_R,MAE_R
0,Structural BOS 5/5,Long,2024-01-16 08:40:00-06:00,2024-01-16 09:15:00-06:00,2024-01-16 10:00:00-06:00,2024-01-16 10:05:00-06:00,2024-01-16 10:05:00-06:00,2024-01-16 11:05:00-06:00,16756.25,16712.763384654776,16843.22323069045,16712.763384654776,-1.0,75.0,0,2,STOP,C50001,0.016671796465291586,-1.0,-1.0166717964652916,Loss,1.2245147058990027,1.2820036592275943
1,Structural BOS 5/5,Short,2024-02-02 14:55:00-06:00,2024-02-02 15:35:00-06:00,2024-02-02 15:40:00-06:00,2024-02-02 15:50:00-06:00,2024-02-02 15:50:00-06:00,2024-02-04 17:00:00-06:00,17484.75,17507.633343361005,17438.983313277993,17507.633343361005,-1.0,100.0,1,5,STOP,C50002,0.03168243331240874,-1.0,-1.0316824333124088,Loss,0.6008737352353382,1.0706477464193298
2,Structural BOS 5/5,Long,2024-02-19 23:30:00-06:00,2024-02-20 00:15:00-06:00,2024-02-20 00:50:00-06:00,2024-02-20 00:55:00-06:00,2024-02-20 00:55:00-06:00,2024-02-20 01:55:00-06:00,17492.25,17482.479368835582,17511.791262328832,17502.5,1.0490622179383433,75.0,-1,0,TIME,C50003,0.07420196175660221,1.0490622179383433,0.9748602561817411,Win,1.9701900190546102,0.86995403438775
3,Structural BOS 5/5,Short,2024-02-26 14:55:00-06:00,2024-02-26 15:40:00-06:00,2024-02-26 15:45:00-06:00,2024-02-26 15:50:00-06:00,2024-02-26 15:50:00-06:00,2024-02-26 17:40:00-06:00,17739.0,17756.05990438743,17704.880191225133,17756.05990438743,-1.0,75.0,0,5,STOP,C50004,0.04249730734330007,-1.0,-1.0424973073433002,Loss,0.5715155125478284,1.0404513177152774
4,Structural BOS 5/5,Short,2024-02-27 23:25:00-06:00,2024-02-28 00:05:00-06:00,2024-02-28 00:10:00-06:00,2024-02-28 00:15:00-06:00,2024-02-28 00:15:00-06:00,2024-02-28 01:00:00-06:00,17778.75,17784.69672682966,17766.85654634068,17784.69672682966,-1.0,90.0,0,0,STOP,C50005,0.12191580692488356,-1.0,-1.1219158069248836,Loss,1.6815973368949455,2.101996671118682
5,Structural BOS 5/5,Long,2024-03-01 08:30:00-06:00,2024-03-01 09:05:00-06:00,2024-03-01 09:30:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 09:35:00-06:00,2024-03-01 10:05:00-06:00,17945.0,17909.104698882555,18016.79060223489,18016.79060223489,2.0,90.0,1,2,TARGET,C50006,0.020197629701667146,2.0,1.979802370298333,Win,2.1451275683149937,0.13929399794253206
6,Structural BOS 5/5,Long,2024-03-15 02:55:00-05:00,2024-03-15 03:05:00-05:00,2024-03-15 03:10:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 03:20:00-05:00,2024-03-15 04:05:00-05:00,17785.5,17770.724309713318,17815.051380573364,17815.051380573364,2.0,75.0,-1,0,TARGET,C50007,0.049067081532797464,2.0,1.9509329184672026,Win,2.0303619944605846,0.6767873314868615
7,Structural BOS 5/5,Long,2024-04-18 00:30:00-05:00,2024-04-18 01:05:00-05:00,2024-04-18 01:10:00-05:00,2024-04-18 01:15:00-05:00,2024-04-18 01:15:00-05:00,2024-04-18 02:05:00-05:00,17305.25,17292.626373362786,17330.497253274425,17292.626373362786,-1.0,90.0,-1,0,STOP,C50008,0.057431990095675595,-1.0,-1.0574319900956757,Loss,0.45549509386225473,1.7625679719017684
8,Structural BOS 5/5,Long,2024-05-02 19:35:00-05:00,2024-05-02 20:20:00-05:00,2024-05-02 20:40:00-05:00,2024-05-02 20:45:00-05:00,2024-05-02 20:45:00-05:00,2024-05-02 21:00:00-05:00,17321.5,17309.17013438084,17346.15973123832,17309.17013438084,-1.0,75.0,1,0,STOP,C50009,0.05880031643438921,-1.0,-1.058800316434389,Loss,0.4663473372382593,1.2368342422406007
9,Structural BOS 5/5,Long,2024-05-06 10:05:00-05:00,2024-05-06 10:40:00-05:00,2024-05-06 10:45:00-05:00,2024-05-06 10:55:00-05:00,2024-05-06 10:55:00-05:00,2024-05-06 11:10:00-05:00,17651.5,17631.58501588744,17691.329968225127,17631.58501588744,-1.0,100.0,1,3,STOP,C50010,0.03640474910259612,-1.0,-1.036404749102596,Loss,0.05021344703806361,1.04192902603982
