model,metric,tradingview,python,absolute_difference,percentage_difference,classification,overall_status
BOS,N,97.0,97.0,0.0,0.0,PARITY PASS,PARITY PASS
BOS,wins,38.0,38.0,0.0,0.0,PARITY PASS,PARITY PASS
BOS,losses,59.0,59.0,0.0,0.0,PARITY PASS,PARITY PASS
BOS,win_pct,39.0,39.175257731958766,0.17525773195876582,0.4493787998942713,PARITY PASS,PARITY PASS
BOS,avg_R,-0.02,-0.020607312787504863,0.0006073127875048621,3.0365639375243108,PARITY PASS,PARITY PASS
BOS,total_R,-2.0,-1.9989093403879716,0.0010906596120283663,0.05453298060141831,PARITY PASS,PARITY PASS
BOS,profit_factor,1.0,0.9614790420736659,0.03852095792633414,3.8520957926334143,PARITY PASS,PARITY PASS
BOS,max_drawdown_R,11.92,11.91678688290079,0.0032131170992091285,0.026955680362492688,PARITY PASS,PARITY PASS
Confirm,N,42.0,42.0,0.0,0.0,PARITY PASS,PARITY PASS
Confirm,wins,17.0,17.0,0.0,0.0,PARITY PASS,PARITY PASS
Confirm,losses,25.0,25.0,0.0,0.0,PARITY PASS,PARITY PASS
Confirm,win_pct,40.0,40.476190476190474,0.4761904761904745,1.1904761904761862,PARITY PASS,PARITY PASS
Confirm,avg_R,0.01,0.01088303879835464,0.0008830387983546403,8.830387983546403,PARITY PASS,PARITY PASS
Confirm,total_R,0.46,0.4570876295308949,0.002912370469105141,0.6331240150228568,PARITY PASS,PARITY PASS
Confirm,profit_factor,1.0,1.0215195659953697,0.02151956599536975,2.151956599536975,PARITY PASS,PARITY PASS
Confirm,max_drawdown_R,8.04,8.035309332921912,0.004690667078087074,0.0583416303244661,PARITY PASS,PARITY PASS
Control,N,133.0,133.0,0.0,0.0,PARITY PASS,PARITY PASS
Control,wins,54.0,54.0,0.0,0.0,PARITY PASS,PARITY PASS
Control,losses,79.0,79.0,0.0,0.0,PARITY PASS,PARITY PASS
Control,win_pct,41.0,40.6015037593985,0.3984962406015029,0.9719420502475681,PARITY PASS,PARITY PASS
Control,avg_R,0.02,0.018667306369129652,0.0013326936308703484,6.663468154351743,PARITY PASS,PARITY PASS
Control,total_R,2.48,2.4827517470942437,0.0027517470942437505,0.11095754412273187,PARITY PASS,PARITY PASS
Control,profit_factor,1.0,1.0358926498552308,0.035892649855230774,3.5892649855230774,PARITY PASS,PARITY PASS
Control,max_drawdown_R,9.0,9.0,0.0,0.0,PARITY PASS,PARITY PASS
Retest,N,59.0,59.0,0.0,0.0,PARITY PASS,PARITY PASS
Retest,wins,27.0,27.0,0.0,0.0,PARITY PASS,PARITY PASS
Retest,losses,32.0,32.0,0.0,0.0,PARITY PASS,PARITY PASS
Retest,win_pct,46.0,45.76271186440678,0.23728813559321793,0.5158437730287346,PARITY PASS,PARITY PASS
Retest,avg_R,0.1,0.0961916263964898,0.003808373603510204,3.8083736035102036,PARITY PASS,PARITY PASS
Retest,total_R,5.68,5.675305957392898,0.004694042607101601,0.08264159519545072,PARITY PASS,PARITY PASS
Retest,profit_factor,1.2,1.2006528961642262,0.0006528961642262576,0.05440801368552147,PARITY PASS,PARITY PASS
Retest,max_drawdown_R,7.16,7.163577908689657,0.0035779086896567946,0.04997079175498317,PARITY PASS,PARITY PASS
