model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason
BOS,Short,2026-06-29 14:50:00-05:00,2026-06-29 14:50:00-05:00,,,2026-06-29 14:50:00-05:00,2026-06-29 14:55:00-05:00,29673.25,29720.485831128626,29578.778337742748,29720.485831128626,-1.0,75.0,1,5,STOP
Control,Short,2026-06-29 14:50:00-05:00,,,,2026-06-29 14:50:00-05:00,2026-06-29 14:55:00-05:00,29673.25,29720.485831128626,29578.778337742748,29720.485831128626,-1.0,75.0,1,5,STOP
BOS,Long,2026-06-29 18:05:00-05:00,2026-06-29 18:05:00-05:00,,,2026-06-29 18:05:00-05:00,2026-06-29 19:05:00-05:00,29718.5,29685.734463339784,29784.03107332043,29731.0,0.38149840576784855,90.0,1,0,TIME
Control,Long,2026-06-29 18:05:00-05:00,,,,2026-06-29 18:05:00-05:00,2026-06-29 19:05:00-05:00,29718.5,29685.734463339784,29784.03107332043,29731.0,0.38149840576784855,90.0,1,0,TIME
Confirm,Short,2026-06-29 19:30:00-05:00,2026-06-29 19:30:00-05:00,2026-06-29 19:35:00-05:00,2026-06-29 19:40:00-05:00,2026-06-29 19:40:00-05:00,2026-06-29 19:45:00-05:00,29624.5,29672.85376419339,29527.79247161322,29672.85376419339,-1.0,90.0,1,0,STOP
BOS,Short,2026-06-29 19:30:00-05:00,2026-06-29 19:30:00-05:00,,,2026-06-29 19:30:00-05:00,2026-06-29 19:50:00-05:00,29649.0,29696.129957289377,29554.740085421246,29696.129957289377,-1.0,90.0,1,0,STOP
Control,Short,2026-06-29 19:30:00-05:00,,,,2026-06-29 19:30:00-05:00,2026-06-29 19:50:00-05:00,29649.0,29696.129957289377,29554.740085421246,29696.129957289377,-1.0,90.0,1,0,STOP
Retest,Short,2026-06-29 19:30:00-05:00,2026-06-29 19:30:00-05:00,2026-06-29 19:35:00-05:00,,2026-06-29 19:35:00-05:00,2026-06-29 19:50:00-05:00,29647.0,29693.73674605442,29553.526507891158,29693.73674605442,-1.0,90.0,1,0,STOP
BOS,Short,2026-06-30 07:00:00-05:00,2026-06-30 07:00:00-05:00,,,2026-06-30 07:00:00-05:00,2026-06-30 07:30:00-05:00,29785.0,29820.814387255145,29713.371225489707,29713.371225489707,2.0,90.0,1,1,TARGET
Confirm,Short,2026-06-30 07:00:00-05:00,2026-06-30 07:00:00-05:00,2026-06-30 07:10:00-05:00,2026-06-30 07:15:00-05:00,2026-06-30 07:15:00-05:00,2026-06-30 07:30:00-05:00,29766.25,29802.74438185115,29693.2612362977,29693.2612362977,2.0,90.0,1,1,TARGET
Control,Short,2026-06-30 07:00:00-05:00,,,,2026-06-30 07:00:00-05:00,2026-06-30 07:30:00-05:00,29785.0,29820.814387255145,29713.371225489707,29713.371225489707,2.0,90.0,1,1,TARGET
Retest,Short,2026-06-30 07:00:00-05:00,2026-06-30 07:00:00-05:00,2026-06-30 07:10:00-05:00,,2026-06-30 07:10:00-05:00,2026-06-30 07:30:00-05:00,29772.25,29809.561257378162,29697.627485243676,29697.627485243676,2.0,90.0,1,1,TARGET
