candidate_id,direction,timestamp,bar_index,event,state_before,state_after,open,high,low,close,atr,setup_score,same_bar_setup_bos,bos_level,bos_condition,retest_level,tolerance,band_lower,band_upper,touch_condition,invalid_condition,opposite_bos,directional_candle,close_beyond_bos_level,confirmed,failed_conditions,risk_points
6,Short,2026-06-29 14:50:00-05:00,5710,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29704.25,29711.75,29656.0,29673.25,31.49055408575136,75.0,,,,,,,,,,,,,,,
6,Short,2026-06-29 14:50:00-05:00,5710,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29704.25,29711.75,29656.0,29673.25,31.49055408575136,,True,29679.25,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29673.25; level=29679.25,,,,,,,,,,,,
6,Short,2026-06-29 14:55:00-05:00,5711,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29674.0,29751.25,29674.0,29728.5,34.81265736534055,,,,,29679.25,3.481265736534055,29675.768734263467,29682.731265736533,True,True,False,,,,,
7,Long,2026-06-29 18:05:00-05:00,5737,SETUP_ACCEPTED,IDLE,LONG_WAIT_BOS,29703.25,29720.25,29699.5,29718.5,21.843691106809963,90.0,,,,,,,,,,,,,,,
7,Long,2026-06-29 18:05:00-05:00,5737,BOS_ACCEPTED,LONG_WAIT_BOS,LONG_WAIT_RETEST,29703.25,29720.25,29699.5,29718.5,21.843691106809963,,True,29717.75,bullBreakEvent=true; Close-mode close > activeStrHigh[1]; close=29718.5; level=29717.75,,,,,,,,,,,,
7,Long,2026-06-29 18:10:00-05:00,5738,RETEST_EVALUATION,LONG_WAIT_RETEST,LONG_WAIT_RETEST,29719.75,29728.0,29707.5,29712.25,21.747713170609252,,,,,29717.75,2.1747713170609253,29715.575228682937,29719.924771317063,True,True,False,,,,,
8,Short,2026-06-29 19:30:00-05:00,5754,SETUP_ACCEPTED,IDLE,SHORT_WAIT_BOS,29679.5,29685.75,29620.5,29649.0,31.419971526250773,90.0,,,,,,,,,,,,,,,
8,Short,2026-06-29 19:30:00-05:00,5754,BOS_ACCEPTED,SHORT_WAIT_BOS,SHORT_WAIT_RETEST,29679.5,29685.75,29620.5,29649.0,31.419971526250773,,True,29652.5,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29649.0; level=29652.5,,,,,,,,,,,,
8,Short,2026-06-29 19:35:00-05:00,5755,RETEST_EVALUATION,SHORT_WAIT_RETEST,SHORT_WAIT_RETEST,29647.0,29659.0,29631.25,29647.0,31.157830702947145,,,,,29652.5,3.1157830702947145,29649.384216929706,29655.615783070294,True,False,False,,,,,
8,Short,2026-06-29 19:35:00-05:00,5755,RETEST_ACCEPTED,SHORT_WAIT_RETEST,SHORT_WAIT_CONFIRM,29647.0,29659.0,29631.25,29647.0,31.157830702947145,,,,,29652.5,3.1157830702947145,,,,,,,,,,
8,Short,2026-06-29 19:40:00-05:00,5756,CONFIRM_EVALUATION,SHORT_WAIT_CONFIRM,SHORT_WAIT_CONFIRM,29649.75,29664.75,29618.5,29624.5,32.235842795593776,,,29652.5,,,,,,,False,False,True,True,True,[],
8,Short,2026-06-29 19:40:00-05:00,5756,CONFIRM_ENTRY,SHORT_WAIT_CONFIRM,IDLE,29649.75,29664.75,29618.5,29624.5,32.235842795593776,,,,,,,,,,,,,,,,48.35376419339066
