candidate_id,direction,setup_timestamp,setup_bar_index,setup_score,state_before_setup,state_after_setup,variant_c_qualified,htf_regime,session_bucket,candidate_accepted,bos_timestamp,bos_bar_index,bos_level_stored,bos_level_source,bos_condition_passed,state_after_bos,retest_level,retest_tolerance_at_accept,retest_band_lower_at_accept,retest_band_upper_at_accept,retest_touched,retest_accepted,accepted_retest_timestamp,accepted_retest_bar_index,state_after_retest,confirmation_candidate_seen,confirmation_accepted,confirm_timestamp,confirm_bar_index,entry_timestamp,entry_bar_index,entry_price,invalidation_reason,expiry_reason,opposite_bos_timestamp,first_failure_category,first_failure_detail,terminal_timestamp,terminal_bar_index,final_result,closest_retest_timestamp,closest_retest_bar_index,closest_retest_distance_points,closest_retest_distance_atr,retest_touch_bars_json,confirmation_candidates_json,event_trace_json
4,Short,2026-06-29 07:35:00-05:00,5623,90,IDLE,IDLE,False,0,1,False,,,,,,,,,,,False,False,,,,False,False,,,,,,,,,regime restriction,Variant C rejected neutral HTF regime,2026-06-29 07:35:00-05:00,5623,NO_ENTRY,,,,,[],[],[]
6,Short,2026-06-29 14:50:00-05:00,5710,75,IDLE,SHORT_WAIT_BOS,True,1,5,True,2026-06-29 14:50:00-05:00,5710,29679.25,prior active swing,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29673.25; level=29679.25,SHORT_WAIT_RETEST,29679.25,,,,True,False,,,,False,False,,,,,,RETEST_STRUCTURE_FAILED,,,retest touched but rejected,"Retest wick touched band, but close invalidated beyond 29682.731265736533",2026-06-29 14:55:00-05:00,5711,NO_ENTRY,2026-06-29 14:55:00-05:00,5711,72.0,2.0682132720980713,"[{""timestamp"":""2026-06-29 14:55:00-05:00"",""bar_index"":5711,""open"":29674.0,""high"":29751.25,""low"":29674.0,""close"":29728.5,""atr"":34.81265736534055,""level"":29679.25,""tolerance"":3.481265736534055,""band_lower"":29675.768734263467,""band_upper"":29682.731265736533,""accepted"":false,""rejection_reason"":""CLOSE_ABOVE_BAND""}]",[],"[{""candidate_id"":6,""direction"":""Short"",""timestamp"":""2026-06-29 14:50:00-05:00"",""bar_index"":5710,""event"":""SETUP_ACCEPTED"",""state_before"":""IDLE"",""state_after"":""SHORT_WAIT_BOS"",""open"":29704.25,""high"":29711.75,""low"":29656.0,""close"":29673.25,""atr"":31.49055408575136,""setup_score"":75},{""candidate_id"":6,""direction"":""Short"",""timestamp"":""2026-06-29 14:50:00-05:00"",""bar_index"":5710,""event"":""BOS_ACCEPTED"",""state_before"":""SHORT_WAIT_BOS"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29704.25,""high"":29711.75,""low"":29656.0,""close"":29673.25,""atr"":31.49055408575136,""same_bar_setup_bos"":true,""bos_level"":29679.25,""bos_condition"":""bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29673.25; level=29679.25""},{""candidate_id"":6,""direction"":""Short"",""timestamp"":""2026-06-29 14:55:00-05:00"",""bar_index"":5711,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29674.0,""high"":29751.25,""low"":29674.0,""close"":29728.5,""atr"":34.81265736534055,""retest_level"":29679.25,""tolerance"":3.481265736534055,""band_lower"":29675.768734263467,""band_upper"":29682.731265736533,""touch_condition"":true,""invalid_condition"":true,""opposite_bos"":false}]"
8,Short,2026-06-29 19:30:00-05:00,5754,90,IDLE,SHORT_WAIT_BOS,True,1,0,True,2026-06-29 19:30:00-05:00,5754,29652.5,prior active swing,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29649.0; level=29652.5,SHORT_WAIT_RETEST,29652.5,3.1157830702947145,29649.384216929706,29655.615783070294,True,True,2026-06-29 19:35:00-05:00,5755,SHORT_WAIT_CONFIRM,True,True,2026-06-29 19:40:00-05:00,5756,2026-06-29 19:40:00-05:00,5756,29624.5,,,,,,2026-06-29 19:40:00-05:00,5756,ENTRY,2026-06-29 19:35:00-05:00,5755,6.5,0.20861529359889552,"[{""timestamp"":""2026-06-29 19:35:00-05:00"",""bar_index"":5755,""open"":29647.0,""high"":29659.0,""low"":29631.25,""close"":29647.0,""atr"":31.157830702947145,""level"":29652.5,""tolerance"":3.1157830702947145,""band_lower"":29649.384216929706,""band_upper"":29655.615783070294,""accepted"":true,""rejection_reason"":""""}]","[{""timestamp"":""2026-06-29 19:40:00-05:00"",""bar_index"":5756,""open"":29649.75,""high"":29664.75,""low"":29618.5,""close"":29624.5,""atr"":32.235842795593776,""bos_level"":29652.5,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]}]","[{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:30:00-05:00"",""bar_index"":5754,""event"":""SETUP_ACCEPTED"",""state_before"":""IDLE"",""state_after"":""SHORT_WAIT_BOS"",""open"":29679.5,""high"":29685.75,""low"":29620.5,""close"":29649.0,""atr"":31.419971526250773,""setup_score"":90},{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:30:00-05:00"",""bar_index"":5754,""event"":""BOS_ACCEPTED"",""state_before"":""SHORT_WAIT_BOS"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29679.5,""high"":29685.75,""low"":29620.5,""close"":29649.0,""atr"":31.419971526250773,""same_bar_setup_bos"":true,""bos_level"":29652.5,""bos_condition"":""bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29649.0; level=29652.5""},{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:35:00-05:00"",""bar_index"":5755,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29647.0,""high"":29659.0,""low"":29631.25,""close"":29647.0,""atr"":31.157830702947145,""retest_level"":29652.5,""tolerance"":3.1157830702947145,""band_lower"":29649.384216929706,""band_upper"":29655.615783070294,""touch_condition"":true,""invalid_condition"":false,""opposite_bos"":false},{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:35:00-05:00"",""bar_index"":5755,""event"":""RETEST_ACCEPTED"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":29647.0,""high"":29659.0,""low"":29631.25,""close"":29647.0,""atr"":31.157830702947145,""retest_level"":29652.5,""tolerance"":3.1157830702947145},{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:40:00-05:00"",""bar_index"":5756,""event"":""CONFIRM_EVALUATION"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":29649.75,""high"":29664.75,""low"":29618.5,""close"":29624.5,""atr"":32.235842795593776,""bos_level"":29652.5,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]},{""candidate_id"":8,""direction"":""Short"",""timestamp"":""2026-06-29 19:40:00-05:00"",""bar_index"":5756,""event"":""CONFIRM_ENTRY"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""IDLE"",""open"":29649.75,""high"":29664.75,""low"":29618.5,""close"":29624.5,""atr"":32.235842795593776,""risk_points"":48.35376419339066}]"
9,Short,2026-06-30 07:00:00-05:00,5892,90,IDLE,SHORT_WAIT_BOS,True,1,1,True,2026-06-30 07:00:00-05:00,5892,29796.5,prior active swing,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29785.0; level=29796.5,SHORT_WAIT_RETEST,29796.5,2.4874171585440816,29794.012582841457,29798.987417158543,True,True,2026-06-30 07:10:00-05:00,5894,SHORT_WAIT_CONFIRM,True,True,2026-06-30 07:15:00-05:00,5895,2026-06-30 07:15:00-05:00,5895,29766.25,,,,,,2026-06-30 07:15:00-05:00,5895,ENTRY,2026-06-30 07:05:00-05:00,5893,3.75,0.1585425650262363,"[{""timestamp"":""2026-06-30 07:10:00-05:00"",""bar_index"":5894,""open"":29782.75,""high"":29806.75,""low"":29766.0,""close"":29772.25,""atr"":24.874171585440813,""level"":29796.5,""tolerance"":2.4874171585440816,""band_lower"":29794.012582841457,""band_upper"":29798.987417158543,""accepted"":true,""rejection_reason"":""""}]","[{""timestamp"":""2026-06-30 07:15:00-05:00"",""bar_index"":5895,""open"":29772.75,""high"":29778.25,""low"":29761.0,""close"":29766.25,""atr"":24.329587900766466,""bos_level"":29796.5,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]}]","[{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:00:00-05:00"",""bar_index"":5892,""event"":""SETUP_ACCEPTED"",""state_before"":""IDLE"",""state_after"":""SHORT_WAIT_BOS"",""open"":29821.25,""high"":29825.0,""low"":29776.25,""close"":29785.0,""atr"":23.87625817009704,""setup_score"":90},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:00:00-05:00"",""bar_index"":5892,""event"":""BOS_ACCEPTED"",""state_before"":""SHORT_WAIT_BOS"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29821.25,""high"":29825.0,""low"":29776.25,""close"":29785.0,""atr"":23.87625817009704,""same_bar_setup_bos"":true,""bos_level"":29796.5,""bos_condition"":""bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=29785.0; level=29796.5""},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:05:00-05:00"",""bar_index"":5893,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29784.0,""high"":29792.75,""low"":29772.0,""close"":29782.5,""atr"":23.652954015090106,""retest_level"":29796.5,""tolerance"":2.3652954015090106,""band_lower"":29794.13470459849,""band_upper"":29798.86529540151,""touch_condition"":false,""invalid_condition"":false,""opposite_bos"":false},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:10:00-05:00"",""bar_index"":5894,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":29782.75,""high"":29806.75,""low"":29766.0,""close"":29772.25,""atr"":24.874171585440813,""retest_level"":29796.5,""tolerance"":2.4874171585440816,""band_lower"":29794.012582841457,""band_upper"":29798.987417158543,""touch_condition"":true,""invalid_condition"":false,""opposite_bos"":false},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:10:00-05:00"",""bar_index"":5894,""event"":""RETEST_ACCEPTED"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":29782.75,""high"":29806.75,""low"":29766.0,""close"":29772.25,""atr"":24.874171585440813,""retest_level"":29796.5,""tolerance"":2.4874171585440816},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:15:00-05:00"",""bar_index"":5895,""event"":""CONFIRM_EVALUATION"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":29772.75,""high"":29778.25,""low"":29761.0,""close"":29766.25,""atr"":24.329587900766466,""bos_level"":29796.5,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]},{""candidate_id"":9,""direction"":""Short"",""timestamp"":""2026-06-30 07:15:00-05:00"",""bar_index"":5895,""event"":""CONFIRM_ENTRY"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""IDLE"",""open"":29772.75,""high"":29778.25,""low"":29761.0,""close"":29766.25,""atr"":24.329587900766466,""risk_points"":36.4943818511497}]"
10,Short,2026-06-30 08:20:00-05:00,5908,90,IDLE,IDLE,False,0,1,False,,,,,,,,,,,False,False,,,,False,False,,,,,,,,,regime restriction,Variant C rejected neutral HTF regime,2026-06-30 08:20:00-05:00,5908,NO_ENTRY,,,,,[],[],[]
14,Short,2026-06-30 18:05:00-05:00,6013,75,IDLE,SHORT_WAIT_BOS,True,1,0,True,,,,,,,,,,,False,False,,,,False,False,,,,,,OPPOSITE_BOS_WAIT_BOS,,2026-06-30 18:30:00-05:00,opposite BOS invalidation,Opposite Phase 3 BOS while waiting for matching BOS,2026-06-30 18:30:00-05:00,6018,NO_ENTRY,,,,,[],[],"[{""candidate_id"":14,""direction"":""Short"",""timestamp"":""2026-06-30 18:05:00-05:00"",""bar_index"":6013,""event"":""SETUP_ACCEPTED"",""state_before"":""IDLE"",""state_after"":""SHORT_WAIT_BOS"",""open"":30201.75,""high"":30222.5,""low"":30197.5,""close"":30217.5,""atr"":17.230118518405796,""setup_score"":75},{""candidate_id"":14,""direction"":""Short"",""timestamp"":""2026-06-30 18:30:00-05:00"",""bar_index"":6018,""event"":""OPPOSITE_BOS_INVALIDATION"",""state_before"":""SHORT_WAIT_BOS"",""state_after"":""IDLE"",""open"":30207.5,""high"":30225.75,""low"":30204.25,""close"":30223.5,""atr"":17.006037095879773}]"
15,Short,2026-06-30 20:05:00-05:00,6037,75,IDLE,SHORT_WAIT_BOS,True,1,0,True,2026-06-30 20:05:00-05:00,6037,30189.25,prior active swing,bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=30183.75; level=30189.25,SHORT_WAIT_RETEST,30189.25,2.122372859496859,30187.127627140504,30191.372372859496,True,True,2026-06-30 20:15:00-05:00,6039,SHORT_WAIT_CONFIRM,True,True,2026-06-30 20:30:00-05:00,6042,2026-06-30 20:30:00-05:00,6042,30158.5,,,,,,2026-06-30 20:30:00-05:00,6042,ENTRY,2026-06-30 20:15:00-05:00,6039,0.25,0.011779268608780945,"[{""timestamp"":""2026-06-30 20:15:00-05:00"",""bar_index"":6039,""open"":30182.25,""high"":30189.0,""low"":30149.0,""close"":30167.0,""atr"":21.223728594968588,""level"":30189.25,""tolerance"":2.122372859496859,""band_lower"":30187.127627140504,""band_upper"":30191.372372859496,""accepted"":true,""rejection_reason"":""""}]","[{""timestamp"":""2026-06-30 20:20:00-05:00"",""bar_index"":6040,""open"":30165.75,""high"":30180.25,""low"":30158.25,""close"":30168.0,""atr"":21.27917655247083,""bos_level"":30189.25,""directional_candle"":false,""close_beyond_bos_level"":true,""confirmed"":false,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[""bearish_candle=false""]},{""timestamp"":""2026-06-30 20:25:00-05:00"",""bar_index"":6041,""open"":30167.25,""high"":30177.5,""low"":30160.75,""close"":30168.25,""atr"":20.95566394158006,""bos_level"":30189.25,""directional_candle"":false,""close_beyond_bos_level"":true,""confirmed"":false,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[""bearish_candle=false""]},{""timestamp"":""2026-06-30 20:30:00-05:00"",""bar_index"":6042,""open"":30168.75,""high"":30186.25,""low"":30153.0,""close"":30158.5,""atr"":21.83383080289577,""bos_level"":30189.25,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]}]","[{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:05:00-05:00"",""bar_index"":6037,""event"":""SETUP_ACCEPTED"",""state_before"":""IDLE"",""state_after"":""SHORT_WAIT_BOS"",""open"":30192.0,""high"":30200.75,""low"":30178.5,""close"":30183.75,""atr"":18.97396925807008,""setup_score"":75},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:05:00-05:00"",""bar_index"":6037,""event"":""BOS_ACCEPTED"",""state_before"":""SHORT_WAIT_BOS"",""state_after"":""SHORT_WAIT_RETEST"",""open"":30192.0,""high"":30200.75,""low"":30178.5,""close"":30183.75,""atr"":18.97396925807008,""same_bar_setup_bos"":true,""bos_level"":30189.25,""bos_condition"":""bearBreakEvent=true; Close-mode close < activeStrLow[1]; close=30183.75; level=30189.25""},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:10:00-05:00"",""bar_index"":6038,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":30184.0,""high"":30184.25,""low"":30154.0,""close"":30179.5,""atr"":19.77940002535079,""retest_level"":30189.25,""tolerance"":1.977940002535079,""band_lower"":30187.272059997464,""band_upper"":30191.227940002536,""touch_condition"":false,""invalid_condition"":false,""opposite_bos"":false},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:15:00-05:00"",""bar_index"":6039,""event"":""RETEST_EVALUATION"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_RETEST"",""open"":30182.25,""high"":30189.0,""low"":30149.0,""close"":30167.0,""atr"":21.223728594968588,""retest_level"":30189.25,""tolerance"":2.122372859496859,""band_lower"":30187.127627140504,""band_upper"":30191.372372859496,""touch_condition"":true,""invalid_condition"":false,""opposite_bos"":false},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:15:00-05:00"",""bar_index"":6039,""event"":""RETEST_ACCEPTED"",""state_before"":""SHORT_WAIT_RETEST"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":30182.25,""high"":30189.0,""low"":30149.0,""close"":30167.0,""atr"":21.223728594968588,""retest_level"":30189.25,""tolerance"":2.122372859496859},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:20:00-05:00"",""bar_index"":6040,""event"":""CONFIRM_EVALUATION"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":30165.75,""high"":30180.25,""low"":30158.25,""close"":30168.0,""atr"":21.27917655247083,""bos_level"":30189.25,""directional_candle"":false,""close_beyond_bos_level"":true,""confirmed"":false,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[""bearish_candle=false""]},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:25:00-05:00"",""bar_index"":6041,""event"":""CONFIRM_EVALUATION"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":30167.25,""high"":30177.5,""low"":30160.75,""close"":30168.25,""atr"":20.95566394158006,""bos_level"":30189.25,""directional_candle"":false,""close_beyond_bos_level"":true,""confirmed"":false,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[""bearish_candle=false""]},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:30:00-05:00"",""bar_index"":6042,""event"":""CONFIRM_EVALUATION"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""SHORT_WAIT_CONFIRM"",""open"":30168.75,""high"":30186.25,""low"":30153.0,""close"":30158.5,""atr"":21.83383080289577,""bos_level"":30189.25,""directional_candle"":true,""close_beyond_bos_level"":true,""confirmed"":true,""invalid_condition"":false,""opposite_bos"":false,""failed_conditions"":[]},{""candidate_id"":15,""direction"":""Short"",""timestamp"":""2026-06-30 20:30:00-05:00"",""bar_index"":6042,""event"":""CONFIRM_ENTRY"",""state_before"":""SHORT_WAIT_CONFIRM"",""state_after"":""IDLE"",""open"":30168.75,""high"":30186.25,""low"":30153.0,""close"":30158.5,""atr"":21.83383080289577,""risk_points"":32.750746204343656}]"
16,Short,2026-07-01 09:05:00-05:00,6193,75,IDLE,IDLE,False,0,1,False,,,,,,,,,,,False,False,,,,False,False,,,,,,,,,regime restriction,Variant C rejected neutral HTF regime,2026-07-01 09:05:00-05:00,6193,NO_ENTRY,,,,,[],[],[]
17,Short,2026-07-01 14:55:00-05:00,6263,75,IDLE,IDLE,False,0,5,False,,,,,,,,,,,False,False,,,,False,False,,,,,,,,,regime restriction,Variant C rejected neutral HTF regime,2026-07-01 14:55:00-05:00,6263,NO_ENTRY,,,,,[],[],[]
18,Short,2026-07-01 17:30:00-05:00,6282,75,IDLE,IDLE,False,0,6,False,,,,,,,,,,,False,False,,,,False,False,,,,,,,,,regime restriction,Variant C rejected neutral HTF regime,2026-07-01 17:30:00-05:00,6282,NO_ENTRY,,,,,[],[],[]
