variant,penetration_atr,reclaim_window_bars,gross_N,gross_wins,gross_losses,gross_win_pct,gross_avg_R,gross_total_R,gross_profit_factor,gross_max_drawdown_R,gross_largest_win_R,gross_largest_loss_R,gross_max_consecutive_wins,gross_max_consecutive_losses,gross_avg_MFE_R,gross_avg_MAE_R,net_N,net_wins,net_losses,net_win_pct,net_avg_R,net_total_R,net_profit_factor,net_max_drawdown_R,net_largest_win_R,net_largest_loss_R,net_max_consecutive_wins,net_max_consecutive_losses,net_avg_MFE_R,net_avg_MAE_R,entry_attempts,entry_accepted,recovered_N,recovered_wins,recovered_losses,recovered_win_pct,recovered_avg_R,recovered_total_R,recovered_profit_factor,recovered_max_drawdown_R,recovered_largest_win_R,recovered_largest_loss_R,recovered_max_consecutive_wins,recovered_max_consecutive_losses,recovered_avg_MFE_R,recovered_avg_MAE_R
CURRENT,,,42,17,25,40.476190476190474,0.01088303879835464,0.4570876295308949,1.0215195659953697,8.035309332921912,2.0,-1.0,5,5,0.9827343214571459,0.9130848543493286,42,17,25,40.476190476190474,-0.008455272926675063,-0.3551214629203526,0.9836932374533185,8.371281287974549,1.9927957671063166,-1.0461806034103123,5,5,0.9827343214571459,0.9130848543493286,,,,,,,,,,,,,,,,
P0.10_W1,0.1,1.0,22,8,14,36.36363636363637,-0.1294955544729653,-2.8489021984052365,0.7606181261790067,8.460386757832971,2.0,-1.0,3,4,1.0173669365337015,0.8314065366270548,22,8,14,36.36363636363637,-0.14854822077835605,-3.2680608571238334,0.7314924490216519,8.692267224241196,1.9861440602895721,-1.029358686386083,3,4,1.0173669365337015,0.8314065366270548,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0.10_W2,0.1,2.0,29,10,19,34.48275862068966,-0.15439392922948134,-4.477423947654959,0.7196027376247137,9.527453702578786,2.0,-1.0,4,6,1.0312775538750887,0.8414386608243293,29,10,19,34.48275862068966,-0.17325949374810445,-5.024525318695029,0.6927016073918326,9.866967804082236,1.993573087199697,-1.036026391637882,4,6,1.0312775538750887,0.8414386608243293,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0.10_W3,0.1,3.0,31,12,19,38.70967741935484,-0.049294876814355085,-1.5281411812450076,0.9043006405572885,8.578170936168835,2.0,-1.0,5,5,1.091640441920049,0.8108262425150996,31,12,19,38.70967741935484,-0.06793075197449164,-2.105853311209241,0.871206671962545,8.92539629823976,1.993573087199697,-1.036026391637882,5,5,1.091640441920049,0.8108262425150996,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0.10_W4,0.1,4.0,31,12,19,38.70967741935484,-0.049294876814355085,-1.5281411812450076,0.9043006405572885,8.578170936168835,2.0,-1.0,5,5,1.091640441920049,0.8108262425150996,31,12,19,38.70967741935484,-0.06793075197449164,-2.105853311209241,0.871206671962545,8.92539629823976,1.993573087199697,-1.036026391637882,5,5,1.091640441920049,0.8108262425150996,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P0.20_W1,0.2,1.0,23,8,15,34.78260869565217,-0.16734357384370596,-3.848902198405237,0.7016604046583663,9.460386757832971,2.0,-1.0,3,4,0.97800954843505,0.8455272207950503,23,8,15,34.78260869565217,-0.1859045365724313,-4.27580434116592,0.6755580423741149,9.700010708283282,1.9861440602895721,-1.029358686386083,3,4,0.97800954843505,0.8455272207950503,23.0,23.0,1.0,0.0,1.0,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0.0,1.0,0.11214701026471122,1.1561822724909514
P0.20_W2,0.2,2.0,30,10,20,33.333333333333336,-0.18258079825516527,-5.477423947654958,0.6771936960234114,10.527453702578786,2.0,-1.0,4,6,1.0006398690880762,0.8519301145465501,30,10,20,33.333333333333336,-0.20107562675790389,-6.032268802737117,0.6524867140394212,10.874711288124324,1.993573087199697,-1.036026391637882,4,6,1.0006398690880762,0.8519301145465501,30.0,30.0,1.0,0.0,1.0,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0.0,1.0,0.11214701026471122,1.1561822724909514
P0.20_W3,0.2,3.0,32,12,20,37.5,-0.07900441191390646,-2.5281411812450068,0.8510066194532736,9.578170936168835,2.0,-1.0,5,5,1.0610312721808195,0.821618618451845,32,12,20,37.5,-0.09729989985160396,-3.113596795251327,0.8206286409214463,9.933139782281847,1.993573087199697,-1.036026391637882,5,5,1.0610312721808195,0.821618618451845,32.0,32.0,1.0,0.0,1.0,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0.0,1.0,0.11214701026471122,1.1561822724909514
P0.20_W4,0.2,4.0,32,12,20,37.5,-0.07900441191390646,-2.5281411812450068,0.8510066194532736,9.578170936168835,2.0,-1.0,5,5,1.0610312721808195,0.821618618451845,32,12,20,37.5,-0.09729989985160396,-3.113596795251327,0.8206286409214463,9.933139782281847,1.993573087199697,-1.036026391637882,5,5,1.0610312721808195,0.821618618451845,32.0,32.0,1.0,0.0,1.0,0.0,-1.0077434840420871,-1.0077434840420871,0.0,1.0077434840420871,-1.0077434840420871,-1.0077434840420871,0.0,1.0,0.11214701026471122,1.1561822724909514
P0.30_W1,0.3,1.0,26,9,17,34.61538461538461,-0.19870175177361368,-5.166245546113956,0.6532971796565908,9.777730105541691,2.0,-1.0,2,5,0.9173268108425147,0.866276866503288,26,9,17,34.61538461538461,-0.2162326003733065,-5.622047609705969,0.6301118193830132,10.038837515091698,1.9861440602895721,-1.029358686386083,2,5,0.9173268108425147,0.866276866503288,26.0,26.0,4.0,1.0,3.0,25.0,-0.5884966881455339,-2.3539867525821356,0.2226218335342913,3.0281101967197754,0.6741234441376399,-1.0129502509460568,1.0,3.0,0.367106119540987,1.05806368082257
