variant,candidate_id,timestamp,bar_index,event,bos_level,same_bar_setup_bos,touch_tolerance,penetration_limit
P0.10_W1,6.0,2026-06-29 14:50:00-05:00,5710.0,SETUP_ACCEPTED,,,,
P0.10_W1,6.0,2026-06-29 14:50:00-05:00,5710.0,BOS_ACCEPTED,29679.25,True,,
P0.10_W1,7.0,2026-06-29 18:05:00-05:00,5737.0,SETUP_ACCEPTED,,,,
P0.10_W1,7.0,2026-06-29 18:05:00-05:00,5737.0,BOS_ACCEPTED,29717.75,True,,
P0.10_W1,8.0,2026-06-29 19:30:00-05:00,5754.0,SETUP_ACCEPTED,,,,
P0.10_W1,8.0,2026-06-29 19:30:00-05:00,5754.0,BOS_ACCEPTED,29652.5,True,,
P0.10_W1,8.0,2026-06-29 19:35:00-05:00,5755.0,RETEST_TOUCH_ACCEPTED,29652.5,,3.1157830702947145,3.1157830702947145
P0.10_W1,8.0,2026-06-29 19:40:00-05:00,5756.0,RECLAIM_ACCEPTED,29652.5,,,3.2235842795593777
P0.10_W1,9.0,2026-06-30 07:00:00-05:00,5892.0,SETUP_ACCEPTED,,,,
P0.10_W1,9.0,2026-06-30 07:00:00-05:00,5892.0,BOS_ACCEPTED,29796.5,True,,
P0.10_W1,9.0,2026-06-30 07:10:00-05:00,5894.0,RETEST_TOUCH_ACCEPTED,29796.5,,2.4874171585440816,2.4874171585440816
P0.10_W1,9.0,2026-06-30 07:15:00-05:00,5895.0,RECLAIM_ACCEPTED,29796.5,,,2.432958790076647
P0.10_W1,9.0,2026-06-30 07:20:00-05:00,5896.0,CONFIRM_ENTRY,,,,
P0.10_W1,12.0,2026-06-30 10:50:00-05:00,5938.0,SETUP_ACCEPTED,,,,
P0.10_W1,12.0,2026-06-30 10:50:00-05:00,5938.0,BOS_ACCEPTED,30124.75,True,,
P0.10_W1,13.0,2026-06-30 15:15:00-05:00,5991.0,SETUP_ACCEPTED,,,,
P0.10_W1,14.0,2026-06-30 18:05:00-05:00,6013.0,SETUP_ACCEPTED,,,,
P0.10_W1,15.0,2026-06-30 20:05:00-05:00,6037.0,SETUP_ACCEPTED,,,,
P0.10_W1,15.0,2026-06-30 20:05:00-05:00,6037.0,BOS_ACCEPTED,30189.25,True,,
P0.10_W1,15.0,2026-06-30 20:15:00-05:00,6039.0,RETEST_TOUCH_ACCEPTED,30189.25,,2.122372859496859,2.122372859496859
P0.10_W1,23.0,2026-07-02 05:00:00-05:00,6420.0,SETUP_ACCEPTED,,,,
P0.10_W1,23.0,2026-07-02 05:00:00-05:00,6420.0,BOS_ACCEPTED,29625.75,True,,
P0.10_W1,23.0,2026-07-02 05:05:00-05:00,6421.0,RETEST_TOUCH_ACCEPTED,29625.75,,3.302732642265834,3.302732642265834
