variant,penetration_atr,reclaim_window_bars,candidate_id,current_result,reclaim_gate_result,reclaim_result,reclaim_entry_timestamp,gross_R,net_R_after_14.50_USD,trade_MFE_R,trade_MAE_R,current_diagnostic_MFE_ATR,current_diagnostic_MAE_ATR
P0.10_W1,0.1,1,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.10_W1,0.1,1,84,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.10_W1,0.1,1,86,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.5296509848498596,1.3332748720149847
P0.10_W1,0.1,1,117,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.10_W1,0.1,1,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.10_W1,0.1,1,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
P0.10_W1,0.1,1,149,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.080220178980585,2.4208410270007983
P0.10_W1,0.1,1,195,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,2.8720801946496235,0.9382128635855436
P0.10_W1,0.1,1,221,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,1.3619981896563942,3.1258974844572984
P0.10_W1,0.1,1,228,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.764279982511012,1.541994209703306
P0.10_W1,0.1,1,250,NO_ENTRY,RECLAIM_EXPIRED,NO_ENTRY,,,,,,3.042448330600813,1.0186768964065225
P0.10_W1,0.1,1,252,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,1.432152039613858,1.6147754540612629
P0.10_W2,0.1,2,72,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,2.2146054659014753,2.503062480367634
P0.10_W2,0.1,2,84,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,1.5622747770249552,2.0024737473469036
P0.10_W2,0.1,2,86,NO_ENTRY,MAX_PENETRATION_WAIT_RECLAIM,NO_ENTRY,,,,,,2.5296509848498596,1.3332748720149847
P0.10_W2,0.1,2,117,NO_ENTRY,MAX_PENETRATION_WAIT_RETEST,NO_ENTRY,,,,,,3.003497292376705,1.9934716542323263
P0.10_W2,0.1,2,133,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.463150783529468,1.629238169767948
P0.10_W2,0.1,2,140,NO_ENTRY,RETEST_EXPIRED,NO_ENTRY,,,,,,1.9819797069099176,1.429036093025629
