analysis_level,dimension,category,family_id,family_definition,direction_slice,sample_label,N,pct_all_trades,gross_wins,gross_losses,gross_flats,gross_win_rate_pct,gross_AvgR,gross_median_R,gross_TotalR,gross_PF,gross_MaxDD_R,net_wins,net_losses,net_flats,net_win_rate_pct,net_AvgR,net_median_R,net_TotalR,net_PF,net_MaxDD_R,avg_MFE_R,avg_MAE_R
Single factor,Direction,Long,,,All,ADEQUATE N,362,51.347517730496456,155,206,1,42.81767955801105,-0.046083697371847025,-0.5107645514584898,-16.682298448608623,0.9081052039754833,27.122678931948105,153,209,0,42.26519337016575,-0.07918715063492883,-0.5384508455502213,-28.665748529844237,0.8481279008208226,36.58567197245706,0.9470253953625475,0.9086052151015405
Single factor,Direction,Short,,,All,ADEQUATE N,343,48.652482269503544,134,209,0,39.067055393586,-0.026059163007525962,-1.0,-8.938292911581405,0.9520989289043768,24.790051472734717,131,212,0,38.19241982507289,-0.0594265817034214,-1.0065409858650949,-20.38331752427354,0.8948250144577898,30.824540366654986,1.0953801990489356,0.8914863887201852
Single factor,Entry session,After-hours,,,All,SMALL SAMPLE,5,0.7092198581560284,4,1,0,80.0,0.6270825677040843,0.8750940776693686,3.1354128385204216,4.135412838520422,1.0,4,1,0,80.0,0.601319145620713,0.819925103207598,3.006595728103565,3.970340889730544,1.0122056153549126,1.1753493869788532,0.6434338039370663
Single factor,Entry session,Afternoon,,,All,ADEQUATE N,83,11.77304964539007,30,52,1,36.144578313253014,-0.10579844500557536,-0.3635477599214254,-8.781270935462755,0.782902303256784,11.37826485279924,29,54,0,34.93975903614458,-0.12891215795595704,-0.37799006819227626,-10.699709110344434,0.743693989331061,13.046092518336868,0.9286885592674413,0.9236175105342669
Single factor direction slice,Entry session,Afternoon,,,Long,ADEQUATE N,39,5.531914893617022,11,27,1,28.205128205128204,-0.28615898292706443,-0.5182663005245425,-11.160200334155512,0.4812826948477947,14.64495648421532,11,28,0,28.205128205128204,-0.30932602096216383,-0.5388594396348314,-12.063714817524389,0.45591186337127865,15.40634485378529,0.7620681833736965,0.9863655163901303
Single factor direction slice,Entry session,Afternoon,,,Short,ADEQUATE N,44,6.24113475177305,19,25,0,43.18181818181818,0.05406657724301725,-0.12305702358130749,2.378929398692759,1.1256467021771204,3.6872782948725775,18,26,0,40.909090909090914,0.031000129708635325,-0.1546976314350328,1.3640057071799543,1.069686405203466,3.8200323689725915,1.0763748015368966,0.8679999598892966
Single factor,Entry session,Midday,,,All,ADEQUATE N,95,13.47517730496454,43,52,0,45.26315789473684,0.02633207927601119,-0.14470675008118897,2.501547531221063,1.0577427743175305,8.576068349279451,43,52,0,45.26315789473684,0.005446184997352236,-0.15731662267676977,0.5173875747484624,1.011661326223213,9.18274971104093,0.9475130287034952,0.774047131917109
Single factor direction slice,Entry session,Midday,,,Long,ADEQUATE N,52,7.375886524822695,26,26,0,50.0,-0.03400060226719824,-0.007335103373494949,-1.7680313178943086,0.9137196660188915,7.164960494501058,26,26,0,50.0,-0.058003680138814614,-0.03347425183268573,-3.01619136721836,0.8572265537363705,7.759027671871303,0.8061692592106595,0.7289960747566491
Single factor direction slice,Entry session,Midday,,,Short,ADEQUATE N,43,6.099290780141844,17,26,0,39.53488372093023,0.09929253137477612,-1.0,4.269578849115373,1.1870116189142366,6.371801197441501,17,26,0,39.53488372093023,0.08217625446434476,-1.0065409858650949,3.533578941966825,1.152033553578177,6.513390399330469,1.1184403778576224,0.8285274801111541
Single factor,Entry session,Morning,,,All,ADEQUATE N,68,9.645390070921986,31,37,0,45.588235294117645,-0.06285379311081662,-0.35259522932255644,-4.2740579315355305,0.866609661948794,13.205815965657912,30,38,0,44.11764705882353,-0.0794098929983298,-0.37039414478552024,-5.399872723886427,0.8348561139483847,14.049631497404544,0.8686164754921204,0.8095641734795631
Single factor direction slice,Entry session,Morning,,,Long,ADEQUATE N,37,5.24822695035461,18,19,0,48.64864864864865,0.022753677844446138,-0.09331417870350874,0.8418860802445071,1.052502954058796,7.770005679135238,18,19,0,48.64864864864865,0.0043716194737265165,-0.11264354429209354,0.16174992052788112,1.0098619431820035,8.173928504830085,0.8787248435798731,0.7693734961995197
Single factor direction slice,Entry session,Morning,,,Short,ADEQUATE N,31,4.397163120567376,13,18,0,41.935483870967744,-0.16503045199290445,-0.5552848127424578,-5.115944011780038,0.6803875852230886,7.189394820775031,12,19,0,38.70967741935484,-0.1794071820778808,-0.5643826995049048,-5.561622644414305,0.6587241875031415,7.382597258797625,0.8565516490648024,0.8575336915234858
Single factor,Entry session,Opening,,,All,ADEQUATE N,51,7.23404255319149,24,27,0,47.05882352941176,0.006414326400316409,-0.21392729062644536,0.32713064641613687,1.0142783398393038,7.351777225841593,24,27,0,47.05882352941176,-0.009410458415083856,-0.2208205033244087,-0.4799333791692767,0.9794701880726574,7.591461211074889,0.9426641395549653,0.7854154557026715
Single factor direction slice,Entry session,Opening,,,Long,ADEQUATE N,31,4.397163120567376,16,15,0,51.61290322580645,-0.024963751940780803,0.014240118705243063,-0.7738763101642049,0.9398222137715914,4.026562439643818,16,15,0,51.61290322580645,-0.041672107987705195,0.007357394664375542,-1.291835347618861,0.9016371929574648,4.348465157691529,0.8399890182590811,0.7853697017926295
Single factor,Entry session,Overnight,,,All,ADEQUATE N,235,33.333333333333336,90,145,0,38.297872340425535,-0.08612256416563976,-1.0,-20.238802578925345,0.8440455926213251,38.24625251048487,88,147,0,37.4468085106383,-0.1375499678680415,-1.0102670671719363,-32.32424244898975,0.764681943236767,45.6215989199638,1.0316152950105548,0.8900492703677657
Single factor direction slice,Entry session,Overnight,,,Long,ADEQUATE N,118,16.73758865248227,48,70,0,40.67796610169492,-0.08974572398711599,-0.7908877869255703,-10.589995430479686,0.8319200096536141,16.665090261978367,46,72,0,38.983050847457626,-0.13946096387137732,-0.8268109934218477,-16.456393736822523,0.7534599631758274,20.18466841914877,0.9869876094337232,0.922779886534023
Single factor direction slice,Entry session,Overnight,,,Short,ADEQUATE N,117,16.595744680851062,42,75,0,35.8974358974359,-0.08246843716620228,-1.0,-9.648807148445666,0.8554878844124508,25.09497038111075,42,75,0,35.8974358974359,-0.13562263856553183,-1.0157546924141119,-15.867848712167223,0.7752896552549039,28.826603122693903,1.0766244137974452,0.8570389053453866
Single factor,Entry session,Premarket,,,All,ADEQUATE N,168,23.829787234042552,67,101,0,39.88095238095239,0.010175292080809377,-1.0,1.7094490695759754,1.017330417284674,17.472447799228917,66,102,0,39.285714285714285,-0.02184102199154715,-1.013960706431147,-3.669291694579921,0.964022262479381,19.45925777271922,1.1666403603324726,1.0536600517723498
Single factor direction slice,Entry session,Premarket,,,Long,ADEQUATE N,83,11.77304964539007,35,48,0,42.168674698795186,0.08304608176109891,-1.0,6.89282478617121,1.1478205604658718,12.508801641781801,35,48,0,42.168674698795186,0.05051707627661849,-1.0112367726820213,4.192917330959335,1.087071593844377,12.879581239380432,1.1386622983904682,1.079369960826144
Single factor direction slice,Entry session,Premarket,,,Short,ADEQUATE N,85,12.056737588652481,32,53,0,37.64705882352941,-0.060980890783473324,-1.0,-5.183375716595233,0.9003369095904054,11.980853654352794,31,54,0,36.470588235294116,-0.09249657677105008,-1.020152329435606,-7.862209025539257,0.8539519076620858,12.966328885753816,1.1939601149346646,1.0285550817551155
Single factor,Entry HTF regime,Bear,,,All,ADEQUATE N,248,35.177304964539005,107,141,0,43.145161290322584,0.0037333783421087036,-0.6242027489678087,0.9258778288429586,1.0072312820863014,15.552763585057368,104,144,0,41.935483870967744,-0.022071359416741352,-0.6464365227121289,-5.4736971353518555,0.95840166407851,17.633781300732068,1.0517833277055815,0.9129961922365016
Single factor direction slice,Entry HTF regime,Bear,,,Long,ADEQUATE N,111,15.74468085106383,55,56,0,49.549549549549546,0.06743680227274612,-0.11704845027298728,7.48548505227482,1.147884018273962,8.686316440498555,55,56,0,49.549549549549546,0.04071162730087449,-0.12151477271761447,4.518990630397068,1.086745508862613,9.51803379510974,1.0547188174076048,0.93491392512348
Single factor direction slice,Entry HTF regime,Bear,,,Short,ADEQUATE N,137,19.43262411347518,52,85,0,37.95620437956204,-0.047880344696582935,-1.0,-6.559607223431862,0.9152730852208448,12.154331672688635,49,88,0,35.76642335766424,-0.07293932675729141,-1.0069138862190574,-9.992687765748922,0.8742895488768755,14.628422213518556,1.0494049382389787,0.8952380290944971
Single factor,Entry HTF regime,Bull,,,All,ADEQUATE N,433,61.41843971631206,176,256,1,40.64665127020785,-0.03369817279959359,-0.5616002689567001,-14.591308822224025,0.9347044014630637,41.60083925131701,174,259,0,40.184757505773675,-0.07152807235143069,-0.5987895166897238,-30.971655328169486,0.8675025933613881,53.8945646327613,1.0116319779590803,0.8868932067353007
Single factor direction slice,Entry HTF regime,Bull,,,Long,ADEQUATE N,238,33.758865248226954,96,141,1,40.33613445378151,-0.0805604046857558,-0.5606235305271678,-19.173376315209882,0.8433565444485663,30.32736962948678,94,144,0,39.49579831932773,-0.11734868043084865,-0.597520858567621,-27.928985942541978,0.7816631523635719,37.30417585790132,0.9152008642863179,0.8908015033398239
Single factor direction slice,Entry HTF regime,Bull,,,Short,ADEQUATE N,195,27.659574468085108,80,115,0,41.02564102564102,0.023497782015312062,-0.6070784591013549,4.5820674929858525,1.0453382578977675,22.59525984002908,80,115,0,41.02564102564102,-0.015603432746807769,-0.661561303094527,-3.042669385627515,0.9712510806055406,25.14006045720985,1.1293273884930155,0.8821230806231134
Single factor,Entry HTF regime,Neutral,,,All,SMALL SAMPLE,24,3.404255319148936,6,18,0,25.0,-0.49813168195037316,-1.0,-11.955160366808956,0.2812238913446675,12.586029039739438,6,18,0,25.0,-0.525154732941518,-1.0181397027217267,-12.603713590596433,0.26789376060776443,13.217130607691129,0.8191537361567147,1.0102960419476459
Single factor,Setup HTF regime,Bear,,,All,ADEQUATE N,261,37.02127659574468,111,150,0,42.5287356321839,-0.015588235083642172,-0.6412533393558586,-4.068529356830607,0.9702061731554766,16.134329012943176,108,153,0,41.37931034482759,-0.04110900518410415,-0.6663835377900741,-10.729450353051185,0.9235369489447598,18.281100864797434,1.0297849193863549,0.9178235251257686
Single factor direction slice,Setup HTF regime,Bear,,,Long,ADEQUATE N,124,17.588652482269502,59,65,0,47.58064516129033,0.020089337633881113,-0.25416071756715164,2.491077866601258,1.042124889495915,9.786148168908904,59,65,0,47.58064516129033,-0.005941633768566564,-0.2690983401282113,-0.7367625873022539,0.9878886312067535,10.703395610640719,1.0081079630733754,0.9427768554183831
Single factor direction slice,Setup HTF regime,Bear,,,Short,ADEQUATE N,137,19.43262411347518,52,85,0,37.95620437956204,-0.047880344696582935,-1.0,-6.559607223431862,0.9152730852208448,12.154331672688635,49,88,0,35.76642335766424,-0.07293932675729141,-1.0069138862190574,-9.992687765748922,0.8742895488768755,14.628422213518556,1.0494049382389787,0.8952380290944971
Single factor,Setup HTF regime,Bull,,,All,ADEQUATE N,444,62.97872340425532,178,265,1,40.090090090090094,-0.04854068018774646,-0.6040081755970201,-21.552062003359428,0.9069346297372295,47.52770989076808,176,268,0,39.63963963963964,-0.08630544076816801,-0.6434671699176302,-38.319615701066596,0.8418055502457951,60.43922302280512,1.0129836428720462,0.8899616647296296
Single factor direction slice,Setup HTF regime,Bull,,,Long,ADEQUATE N,238,33.758865248226954,96,141,1,40.33613445378151,-0.0805604046857558,-0.5606235305271678,-19.173376315209882,0.8433565444485663,30.32736962948678,94,144,0,39.49579831932773,-0.11734868043084865,-0.597520858567621,-27.928985942541978,0.7816631523635719,37.30417585790132,0.9152008642863179,0.8908015033398239
Single factor direction slice,Setup HTF regime,Bull,,,Short,ADEQUATE N,206,29.21985815602837,82,124,0,39.80582524271845,-0.011547017903638556,-0.7031852276111155,-2.3786856881495426,0.9782128616157761,25.081457151358165,82,124,0,39.80582524271845,-0.0504399502841001,-0.744047831824342,-10.390629758524621,0.9091045976925901,27.832881451800297,1.125955979296334,0.8889913657528029
Single factor,Setup trigger type,Matching BOS + liquidity sweep,,,All,SMALL SAMPLE,7,0.9929078014184397,3,4,0,42.857142857142854,0.2857142857142857,-1.0,2.0,1.5,3.0,3,4,0,42.857142857142854,0.26141077753547537,-1.0107872285306043,1.8298754427483275,1.4477969163301811,3.0684494351364204,1.3616445531650962,0.7809263351526582
Single factor,Setup trigger type,Matching BOS only,,,All,ADEQUATE N,657,93.19148936170212,270,386,1,41.0958904109589,-0.034070563295635556,-0.5616002689567001,-22.384360085232558,0.9339959075184012,37.62785408230198,266,391,0,40.48706240487062,-0.06709430400284228,-0.5987895166897238,-44.08095772986738,0.8749136799317708,53.134665827675306,1.020624507677611,0.8981347802637952
Single factor direction slice,Setup trigger type,Matching BOS only,,,Long,ADEQUATE N,337,47.801418439716315,142,194,1,42.13649851632047,-0.07070962592285307,-0.5182663005245425,-23.829143936001483,0.859445697089208,32.26066806074691,141,196,0,41.839762611275965,-0.10351934809900452,-0.5388594396348314,-34.886020309364525,0.8020980855906713,40.9671825162118,0.9319750359573667,0.9168310282387635
Single factor direction slice,Setup trigger type,Matching BOS only,,,Short,ADEQUATE N,320,45.39007092198582,128,192,0,40.0,0.00451494953365289,-0.688211496146256,1.4447838507689248,1.0085188219417167,16.686861464228528,125,195,0,39.0625,-0.028734179439071434,-0.7134714768980934,-9.194937420502859,0.9477931036835879,23.338431151991667,1.1139834825829935,0.8784452941151567
Single factor,Setup trigger type,Matching liquidity sweep only,,,All,ADEQUATE N,41,5.815602836879433,16,25,0,39.02439024390244,-0.127712957925792,-1.0,-5.236231274957472,0.790550749001701,9.952463154821343,15,26,0,36.58536585365854,-0.16580448212192,-1.0166717964652916,-6.79798376699872,0.7391653612984207,10.471293309185628,0.9379704385044132,0.9549727858146095
