type,characteristic,definition,winner_count,winner_share_of_17_pct,loser_count,loser_share_of_25_pct,N,wins,losses,win_rate_pct,AvgR,TotalR,PF
LOSER CLUSTER,Weak BOS displacement,Bottom quartile BOS displacement / ATR,4,23.529411764705884,7,28.0,11,4,7,36.36363636363637,-0.07982419705035945,-0.878066167553954,0.8346012412058229
LOSER CLUSTER,Deep retest penetration,Top quartile max penetration through BOS / ATR,4,23.529411764705884,7,28.0,11,4,7,36.36363636363637,0.20408330208869874,2.244916322975686,1.397544568216949
LOSER CLUSTER,Weak confirmation body,Bottom quartile confirmation body / ATR,1,5.882352941176471,10,40.0,11,1,10,9.090909090909092,-0.7092595009547034,-7.8018545105017365,0.0625972151652767
LOSER CLUSTER,Delayed confirmation,Top quartile retest-to-confirm delay,7,41.1764705882353,4,16.0,11,7,4,63.63636363636363,0.485132415053825,5.336456565592075,2.4942236623764065
LOSER CLUSTER,ATR regime extreme,Entry ATR in lowest or highest trailing percentile quarter,12,70.58823529411765,14,56.0,26,12,14,46.15384615384615,0.09107421274945574,2.3679295314858493,1.1985557351823148
LOSER CLUSTER,HTF disagreement,Frozen HTF regime opposed to trade direction,11,64.70588235294117,15,60.0,26,11,15,42.30769230769231,0.1309468305722746,3.4046175948791397,1.2419400685637263
LOSER CLUSTER,Overnight or premarket,Entry outside frozen 09:30-16:00 preferred session,7,41.1764705882353,17,68.0,24,7,17,29.166666666666668,-0.15297669813949497,-3.6714407553478794,0.7478096605683969
LOSER CLUSTER,Constrained directional room,Bottom quartile signed room to active structure,6,35.294117647058826,5,20.0,11,6,5,54.54545454545455,0.5661378081391585,6.227515889530743,2.6498334093608036
LOSER CLUSTER,Low relative BOS volume,Bottom quartile causal BOS relative volume,4,23.529411764705884,7,28.0,11,4,7,36.36363636363637,-0.34005069169480673,-3.740557608642874,0.3640704398181808
LOSER CLUSTER,Weak directional close location,Bottom quartile confirmation close location in trade direction,2,11.764705882352942,9,36.0,11,2,9,18.181818181818183,-0.4989316860329071,-5.488248546361978,0.35150678717699285
WINNER CHARACTERISTIC,Strong BOS displacement,Top quartile BOS displacement / ATR,7,41.1764705882353,4,16.0,11,7,4,63.63636363636363,0.6300261252597298,6.930287377857027,3.338135934101093
WINNER CHARACTERISTIC,Shallow retest penetration,Bottom quartile max penetration through BOS / ATR,5,29.41176470588235,6,24.0,11,5,6,45.45454545454545,0.29418076192269565,3.235988381149652,1.5770656897192996
WINNER CHARACTERISTIC,Strong confirmation body,Top quartile confirmation body / ATR,2,11.764705882352942,9,36.0,11,2,9,18.181818181818183,-0.732784389225715,-8.060628281482865,0.054723033466094466
WINNER CHARACTERISTIC,Fast confirmation,Bottom quartile retest-to-confirm delay,10,58.8235294117647,21,84.0,31,10,21,32.25806451612903,-0.18359929124233632,-5.691578028512426,0.6873818617967022
WINNER CHARACTERISTIC,Middle ATR regime,Entry ATR in middle two trailing percentile quarters,5,29.41176470588235,12,48.0,17,5,12,29.41176470588235,-0.1776594816481034,-3.020211188017758,0.7024114755013896
WINNER CHARACTERISTIC,HTF alignment,Frozen HTF regime aligned with trade direction,6,35.294117647058826,10,40.0,16,6,10,37.5,-0.23498369111246825,-3.759739057799492,0.5120647065588418
WINNER CHARACTERISTIC,Core session,Entry in frozen 09:30-16:00 preferred session,10,58.8235294117647,8,32.0,18,10,8,55.55555555555556,0.1842399606904182,3.3163192924275275,1.4593657115102172
WINNER CHARACTERISTIC,More directional room,Top quartile signed room to active structure,4,23.529411764705884,7,28.0,11,4,7,36.36363636363637,-0.15211955125555798,-1.6733150638111378,0.7663529122168347
WINNER CHARACTERISTIC,High relative BOS volume,Top quartile causal BOS relative volume,6,35.294117647058826,5,20.0,11,6,5,54.54545454545455,0.44063248216376766,4.846957303801444,2.0789426721063164
WINNER CHARACTERISTIC,Strong directional close location,Top quartile confirmation close location in trade direction,4,23.529411764705884,7,28.0,11,4,7,36.36363636363637,-0.12051095214238015,-1.3256204735661816,0.7704426793527195
