feature,feature_label,winner_N,loser_N,winner_mean,loser_mean,winner_median,loser_median,mean_difference_W_minus_L,median_difference_W_minus_L,standardized_effect_Cohen_d,absolute_effect,relationship,LOO_stability,LOO_sign_consistency,LOO_min_effect_ratio,effect_without_best_trade,effect_without_worst_trade,effect_without_top2_winners,effect_without_top2_losers,outlier_dependence,outlier_min_effect_ratio
entry_atr,Entry ATR (points),17,25,40.79671499271649,28.893069862655157,35.06520556934215,27.834923166764813,11.903645130061332,7.230282402577334,0.7109494045034873,0.7109494045034873,Higher among winners,STABLE,1.0,0.8590259974682019,0.6259404328276694,0.6673356375238876,0.531943081216729,0.6215231404009861,ROBUST TO LISTED REMOVALS,0.7482151020130993
retest_range_atr,Retest range / ATR,17,25,1.1981886816853904,0.9471603253773466,1.0678017267734812,0.8906268303645155,0.25102835630804377,0.17717489640896567,0.5689166179788315,0.5689166179788315,Higher among winners,STABLE,1.0,0.7717168183347572,0.43904252232439445,0.5260185448994533,0.391147716078974,0.5141369366807689,ROBUST TO LISTED REMOVALS,0.6875308326703298
retest_to_confirm_bars,Bars retest to confirmation,17,25,1.5294117647058822,1.2,1.0,1.0,0.3294117647058823,0.0,0.5521866199020338,0.5521866199020338,Higher mean among winners; medians equal,STABLE,1.0,0.777415770128138,0.6063841964645625,0.5322267947569143,0.554475757536606,0.5113545970272785,ROBUST TO LISTED REMOVALS,0.9260539437156237
setup_lower_wick_ratio,Setup lower wick / range,17,25,0.1458504687980769,0.2334562906807099,0.1319796954314721,0.2,-0.087605821882633,-0.06802030456852792,-0.5233035630242114,0.5233035630242114,Lower among winners,STABLE,1.0,0.8599707912971016,-0.4738976604002806,-0.5226508616229112,-0.428578184920906,-0.4521110995681668,ROBUST TO LISTED REMOVALS,0.8189857956328823
bos_displacement_points,BOS close displacement (points),17,25,49.161764705882355,31.95,34.25,22.5,17.211764705882356,11.75,0.4861185025141072,0.4861185025141072,Higher among winners,PARTIALLY STABLE,1.0,0.7239817806162037,0.35194093904064583,0.46244135728022434,0.2774729596467388,0.42650095024645873,ROBUST TO LISTED REMOVALS,0.5707928379843689
retest_body_atr,Retest body / ATR,17,25,0.4834038604508757,0.3389344883444923,0.422124610821041,0.23372952190567903,0.1444693721063834,0.188395088915362,0.4559350394032685,0.4559350394032685,Higher among winners,STABLE,1.0,0.75658830904317,0.3724295782658391,0.4168139275125341,0.35365265185183337,0.432863782441899,ROBUST TO LISTED REMOVALS,0.7756645602730968
bos_lower_wick_ratio,BOS lower wick / range,17,25,0.1458504687980769,0.21115144983697934,0.1319796954314721,0.1941747572815534,-0.06530098103890244,-0.06219506185008131,-0.43672270209157493,0.43672270209157493,Lower among winners,STABLE,1.0,0.8171051192883458,-0.38290625631494,-0.4315803213263166,-0.3336555156731027,-0.3475851115547307,ROBUST TO LISTED REMOVALS,0.7639985603568179
setup_session_component,Setup session component,17,25,5.294117647058823,3.2,10.0,0.0,2.094117647058823,10.0,0.4257934577534024,0.4257934577534024,Higher among winners,STABLE,1.0,0.8592505665784551,0.49453895868599107,0.3958560661052499,0.434197111670432,0.3640791319632422,ROBUST TO LISTED REMOVALS,0.8550604179881459
retest_close_distance_bos_atr,Retest close beyond BOS / ATR,17,25,0.4632949324763269,0.31709720884213,0.37951742544609945,0.24047976249028472,0.14619772363419692,0.13903766295581474,0.41383730237601696,0.41383730237601696,Higher among winners,PARTIALLY STABLE,1.0,0.7427699543729945,0.3073859142036773,0.3913930977553921,0.3454536356344534,0.4341279397163151,ROBUST TO LISTED REMOVALS,0.7427699543729945
bos_relative_volume_20,BOS volume / prior-20 mean,17,25,1.9361663077921685,1.5924277191945546,1.6467677980283022,1.2972620599739244,0.34373858859761386,0.3495057380543778,0.36769471026418554,0.36769471026418554,Higher among winners,PARTIALLY STABLE,1.0,0.5240524501853685,0.19269131383414562,0.3776794300119964,0.052982910876274436,0.3463099520444006,SENSITIVE TO OUTLIER REMOVAL,0.14409484117464366
bos_upper_wick_ratio,BOS upper wick / range,17,25,0.15281180183567497,0.10828556598988236,0.07692307692307693,0.08148148148148149,0.044526235845792614,-0.004558404558404561,0.3562350563060484,0.3562350563060484,Lower among winners,PARTIALLY STABLE,1.0,0.5701677008256784,0.3803600803615825,0.32265885532395866,0.22075159516904497,0.2934228068578143,ROBUST TO LISTED REMOVALS,0.6196795943052641
nearest_structure_distance_atr,Nearest active structure distance / ATR,17,25,0.9373227535683907,0.7723480130291529,0.9104254914206543,0.7736305844624319,0.16497474053923777,0.13679490695822238,0.33466006606806753,0.33466006606806753,Higher among winners,PARTIALLY STABLE,1.0,0.7200048852239704,0.266914586285617,0.2936487184737765,0.16057868659842262,0.32422104740830626,SENSITIVE TO OUTLIER REMOVAL,0.479826256192043
session_high_distance_atr,Distance below causal session high / ATR,17,25,5.059642382785775,3.944587838129966,4.113764561132908,4.055567091956871,1.1150545446558087,0.05819746917603652,0.2981888767139597,0.2981888767139597,Higher among winners,PARTIALLY STABLE,1.0,0.5234132024132397,0.28149598353289346,0.2569734297091131,0.25819512163565816,0.2620229476013877,ROBUST TO LISTED REMOVALS,0.8617807362265129
retest_distance_points,Retest probe distance to BOS (points),17,25,9.161764705882353,6.72,5.25,5.25,2.4417647058823535,0.0,0.2904544250739221,0.2904544250739221,Higher mean among winners; medians equal,UNSTABLE,1.0,0.24597121170289682,0.07144342687990088,0.2592917722868592,0.1298365981511858,0.22488820001382012,SENSITIVE TO OUTLIER REMOVAL,0.24597121170289682
