model,dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,direction,Long,1430,600,828,41.95804195804196,-0.01573160175042966,-22.496190503114413,0.9694401949841595,52.4337552243059,2.0,-1.0,6,12,2,0.03016893314652153,-0.07486271071761186,0.043399507216752536,True
Control,direction,Short,1300,522,776,40.15384615384615,-0.0025852603406635406,-3.360838442862603,0.9951752628958412,56.34808305154174,2.0,-1.0,7,13,2,0.03341320885019276,-0.06807514968704136,0.06290462900571427,True
Control,HTF_regime,Bull,1714,695,1016,40.548424737456244,-0.0012797671044741281,-2.1935208170686558,0.9975808522535572,50.863285674116426,2.0,-1.0,10,22,3,0.028692755529873406,-0.057517567943025996,0.054958033734077746,True
Control,HTF_regime,Bear,1016,427,588,42.02755905511811,-0.023290854457586958,-23.663508128908347,0.9550113567516021,40.54619800954134,2.0,-1.0,9,13,1,0.035883330094464705,-0.09362218144273778,0.04704047252756387,True
Control,HTF_regime,Neutral,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,session,Overnight,1025,420,603,40.97560975609756,0.005849389069836127,5.995623796582031,1.0114139680889027,29.658179252696485,2.0,-1.0,7,16,2,0.036445089894165804,-0.06558298712272884,0.0772817652624011,True
Control,session,Premarket,710,278,432,39.15492957746479,0.04175461871487926,29.645779287564274,1.0726985743984518,31.36952233298029,2.0,-1.0,6,18,0,0.04895207728597214,-0.05419145276562613,0.13770069019538467,True
Control,session,Open,158,69,89,43.67088607594937,-0.04793437619793868,-7.573631439274312,0.906324660660671,27.359509144268728,2.0,-1.0,5,9,0,0.08649663519758173,-0.21746778118519888,0.12159902878932151,True
Control,session,MidAM,235,105,130,44.680851063829785,-0.0033988728275968893,-0.798735114485269,0.9926320968059487,12.247894117594532,2.0,-1.0,8,8,0,0.0688053231388851,-0.13825730617981166,0.1314595605246179,True
Control,session,Midday,295,127,168,43.05084745762712,-0.03447220335472337,-10.169299989643394,0.932889645960625,20.25027497824688,2.0,-1.0,5,7,0,0.06545145262378524,-0.16275705049734243,0.0938126437878957,True
Control,session,PM,307,123,182,40.06514657980456,-0.13992431754632031,-42.956765486720336,0.7295842205985356,49.023821966578105,2.0,-1.0,4,9,2,0.05833907985573204,-0.2542689140635551,-0.02557972102908551,True
Control,session,After-hours,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,score_band,70-74,44,18,26,40.90909090909091,-0.005542029329669662,-0.2438492905054651,0.989561560100841,11.043633605097485,2.0,-1.0,5,6,0,0.18197515049117644,-0.3622133242923755,0.35112926563303615,True
Control,score_band,75-79,1463,583,877,39.849624060150376,-0.03556242248727745,-52.02782409888691,0.9330879739388264,64.76598333141001,2.0,-1.0,9,14,3,0.030207437933463994,-0.09476900083686687,0.02364415586231198,True
Control,score_band,80-84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,score_band,85-89,292,125,166,42.80821917808219,-0.1022320197712653,-29.851749773209466,0.7977431604097811,31.35178902195501,2.0,-1.0,5,10,1,0.060334596158101085,-0.22048782824114344,0.01602378869861283,True
Control,score_band,90-94,738,320,418,43.360433604336045,0.11405915550048398,84.17565675935718,1.2219277815997196,16.82038795282405,2.0,-1.0,6,11,0,0.04683694438541947,0.022258744505061823,0.20585956649590614,True
Control,score_band,95+,193,76,117,39.37823834196891,-0.14460757794161827,-27.90926254273233,0.7339915893046441,44.92097317100891,2.0,-1.0,5,8,0,0.07531304145938393,-0.29222113920201076,0.003005983318774219,True
Control,date_third,Early third,951,397,552,41.74553101997897,0.005127358172865602,4.876117622395188,1.009920578175216,37.65026295642696,2.0,-1.0,10,14,2,0.03799327629107919,-0.0693394633576496,0.07959417970338081,True
Control,date_third,Middle third,870,357,511,41.03448275862069,-0.007975264570981872,-6.938480176754229,0.984864370914083,47.26673476944087,2.0,-1.0,8,14,2,0.03999829476222023,-0.08637192230493351,0.07042139316296978,True
