model,dimension,bucket,feature_1,value_1,feature_2,value_2,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,HTF_regime x direction,Bull | Long,htf_regime_name,Bull,direction_name,Long,910,371,538,40.76923076923077,-0.025685385226580874,-23.373700556188595,0.9509602085303287,51.786100865359735,2.0,-1.0,7,11,1,0.03804266972986675,-0.10024901789711971,0.04887824744395797,True
Control,HTF_regime x direction,Bull | Short,htf_regime_name,Bull,direction_name,Short,804,324,478,40.298507462686565,0.026343507138208884,21.180179739119943,1.0492441335031553,32.15712225468397,2.0,-1.0,12,12,2,0.043450824067648594,-0.05882010803438236,0.11150712231080012,True
Control,HTF_regime x direction,Bear | Long,htf_regime_name,Bear,direction_name,Long,520,229,290,44.03846153846154,0.0016875193328349935,0.8775100530741966,1.0033814198859212,27.125460196441683,2.0,-1.0,5,12,1,0.049545870228032876,-0.09542238631410944,0.09879742497977943,True
Control,HTF_regime x direction,Bear | Short,htf_regime_name,Bear,direction_name,Short,496,198,298,39.91935483870968,-0.04947785923786803,-24.541018181982544,0.9079064186448276,33.512773021330396,2.0,-1.0,10,8,0,0.05203085790407053,-0.15145834072984626,0.052502622254110204,True
Control,HTF_regime x direction,Neutral | Long,htf_regime_name,Neutral,direction_name,Long,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,HTF_regime x direction,Neutral | Short,htf_regime_name,Neutral,direction_name,Short,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False
Control,HTF_regime x session,Bull | Overnight,htf_regime_name,Bull,session_name,Overnight,641,251,388,39.15756630265211,-0.007805366229352308,-5.00323975301483,0.985191103379047,33.18777440273588,2.0,-1.0,5,12,2,0.04660716699824404,-0.09915541354591063,0.08354468108720602,True
Control,HTF_regime x session,Bull | Premarket,htf_regime_name,Bull,session_name,Premarket,458,179,279,39.082969432314414,0.07262506907750713,33.26228163749826,1.126562929555588,20.66216547183403,2.0,-1.0,6,13,0,0.06220878077653241,-0.049304141244496405,0.19455427939951064,True
Control,HTF_regime x session,Bull | Open,htf_regime_name,Bull,session_name,Open,94,47,47,50.0,0.08851010386972465,8.319949763754117,1.1978321711096163,10.821235026063288,2.0,-1.0,5,6,0,0.11345179488676653,-0.13385541410833773,0.31087562184778705,True
Control,HTF_regime x session,Bull | MidAM,htf_regime_name,Bull,session_name,MidAM,144,64,80,44.44444444444444,0.003295561026836239,0.47456078786441847,1.0069713103292626,9.15810503491897,2.0,-1.0,4,10,0,0.09059115634979514,-0.17426310541876225,0.1808542274724347,True
Control,HTF_regime x session,Bull | Midday,htf_regime_name,Bull,session_name,Midday,177,77,100,43.50282485875706,0.009168791167319472,1.6228760366155464,1.0183444835976643,14.219374090398997,2.0,-1.0,5,12,0,0.08650541332601022,-0.16038181895166057,0.1787194012862995,True
