hypothesis_id,model,dimension,condition,conditions_json,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample,one_sided_p,bootstrap_probability_positive,bootstrap_ci95_low_R,bootstrap_ci95_high_R,first_half_N,first_half_avg_R,first_half_total_R,second_half_N,second_half_avg_R,second_half_total_R,without_best_5_total_R,best_month,without_best_month_total_R,positive_month_pct,positive_quarter_pct,best_quarter,best_quarter_R,worst_quarter,worst_quarter_R,longest_losing_months,yearly_results,fdr_q,evidence_label
H0001,Control,direction,Long,"[{""feature"": ""direction_name"", ""value"": ""Long""}]",875,364,511,41.6,-0.0365813135384147,-32.00864934611286,0.9300147403073771,41.44744310343154,2.0,-1.0,6,12,0,0.038328865749758696,-0.11170589040794174,0.03854326333111235,True,0.8300610078731476,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0002,Control,direction,Short,"[{""feature"": ""direction_name"", ""value"": ""Short""}]",774,315,457,40.69767441860465,0.010178725803900987,7.878333772219364,1.0192992744371863,33.3435786886685,2.0,-1.0,6,9,2,0.04324394891693402,-0.07457941407328969,0.09493686568109166,True,0.4069572169677671,0.5785,-0.07361171240369704,0.0976380641247069,389.0,-0.004147588880996118,-1.6134120747074898,385.0,0.024653885316693117,9.49174584692685,-2.121666227780638,2025-04,-10.77085214489949,44.44444444444444,66.66666666666666,2025Q2,13.559179420933242,2025Q1,-8.33670948084404,4.0,"{""2024"": {""count"": 515, ""mean"": 0.005157, ""sum"": 2.655864}, ""2025"": {""count"": 259, ""mean"": 0.020164, ""sum"": 5.22247}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0003,Control,HTF_regime,Bull,"[{""feature"": ""htf_regime_name"", ""value"": ""Bull""}]",982,401,579,40.835030549898164,-0.0011948322801001562,-1.1733252990583534,0.9977119104650932,50.863285674116426,2.0,-1.0,10,11,2,0.037538537366006965,-0.0747703655174738,0.07238070095727349,True,0.5126959832038077,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0004,Control,HTF_regime,Bear,"[{""feature"": ""htf_regime_name"", ""value"": ""Bear""}]",667,278,389,41.67916041979011,-0.03441827627411567,-22.956990274835153,0.9349263923927991,40.54619800954134,2.0,-1.0,6,13,0,0.044642612922762476,-0.12191779760273012,0.05308124505449878,True,0.7796387118828322,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0005,Control,HTF_regime,Neutral,"[{""feature"": ""htf_regime_name"", ""value"": ""Neutral""}]",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0006,Control,session,Overnight,"[{""feature"": ""session_name"", ""value"": ""Overnight""}]",623,251,370,40.28892455858748,-0.016712940705695612,-10.412162059648367,0.9673891717986931,29.658179252696485,2.0,-1.0,6,12,2,0.046065970430595335,-0.10700224274966247,0.07357636133827125,True,0.6416245295760263,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0007,Control,session,Premarket,"[{""feature"": ""session_name"", ""value"": ""Premarket""}]",420,167,253,39.76190476190476,0.046558293640880204,19.554483329169685,1.0821674804474068,15.577668136888477,2.0,-1.0,5,9,0,0.06323557343915243,-0.07738343029985856,0.17050001758161895,True,0.23078397923493799,0.759,-0.08217375980787398,0.17480538514999414,218.0,0.025997142534442574,5.667377072508481,202.0,0.06874805077555046,13.887106256661195,9.554483329169685,2024-10,11.774452768212816,55.55555555555556,83.33333333333334,2024Q2,11.62528393023587,2024Q3,-9.049106243255967,3.0,"{""2024"": {""count"": 286, ""mean"": 0.038332, ""sum"": 10.963003}, ""2025"": {""count"": 134, ""mean"": 0.064116, ""sum"": 8.59148}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0008,Control,session,Open,"[{""feature"": ""session_name"", ""value"": ""Open""}]",95,43,52,45.26315789473684,0.0046649381779128975,0.4431691269017253,1.0093506487481585,12.43364249665964,2.0,-1.0,5,8,0,0.11468934059534486,-0.22012616938896304,0.2294560457447888,True,0.48377767249209847,0.504,-0.216656537102893,0.2373491749805259,55.0,0.16972406196703058,9.334823408186681,40.0,-0.22229135703212394,-8.891654281284957,-9.556830873098274,2024-08,-6.310681840076031,44.44444444444444,50.0,2024Q1,6.6685154516110785,2025Q1,-7.6580190684543314,4.0,"{""2024"": {""count"": 70, ""mean"": 0.107989, ""sum"": 7.5592}, ""2025"": {""count"": 25, ""mean"": -0.284641, ""sum"": -7.116031}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0009,Control,session,MidAM,"[{""feature"": ""session_name"", ""value"": ""MidAM""}]",149,66,83,44.29530201342282,0.009927507694046038,1.4791986464128597,1.020696389108947,11.29969841723451,2.0,-1.0,8,8,0,0.08983354982020053,-0.166146249953547,0.18600126534163908,True,0.45600245051210087,0.55,-0.1642133659281101,0.19084134431701244,74.0,-0.03038512663921965,-2.248499371302254,75.0,0.04970264023620152,3.7276980177151144,-8.520801353587142,2024-07,-6.243972639132991,50.0,50.0,2025Q2,7.061995666215944,2025Q1,-6.454336497771498,3.0,"{""2024"": {""count"": 94, ""mean"": 0.009272, ""sum"": 0.871539}, ""2025"": {""count"": 55, ""mean"": 0.011048, ""sum"": 0.607659}}",0.9927819330416757,DESCRIPTIVE PATTERN
H0010,Control,session,Midday,"[{""feature"": ""session_name"", ""value"": ""Midday""}]",171,68,103,39.76608187134503,-0.09330372135296794,-15.954936351357517,0.8298972130395802,20.25027497824688,2.0,-1.0,5,7,0,0.08638488231350479,-0.26261809068743736,0.07601064798150145,True,0.8599496534293213,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0011,Control,session,PM,"[{""feature"": ""session_name"", ""value"": ""PM""}]",191,84,107,43.97905759162304,-0.1007333417035177,-19.24006826537188,0.7988525418395419,22.054697956504736,2.0,-1.0,4,9,0,0.07436685259803907,-0.24649237279567426,0.045025689388638865,True,0.9122189166424307,,,,,,,,,,,,,,,,,,,,,0.9927819330416757,DESCRIPTIVE PATTERN
H0012,Control,session,After-hours,"[{""feature"": ""session_name"", ""value"": ""After-hours""}]",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
H0013,Control,score_band,70-74,"[{""feature"": ""score_band"", ""value"": ""70-74""}]",23,12,11,52.17391304347826,0.2557661969151663,5.882622529048824,1.6003407186139749,4.662170347358185,2.0,-1.0,5,4,0,0.26311853051068973,-0.2599461228857856,0.7714785167161182,False,0.16551110807139224,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE PATTERN
