model,period_type,period,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,month,2024-01,88,34,54,38.63636363636363,-0.06155297334800546,-5.41666165462448,0.891590121158676,15.89730961419578,2.0,-1.0,10,14,0,0.1276072427019235,-0.3116631690437755,0.18855722234776456,True
Control,month,2024-02,108,45,62,41.666666666666664,0.027324681372386177,2.9510655882177073,1.0525088000956537,11.330419858939184,2.0,-1.0,5,6,1,0.11732713231112646,-0.2026364979574217,0.25728586070219406,True
Control,month,2024-03,81,35,46,43.20987654320987,0.10095732769334138,8.177543543160652,1.209207573140704,7.618826281151762,2.0,-1.0,4,6,0,0.13389885469997248,-0.1614844275186047,0.36339908290528744,True
Control,month,2024-04,104,44,59,42.30769230769231,0.0262793052880234,2.7330477499544337,1.052268606463273,11.514650354401626,2.0,-1.0,4,6,1,0.11471110029952451,-0.19855445129904464,0.2511130618750914,True
Control,month,2024-05,113,47,66,41.5929203539823,0.029076318307863565,3.285623968788583,1.0561073396208291,16.481321723085465,2.0,-1.0,6,7,0,0.11199304776810948,-0.19043005531763102,0.24858269193335814,True
Control,month,2024-06,91,36,55,39.56043956043956,-0.07390843008798846,-6.72566713800695,0.8599545004271895,10.449491126532804,2.0,-1.0,3,8,0,0.1180371542619866,-0.3052612524414822,0.15744439226550527,True
Control,month,2024-07,108,40,68,37.03703703703704,-0.12574546971674408,-13.58051072940836,0.7715994095604811,23.138837027790963,2.0,-1.0,5,7,0,0.10432419210336606,-0.33022088623934154,0.0787299468058534,True
Control,month,2024-08,83,35,48,42.16867469879518,-0.10664343383114101,-8.851405007984704,0.8026932674982298,11.499683173617134,2.0,-1.0,3,4,0,0.11951805194422438,-0.3408988156418208,0.1276119479795388,True
Control,month,2024-09,83,32,51,38.55421686746988,0.052366807663164136,4.346445036042623,1.0982848419585447,8.910549328773543,2.0,-1.0,5,6,0,0.13754274834791977,-0.2172169790987586,0.3219505944250869,True
Control,month,2024-10,101,52,49,51.48514851485149,0.1777884778837196,17.95663626625568,1.4004153165073565,7.920169035717437,2.0,-1.0,6,4,0,0.12133667508536948,-0.060031405283604566,0.41560836105104376,True
Control,month,2024-11,86,37,49,43.02325581395349,-0.08271619696672769,-7.113592939138581,0.8388726874614513,13.642820351840736,2.0,-1.0,4,6,0,0.11510632248087578,-0.3083245890292442,0.14289219509578885,True
Control,month,2024-12,88,41,47,46.59090909090909,0.10826614744127742,9.527420974832413,1.23065711183468,8.748833239476042,2.0,-1.0,5,7,0,0.12621741501345546,-0.13911998598509528,0.3556522808676501,True
Control,month,2025-01,89,23,66,25.84269662921348,-0.28409953391701054,-25.284858518613937,0.5744226135556671,33.698388887066564,2.0,-1.0,3,14,0,0.11883568553845676,-0.5170174775723858,-0.051181590261635296,True
Control,month,2025-02,81,35,46,43.20987654320987,0.007460961233892221,0.6043378599452699,1.014573739348831,9.995373396376882,2.0,-1.0,4,6,0,0.13064083854676353,-0.24859508231776428,0.26351700478554874,True
Control,month,2025-03,89,32,57,35.95505617977528,-0.12553577238561334,-11.172683742319588,0.7813279215248389,16.17268374231959,2.0,-1.0,3,6,0,0.1221753005613112,-0.36499936148578327,0.11392781671455662,True
Control,month,2025-04,84,43,41,51.19047619047619,0.21690637430048948,18.220135441241116,1.5081344113375246,5.219599680200991,2.0,-1.0,4,6,0,0.13321769149019094,-0.04420030102028477,0.47801304962126373,True
Control,month,2025-05,88,39,49,44.31818181818182,0.02616239561611863,2.3022908142184395,1.0493389825745358,11.405102874615523,2.0,-1.0,4,7,0,0.12893222221184086,-0.22654475991908943,0.27886955115132667,True
Control,month,2025-06,84,29,55,34.523809523809526,-0.1915414653149265,-16.089483086453825,0.665626909232714,21.908500580669042,2.0,-1.0,3,11,0,0.11747721729555902,-0.4217968112142222,0.03871388058436917,True
Control,month,2025-07,80,39,41,48.75,0.22961986749452903,18.369589399562322,1.4895113403212308,7.646511819168309,2.0,-1.0,6,6,0,0.14405936153124016,-0.05273648110670168,0.5119762160957597,True
Control,month,2025-08,103,41,60,39.80582524271845,0.05295400784854113,5.454262808399736,1.103652820489972,14.353282861559396,2.0,-1.0,5,8,2,0.12108528984052322,-0.1843731602388844,0.29028117593596664,True
Control,month,2025-09,97,47,50,48.45360824742268,0.07105119591074593,6.891966003342356,1.14605344069278,8.145332061273567,2.0,-1.0,5,4,0,0.120550237476951,-0.16522726954407801,0.3073296613655699,True
Control,month,2025-10,86,33,53,38.372093023255815,-0.11726968691221121,-10.085193074450164,0.7789342085143601,13.700999942816669,2.0,-1.0,3,6,0,0.11631704227093329,-0.3452510897632405,0.11071171593881804,True
Control,month,2025-11,80,35,45,43.75,0.05408475137676423,4.326780110141138,1.105714234480105,13.758338975301527,2.0,-1.0,4,8,0,0.13323221374815325,-0.20705038756961613,0.31521989032314457,True
Control,month,2025-12,109,45,64,41.28440366972477,0.00022143411324478915,0.024136318343682017,1.000430950528297,9.71062080656226,2.0,-1.0,3,7,0,0.11136984922834238,-0.21806347037430626,0.21850633860079585,True
Control,month,2026-01,71,31,40,43.66197183098591,0.10719171254345072,7.610611590585002,1.2351289688735663,7.9132020338861455,2.0,-1.0,3,10,0,0.1400494627401271,-0.1673052344271984,0.38168865951409986,True
Control,month,2026-02,101,33,68,32.67326732673267,-0.22615182534404976,-22.841334359749027,0.6318201494085391,25.015471492211045,2.0,-1.0,5,21,0,0.10992700663038867,-0.44160875833961155,-0.010694892348487972,True
Control,month,2026-03,81,29,52,35.80246913580247,-0.1276655842691763,-10.34091232580328,0.7683201457367541,21.993671787304123,2.0,-1.0,6,8,0,0.12223899393205064,-0.36725401237599553,0.11192284383764295,True
Control,month,2026-04,104,44,60,42.30769230769231,0.08151704441650767,8.477772619316799,1.1515636640798657,10.542462747902043,2.0,-1.0,5,5,0,0.12512344183117083,-0.16372490157258715,0.3267589904056025,True
Control,month,2026-05,95,34,61,35.78947368421053,-0.1760041300120141,-16.72039235114134,0.6965825556916317,20.33760504798986,2.0,-1.0,3,6,0,0.11142325133733745,-0.3943937026331955,0.042385442609167295,True
Control,month,2026-06,74,32,42,43.24324324324324,0.09602702553201717,7.10599988936927,1.1912037696644926,7.656069410753306,2.0,-1.0,5,8,0,0.1436168196391164,-0.18546194096065097,0.37751599202468533,True
Control,quarter,2024Q1,277,114,162,41.15523465703971,0.020620749013551917,5.711947476753881,1.0393238068888973,15.89730961419578,2.0,-1.0,10,14,1,0.07242721477364182,-0.12133659194278605,0.16257808996988987,True
Control,quarter,2024Q2,308,127,180,41.23376623376623,-0.002295439672934853,-0.7069954192639347,0.995549933366207,16.48132172308546,2.0,-1.0,6,8,1,0.06620628403711251,-0.13205975638567538,0.12746887703980567,True
Control,quarter,2024Q3,274,107,167,39.051094890510946,-0.06600536752317678,-18.085470701350438,0.878247785922028,29.98496644200879,2.0,-1.0,5,7,0,0.06873794645668596,-0.20073174257828125,0.06872100753192771,True
