model,window_months,start_month,end_month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,sem_R,ci95_low_R,ci95_high_R,adequate_sample
Control,3,2024-01,2024-03,277,114,162,41.15523465703971,0.020620749013551917,5.711947476753881,1.0393238068888973,15.89730961419578,2.0,-1.0,10,14,1,0.07242721477364182,-0.12133659194278605,0.16257808996988987,True
Control,3,2024-02,2024-04,293,124,167,42.32081911262799,0.04730940915130647,13.861656881332795,1.093927634234154,13.74575113674474,2.0,-1.0,5,6,2,0.06977492183052524,-0.089449437636523,0.18406825593913592,True
Control,3,2024-03,2024-05,298,126,171,42.281879194630875,0.0476383062479989,14.19621526190367,1.0946816395391088,16.481321723085465,2.0,-1.0,6,7,1,0.06857386670603258,-0.08676647249582495,0.18204308499182273,True
Control,3,2024-04,2024-06,308,127,180,41.23376623376623,-0.002295439672934853,-0.7069954192639347,0.995549933366207,16.48132172308546,2.0,-1.0,6,8,1,0.06620628403711251,-0.13205975638567538,0.12746887703980567,True
Control,3,2024-05,2024-07,312,123,189,39.42307692307692,-0.054553057367393375,-17.020553898626734,0.89749350174534,30.804133542209136,2.0,-1.0,6,8,0,0.06420461528894071,-0.18039410333371717,0.0712879885989304,True
Control,3,2024-06,2024-08,282,111,171,39.361702127659576,-0.1033956839553192,-29.157582875400013,0.8086084409897953,31.576465719135275,2.0,-1.0,5,8,0,0.06523611854235954,-0.2312584762983439,0.024467108387705494,True
Control,3,2024-07,2024-09,274,107,167,39.051094890510946,-0.06600536752317678,-18.085470701350438,0.878247785922028,29.98496644200879,2.0,-1.0,5,7,0,0.06873794645668596,-0.20073174257828125,0.06872100753192771,True
Control,3,2024-08,2024-10,267,119,148,44.56928838951311,0.050380810091062184,13.451676294313604,1.1004387772281687,14.474946669713594,2.0,-1.0,6,6,0,0.07298890341888248,-0.09267744060994748,0.19343906079207185,True
Control,3,2024-09,2024-11,270,121,149,44.81481481481482,0.05625736430799897,15.189488363159722,1.1140207586770348,13.642820351840735,2.0,-1.0,6,8,0,0.07209056214960677,-0.08504013750523029,0.19755486612122822,True
Control,3,2024-10,2024-12,275,130,145,47.27272727272727,0.0740744156434528,20.370464301949518,1.1563357256839242,16.943840050696153,2.0,-1.0,6,8,0,0.07015214078932988,-0.06342378030363377,0.21157261159053936,True
Control,3,2024-11,2025-01,263,101,162,38.40304182509506,-0.08696209309095097,-22.871030482920105,0.8421245156070634,33.69838888706656,2.0,-1.0,5,14,0,0.06985451219548854,-0.2238769369941085,0.049952750812206556,True
Control,3,2024-12,2025-02,258,99,159,38.372093023255815,-0.05873294451099324,-15.153099683836256,0.8934277891224466,41.693762283443434,2.0,-1.0,5,14,0,0.07270484395813301,-0.20123443866893392,0.08376854964694745,True
Control,3,2025-01,2025-03,259,90,169,34.74903474903475,-0.1384293606215763,-35.85320440098826,0.7640832783150424,47.26673476944087,2.0,-1.0,4,14,0,0.07151261411223721,-0.2785940842815612,0.0017353630384086272,True
Control,3,2025-02,2025-04,254,110,144,43.30708661417323,0.030125155743570074,7.651789558866799,1.0595850989492055,17.796684145046886,2.0,-1.0,4,6,0,0.07446775305342151,-0.1158316402411361,0.17608195172827626,True
Control,3,2025-03,2025-05,261,114,147,43.67816091954023,0.03582276824957842,9.349742513139967,1.069976314320662,16.17268374231959,2.0,-1.0,4,7,0,0.07413794544748485,-0.1094876048274919,0.18113314132664873,True
Control,3,2025-04,2025-06,256,111,145,43.359375,0.017316184253928654,4.4329431690057355,1.0339330326641865,21.908500580669045,2.0,-1.0,4,11,0,0.07366443620596763,-0.12706611070976792,0.1616984792176252,True
Control,3,2025-05,2025-07,252,107,145,42.46031746031746,0.01818411558463071,4.582397127326939,1.0346344602381008,22.31493585137043,2.0,-1.0,6,11,0,0.07564368130602016,-0.1300774997751688,0.16644573094443021,True
Control,3,2025-06,2025-08,267,109,156,40.823970037453186,0.028967674612390387,7.734369121508234,1.0559386403941546,22.31493585137042,2.0,-1.0,8,11,2,0.07398695004936384,-0.11604674748436275,0.17398209670914352,True
Control,3,2025-07,2025-09,280,127,151,45.357142857142854,0.10969935075465863,30.715818211304416,1.223656397538499,14.353282861559396,2.0,-1.0,8,8,2,0.07351074897811515,-0.034381717242447055,0.2537804187517643,True
Control,3,2025-08,2025-10,286,121,163,42.30769230769231,0.007905719361160574,2.261035737291924,1.015547324828347,16.335582553744903,2.0,-1.0,5,8,2,0.06918968526545095,-0.1277060637591233,0.14351750248144446,True
Control,3,2025-09,2025-11,263,115,148,43.72623574144487,0.0043100876008871705,1.133553039033326,1.00847593783416,21.554237409880905,2.0,-1.0,5,8,0,0.0710979081888682,-0.1350418124492945,0.14366198765106883,True
Control,3,2025-10,2025-12,275,113,162,41.09090909090909,-0.020851915076237622,-5.7342766459653465,0.9597755419628907,18.919654798952664,2.0,-1.0,4,8,0,0.0689666921285713,-0.15602663164823738,0.11432280149576213,True
Control,3,2025-11,2026-01,260,111,149,42.69230769230769,0.04600587699642238,11.961528019069819,1.092507018171356,14.407957127518381,2.0,-1.0,4,10,0,0.07272707103922649,-0.09653918224046151,0.1885509362333063,True
Control,3,2025-12,2026-02,281,109,172,38.79003558718861,-0.05411596601715424,-15.20658645082034,0.8989014577732768,28.75453639363517,2.0,-1.0,5,21,0,0.06864012248948995,-0.18865060609655454,0.08041867406224606,True
Control,3,2026-01,2026-03,253,93,160,36.758893280632414,-0.10107365650184703,-25.5716350949673,0.8160854282162884,39.599841309737464,2.0,-1.0,6,21,0,0.07096445102278326,-0.24016398050650223,0.038016667502808146,True
Control,3,2026-02,2026-04,286,106,180,37.06293706293706,-0.08637927995187239,-24.704474066235502,0.8480738176303771,40.72973676433412,2.0,-1.0,6,21,0,0.06931523452179625,-0.22223713961459304,0.049478579710848264,True
Control,3,2026-03,2026-05,280,107,173,38.214285714285715,-0.06636975734867076,-18.583532057627814,0.8806274581117693,30.414977909303566,2.0,-1.0,6,8,0,0.0696638344206489,-0.2029108728131426,0.07017135811580108,True
Control,3,2026-04,2026-06,273,110,163,40.29304029304029,-0.004163442646356279,-1.1366198424552643,0.9923308533369314,22.862791376391556,2.0,-1.0,5,8,0,0.0728702724239361,-0.14698917659727104,0.13866229130455845,True
Control,6,2024-01,2024-06,585,241,342,41.1965811965812,0.008555473602546923,5.00495205748995,1.0164567733033791,16.481321723085465,2.0,-1.0,10,14,2,0.04885965824366841,-0.08720945655504317,0.10432040376013701,True
Control,6,2024-02,2024-07,605,247,356,40.82644628099174,-0.0052213173839569145,-3.158897017293933,0.9899276836893693,30.804133542209144,2.0,-1.0,6,8,2,0.047315576966260514,-0.09795984823782752,0.0875172134699137,True
Control,6,2024-03,2024-08,580,237,342,40.86206896551724,-0.025795461402579906,-14.961367613496344,0.950505181556054,34.67499946033051,2.0,-1.0,6,8,1,0.0474697076429618,-0.11883608838278503,0.06724516557762522,True
Control,6,2024-04,2024-09,582,234,347,40.20618556701031,-0.032289460688340835,-18.792466120614364,0.9388696407926623,37.650262956426964,2.0,-1.0,6,8,1,0.04767254179922521,-0.12572764261482225,0.06114872123814058,True
Control,6,2024-05,2024-10,579,242,337,41.796200345423145,-0.0061638646015770805,-3.56887760431313,0.9881026614412383,37.65026295642698,2.0,-1.0,6,8,0,0.04827537936251091,-0.10078360815209847,0.0884558789489443,True
Control,6,2024-06,2024-11,552,232,320,42.028985507246375,-0.02530451904391356,-13.968094512240286,0.9510856072845414,34.55172921523173,2.0,-1.0,6,8,0,0.04859380578141952,-0.12054837837549583,0.0699393402876687,True
