model,year,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,flat,expectancy_R,std_trade_R,median_trade_R,sem_R,ci95_low_R,ci95_high_R,longest_drawdown_trades,longest_drawdown_days,recovery_factor
Control,2021,1117,453,661,40.5550581915846,-0.0030533065181673246,-3.4105433807929018,0.9942249215701341,52.42213455161338,2.0,-1.0,8,15,3,-0.0030533065181673246,1.1894739033265431,-0.8180612682495177,0.03559002816059147,-0.07280976171292661,0.06670314867659197,334,111.96875,-0.06505922374135634
Control,2022,1086,429,654,39.50276243093923,-0.046331685433414566,-50.31621038068822,0.9135299381823017,66.66781960102949,2.0,-1.0,8,13,3,-0.046331685433414566,1.1578741255718668,-0.8036496176569599,0.03513552412963937,-0.11519731272750773,0.0225339418606786,1072,368.22222222222223,-0.7547301033962603
Control,2023,1122,484,637,43.13725490196079,0.059788464055442615,67.08265667020662,1.1189646916128813,34.64743697013144,2.0,-1.0,6,14,1,0.059788464055442615,1.1983243198666436,-0.4475103597021146,0.035774860166742216,-0.010330261871372128,0.12990718998225737,388,119.88888888888889,1.9361506228595395
BOS,2021,764,318,444,41.62303664921466,0.045562878829618805,34.81003942582877,1.0870794286560495,39.880493135577865,2.0,-1.0,7,11,2,0.045562878829618805,1.2270909596655792,-0.8048391099178224,0.04439459283989602,-0.04145052313657739,0.13257628079581502,217,99.5,0.8728588011058047
BOS,2022,754,312,441,41.37931034482759,-0.0031884159500615403,-2.4040656263464015,0.9937735342431594,32.571571549988036,2.0,-1.0,7,10,1,-0.0031884159500615403,1.1584580111321103,-0.5715604539750295,0.042188552439862644,-0.08587797873219233,0.07950114683206924,433,198.05555555555554,-0.07380870839028596
BOS,2023,765,320,444,41.830065359477125,0.012479139291722507,9.546541558167718,1.024569926181782,32.970604026508745,2.0,-1.0,6,18,1,0.012479139291722507,1.1640629620832372,-0.4729521108559216,0.042086785215742946,-0.07001095973113367,0.09496923831457868,364,162.97569444444446,0.28954706290767945
C1,2021,130,45,85,34.61538461538461,-0.049099022436887595,-6.382872916795387,0.9213580198556074,19.62204819378986,2.0,-1.0,7,15,0,-0.049099022436887595,1.311655124538149,-1.0,0.11503976455413437,-0.27457696096299095,0.17637891608921574,74,239.06597222222223,-0.3252908592292363
C1,2022,141,46,95,32.6241134751773,-0.1694631822960293,-23.894308703740133,0.726481709253287,29.351984823275416,2.0,-1.0,5,8,0,-0.1694631822960293,1.1824830348668105,-1.0,0.0995830359441652,-0.36464593274659307,0.025719568154534495,132,367.3576388888889,-0.8140610881207776
C1,2023,143,59,83,41.25874125874126,0.10400709646126823,14.873014793961357,1.1918550369422656,13.100787720733395,2.0,-1.0,5,9,1,0.10400709646126823,1.3152415046343098,-1.0,0.10998601994801456,-0.1115655026368403,0.31957969555937676,65,140.00347222222223,1.1352763750551598
C2,2021,156,62,94,39.743589743589745,0.09352515247278487,14.58992378575444,1.1659195251326402,15.826116919651085,2.0,-1.0,5,11,0,0.09352515247278487,1.3428053260711579,-1.0,0.10751046889170628,-0.11719536655495943,0.30424567150052917,46,119.13194444444444,0.9218890432711463
C2,2022,173,63,110,36.41618497109827,-0.059537477319473446,-10.299983576268906,0.89684347855808,16.801064548945927,2.0,-1.0,5,10,0,-0.059537477319473446,1.2238857468224016,-1.0,0.09305031025517312,-0.24191608541961276,0.12284113078066586,83,173.41319444444446,-0.6130554136175324
C2,2023,140,53,86,37.857142857142854,0.011661025833372056,1.6325436166720877,1.0212795474567182,9.157295745190007,2.0,-1.0,3,6,1,0.011661025833372056,1.2452105222602308,-1.0,0.10523949709209522,-0.19460838846713457,0.2179304401338787,69,147.35069444444446,0.17827791764065315
Retest,2021,418,176,241,42.10526315789474,0.032976534561915946,13.784191446880866,1.0650967470323265,29.897303234193473,2.0,-1.0,8,9,1,0.032976534561915946,1.1868822074684386,-0.4334407225145393,0.058052306359838456,-0.08080598590336742,0.14675905502719933,126,113.46875,0.46105133091455286
Retest,2022,407,156,250,38.32923832923833,-0.09441072575894897,-38.425165383892235,0.8226099074593781,42.987549806139434,2.0,-1.0,4,8,1,-0.09441072575894897,1.1100083003768573,-0.7173531864277367,0.05502106871212938,-0.20225202043472257,0.01343056891682462,405,357.8645833333333,-0.8938673070965397
Retest,2023,444,185,257,41.666666666666664,-0.0025499526645514645,-1.1321789830608502,0.9950141236094681,34.846180299495316,2.0,-1.0,8,7,2,-0.0025499526645514645,1.1558380939215216,-0.5536463786820304,0.05485364843204701,-0.11006310359136359,0.10496319826226067,219,738.4409722222222,-0.03249076292810342
Confirm,2021,275,114,161,41.45454545454545,0.0013316468677866474,0.366202888641328,1.0025744075844387,25.71649298496932,2.0,-1.0,7,12,0,0.0013316468677866474,1.1810508044138646,-0.504792946282244,0.07122004321069472,-0.138259637825175,0.14092293156074828,159,208.44444444444446,0.014240001109613386
Confirm,2022,271,99,169,36.53136531365314,-0.0960619937242333,-26.032800299267222,0.8253068119723199,31.095301193553855,2.0,-1.0,4,14,3,-0.0960619937242333,1.1334134993242964,-1.0,0.06884996684996927,-0.23100792875017306,0.03888394130170647,269,357.8645833333333,-0.8371940228919184
Confirm,2023,293,120,171,40.955631399317404,-0.03720760693140549,-10.90182883090181,0.9281149994992589,28.714120981846246,2.0,-1.0,5,7,2,-0.03720760693140549,1.1434478252265785,-0.6023803102149858,0.06680093521385029,-0.16813743995055205,0.09372222608774108,211,251.13888888888889,-0.3796678588139336
