model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason
BOS,Short,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,,,2024-01-01 19:40:00-06:00,2024-01-01 20:40:00-06:00,16801.5,16810.324042745036,16783.851914509924,16797.75,0.42497527588574757,75.0,-1,0,TIME
Control,Short,2024-01-01 19:40:00-06:00,,,,2024-01-01 19:40:00-06:00,2024-01-01 20:40:00-06:00,16801.5,16810.324042745036,16783.851914509924,16797.75,0.42497527588574757,75.0,-1,0,TIME
Retest,Short,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,2024-01-01 19:45:00-06:00,,2024-01-01 19:45:00-06:00,2024-01-01 20:45:00-06:00,16801.25,16810.381253977535,16782.98749204493,16797.0,0.46543443107113297,75.0,-1,0,TIME
Confirm,Short,2024-01-01 19:40:00-06:00,2024-01-01 19:40:00-06:00,2024-01-01 19:45:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 19:55:00-06:00,2024-01-01 20:55:00-06:00,16801.25,16810.07618327655,16783.597633446905,16795.0,0.708120351024983,75.0,-1,0,TIME
Retest,Short,2024-01-01 20:45:00-06:00,2024-01-01 20:45:00-06:00,2024-01-01 20:50:00-06:00,,2024-01-01 20:50:00-06:00,2024-01-01 21:05:00-06:00,16790.0,16797.815706669375,16774.368586661247,16797.815706669375,-1.0,75.0,-1,0,STOP
BOS,Short,2024-01-01 20:45:00-06:00,2024-01-01 20:45:00-06:00,,,2024-01-01 20:45:00-06:00,2024-01-01 21:45:00-06:00,16797.0,16804.291914874713,16782.416170250573,16794.0,0.4114145668929222,75.0,-1,0,TIME
Control,Short,2024-01-01 20:45:00-06:00,,,,2024-01-01 20:45:00-06:00,2024-01-01 21:45:00-06:00,16797.0,16804.291914874713,16782.416170250573,16794.0,0.4114145668929222,75.0,-1,0,TIME
Confirm,Short,2024-01-02 13:50:00-06:00,2024-01-02 13:50:00-06:00,2024-01-02 13:55:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:00:00-06:00,2024-01-02 14:30:00-06:00,16415.25,16440.666768822994,16364.416462354016,16440.666768822994,-1.0,75.0,-1,5,STOP
BOS,Short,2024-01-02 13:50:00-06:00,2024-01-02 13:50:00-06:00,,,2024-01-02 13:50:00-06:00,2024-01-02 14:50:00-06:00,16453.75,16477.167524788794,16406.914950422408,16477.167524788794,-1.0,75.0,-1,4,STOP
Control,Short,2024-01-02 13:50:00-06:00,,,,2024-01-02 13:50:00-06:00,2024-01-02 14:50:00-06:00,16453.75,16477.167524788794,16406.914950422408,16477.167524788794,-1.0,75.0,-1,4,STOP
Retest,Short,2024-01-02 13:50:00-06:00,2024-01-02 13:50:00-06:00,2024-01-02 13:55:00-06:00,,2024-01-02 13:55:00-06:00,2024-01-02 14:50:00-06:00,16441.75,16464.96805873245,16395.313882535094,16464.96805873245,-1.0,75.0,-1,4,STOP
BOS,Long,2024-01-02 14:55:00-06:00,2024-01-02 14:55:00-06:00,,,2024-01-02 14:55:00-06:00,2024-01-02 15:55:00-06:00,16507.75,16479.99273036443,16563.264539271142,16518.5,0.3872859305377686,100.0,-1,5,TIME
Control,Long,2024-01-02 14:55:00-06:00,,,,2024-01-02 14:55:00-06:00,2024-01-02 15:55:00-06:00,16507.75,16479.99273036443,16563.264539271142,16518.5,0.3872859305377686,100.0,-1,5,TIME
BOS,Short,2024-01-02 18:40:00-06:00,2024-01-02 18:40:00-06:00,,,2024-01-02 18:40:00-06:00,2024-01-02 19:40:00-06:00,16506.75,16514.642724529855,16490.964550940287,16496.75,1.2669896133042946,90.0,-1,0,TIME
Control,Short,2024-01-02 18:40:00-06:00,,,,2024-01-02 18:40:00-06:00,2024-01-02 19:40:00-06:00,16506.75,16514.642724529855,16490.964550940287,16496.75,1.2669896133042946,90.0,-1,0,TIME
Retest,Short,2024-01-02 18:40:00-06:00,2024-01-02 18:40:00-06:00,2024-01-02 18:45:00-06:00,,2024-01-02 18:45:00-06:00,2024-01-02 19:45:00-06:00,16507.25,16514.76645849201,16492.21708301598,16497.5,1.2971534413933055,90.0,-1,0,TIME
Confirm,Short,2024-01-02 18:40:00-06:00,2024-01-02 18:40:00-06:00,2024-01-02 18:45:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 18:50:00-06:00,2024-01-02 19:50:00-06:00,16505.25,16512.81885431401,16490.11229137198,16502.5,0.36333107837868867,90.0,-1,0,TIME
BOS,Short,2024-01-03 02:40:00-06:00,2024-01-03 02:40:00-06:00,,,2024-01-03 02:40:00-06:00,2024-01-03 03:05:00-06:00,16481.75,16493.279343347,16458.691313306004,16458.691313306004,2.0,90.0,-1,0,TARGET
Control,Short,2024-01-03 02:40:00-06:00,,,,2024-01-03 02:40:00-06:00,2024-01-03 03:05:00-06:00,16481.75,16493.279343347,16458.691313306004,16458.691313306004,2.0,90.0,-1,0,TARGET
BOS,Short,2024-01-03 09:10:00-06:00,2024-01-03 09:10:00-06:00,,,2024-01-03 09:10:00-06:00,2024-01-03 10:00:00-06:00,16356.25,16393.70986003146,16281.330279937081,16393.70986003146,-1.0,90.0,-1,1,STOP
Confirm,Short,2024-01-03 09:10:00-06:00,2024-01-03 09:10:00-06:00,2024-01-03 09:25:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 09:30:00-06:00,2024-01-03 10:00:00-06:00,16361.0,16396.75867314032,16289.48265371936,16396.75867314032,-1.0,90.0,-1,2,STOP
Control,Short,2024-01-03 09:10:00-06:00,,,,2024-01-03 09:10:00-06:00,2024-01-03 10:00:00-06:00,16356.25,16393.70986003146,16281.330279937081,16393.70986003146,-1.0,90.0,-1,1,STOP
Retest,Short,2024-01-03 09:10:00-06:00,2024-01-03 09:10:00-06:00,2024-01-03 09:25:00-06:00,,2024-01-03 09:25:00-06:00,2024-01-03 10:00:00-06:00,16365.75,16401.692032612653,16293.865934774696,16401.692032612653,-1.0,90.0,-1,1,STOP
BOS,Long,2024-01-03 13:40:00-06:00,2024-01-03 13:40:00-06:00,,,2024-01-03 13:40:00-06:00,2024-01-03 14:00:00-06:00,16409.25,16371.134323906881,16485.481352186238,16371.134323906881,-1.0,85.0,-1,4,STOP
Control,Long,2024-01-03 13:40:00-06:00,,,,2024-01-03 13:40:00-06:00,2024-01-03 14:00:00-06:00,16409.25,16371.134323906881,16485.481352186238,16371.134323906881,-1.0,85.0,-1,4,STOP
BOS,Short,2024-01-03 14:50:00-06:00,2024-01-03 14:50:00-06:00,,,2024-01-03 14:50:00-06:00,2024-01-03 15:50:00-06:00,16314.5,16347.976678096004,16247.546643807993,16326.0,-0.3435227344547297,100.0,-1,5,TIME
Control,Short,2024-01-03 14:50:00-06:00,,,,2024-01-03 14:50:00-06:00,2024-01-03 15:50:00-06:00,16314.5,16347.976678096004,16247.546643807993,16326.0,-0.3435227344547297,100.0,-1,5,TIME
Retest,Short,2024-01-03 20:15:00-06:00,2024-01-03 20:15:00-06:00,2024-01-03 20:20:00-06:00,,2024-01-03 20:20:00-06:00,2024-01-03 20:25:00-06:00,16332.0,16340.071025947107,16315.857948105784,16340.071025947107,-1.0,90.0,-1,0,STOP
BOS,Short,2024-01-03 20:15:00-06:00,2024-01-03 20:15:00-06:00,,,2024-01-03 20:15:00-06:00,2024-01-03 21:05:00-06:00,16335.0,16342.999566404578,16319.000867190845,16342.999566404578,-1.0,90.0,-1,0,STOP
Control,Short,2024-01-03 20:15:00-06:00,,,,2024-01-03 20:15:00-06:00,2024-01-03 21:05:00-06:00,16335.0,16342.999566404578,16319.000867190845,16342.999566404578,-1.0,90.0,-1,0,STOP
