model,exit_timestamp,result_R,cumulative_R,drawdown_R
Control,2021-01-04 07:00:00-06:00,2.0,2.0,0.0
Control,2021-01-04 08:25:00-06:00,-1.0,1.0,1.0
Control,2021-01-04 13:55:00-06:00,-1.0,0.0,2.0
Control,2021-01-04 19:05:00-06:00,-0.6794729278257637,-0.6794729278257637,2.679472927825764
Control,2021-01-04 21:45:00-06:00,2.0,1.3205270721742361,0.6794729278257639
Control,2021-01-05 05:55:00-06:00,-1.0,0.32052707217423615,1.6794729278257639
Control,2021-01-05 08:40:00-06:00,2.0,2.320527072174236,0.0
Control,2021-01-06 01:50:00-06:00,-1.0,1.3205270721742361,1.0
Control,2021-01-06 06:55:00-06:00,-1.0,0.32052707217423615,2.0
Control,2021-01-07 07:00:00-06:00,-0.8641218931846825,-0.5435948210104463,2.8641218931846826
Control,2021-01-07 10:55:00-06:00,-1.0,-1.5435948210104464,3.8641218931846826
Control,2021-01-07 11:40:00-06:00,-1.0,-2.5435948210104464,4.864121893184683
Control,2021-01-07 13:30:00-06:00,0.2025454358193137,-2.3410493851911327,4.661576457365369
Control,2021-01-07 15:00:00-06:00,-0.4771356031982698,-2.8181849883894023,5.1387120605636385
Control,2021-01-07 22:05:00-06:00,0.3959590619505994,-2.422225926438803,4.742752998613039
Control,2021-01-08 00:10:00-06:00,0.0263636095674883,-2.3958623168713147,4.716389389045551
Control,2021-01-08 04:00:00-06:00,-1.0,-3.3958623168713147,5.716389389045551
Control,2021-01-08 05:35:00-06:00,-0.8180612682495177,-4.213923585120832,6.534450657295068
Control,2021-01-08 11:05:00-06:00,0.0876768330607661,-4.126246752060066,6.4467738242343025
Control,2021-01-08 13:00:00-06:00,-1.0,-5.126246752060066,7.4467738242343025
Control,2021-01-11 06:00:00-06:00,0.2839360933237478,-4.842310658736318,7.162837730910555
Control,2021-01-11 06:15:00-06:00,2.0,-2.8423106587363183,5.162837730910555
Control,2021-01-12 11:05:00-06:00,2.0,-0.8423106587363183,3.1628377309105544
Control,2021-01-12 13:20:00-06:00,-1.0,-1.8423106587363183,4.162837730910555
Control,2021-01-13 05:30:00-06:00,-1.0,-2.8423106587363183,5.162837730910555
Control,2021-01-13 08:30:00-06:00,-1.0,-3.8423106587363183,6.162837730910555
Control,2021-01-13 21:30:00-06:00,2.0,-1.8423106587363183,4.162837730910555
Control,2021-01-14 11:10:00-06:00,-1.0,-2.8423106587363183,5.162837730910555
Control,2021-01-14 22:45:00-06:00,1.00004033546256,-1.8422703232737583,4.162797395447995
Control,2021-01-15 04:30:00-06:00,-1.0,-2.842270323273758,5.162797395447994
Control,2021-01-15 05:00:00-06:00,2.0,-0.8422703232737581,3.162797395447994
Control,2021-01-15 06:00:00-06:00,-1.0,-1.842270323273758,4.162797395447994
Control,2021-01-15 07:20:00-06:00,-1.0,-2.842270323273758,5.162797395447994
Control,2021-01-15 08:30:00-06:00,2.0,-0.8422703232737581,3.162797395447994
Control,2021-01-15 13:15:00-06:00,-0.6700012301352902,-1.5122715534090483,3.832798625583284
Control,2021-01-15 14:15:00-06:00,-1.0,-2.5122715534090485,4.832798625583285
Control,2021-01-18 01:50:00-06:00,0.0562114588565062,-2.456060094552542,4.776587166726778
Control,2021-01-18 03:05:00-06:00,-0.1813387684047964,-2.6373988629573386,4.957925935131575
Control,2021-01-18 04:45:00-06:00,1.0784535819747534,-1.5589452809825852,3.8794723531568214
Control,2021-01-18 05:45:00-06:00,-1.0,-2.5589452809825852,4.879472353156821
Control,2021-01-19 03:35:00-06:00,0.0802744237783844,-2.4786708572042007,4.799197929378437
Control,2021-01-19 04:40:00-06:00,0.3465630219494988,-2.132107835254702,4.452634907428938
Control,2021-01-19 08:35:00-06:00,-1.0,-3.132107835254702,5.452634907428938
Control,2021-01-19 09:00:00-06:00,-1.0,-4.132107835254702,6.452634907428939
Control,2021-01-19 14:20:00-06:00,-1.0,-5.132107835254702,7.452634907428939
Control,2021-01-19 17:00:00-06:00,2.0,-3.1321078352547023,5.452634907428939
Control,2021-01-19 21:30:00-06:00,1.3433620431426323,-1.78874579211207,4.109272864286306
Control,2021-01-19 23:05:00-06:00,0.4528436428164794,-1.3359021492955905,3.6564292214698266
Control,2021-01-19 23:25:00-06:00,-1.0,-2.3359021492955905,4.656429221469827
Control,2021-01-20 06:55:00-06:00,2.0,-0.3359021492955905,2.6564292214698266
Control,2021-01-20 12:35:00-06:00,0.9228080226663766,0.5869058733707861,1.73362119880345
Control,2021-01-20 14:25:00-06:00,0.6574762254893838,1.24438209886017,1.0761449733140662
Control,2021-01-20 14:55:00-06:00,-1.0,0.24438209886016993,2.076144973314066
Control,2021-01-21 02:15:00-06:00,-1.0,-0.7556179011398301,3.076144973314066
Control,2021-01-21 05:55:00-06:00,-0.1779324135448267,-0.9335503146846568,3.254077386858893
Control,2021-01-21 07:50:00-06:00,2.0,1.0664496853153431,1.254077386858893
Control,2021-01-21 08:35:00-06:00,-1.0,0.06644968531534312,2.254077386858893
Control,2021-01-21 10:10:00-06:00,0.3159441886424093,0.38239387395775243,1.9381331982164838
Control,2021-01-21 14:55:00-06:00,-1.0,-0.6176061260422476,2.9381331982164838
Control,2021-01-21 23:35:00-06:00,-1.0,-1.6176061260422476,3.9381331982164838
Control,2021-01-22 14:10:00-06:00,-1.0,-2.6176061260422476,4.938133198216484
Control,2021-01-24 17:00:00-06:00,-1.0,-3.6176061260422476,5.938133198216484
Control,2021-01-25 00:50:00-06:00,0.4456562260006719,-3.1719499000415756,5.492476972215812
Control,2021-01-25 01:55:00-06:00,2.0,-1.1719499000415756,3.4924769722158118
Control,2021-01-25 09:55:00-06:00,2.0,0.8280500999584244,1.4924769722158118
Control,2021-01-26 05:45:00-06:00,2.0,2.8280500999584244,0.0
Control,2021-01-26 08:50:00-06:00,-1.0,1.8280500999584244,1.0
Control,2021-01-26 15:00:00-06:00,-1.0,0.8280500999584244,2.0
Control,2021-01-26 22:35:00-06:00,0.8331059643361824,1.6611560642946068,1.1668940356638176
Control,2021-01-27 04:00:00-06:00,0.9691843328279512,2.6303403971225583,0.19770970283586609
Control,2021-01-27 14:20:00-06:00,2.0,4.630340397122558,0.0
Control,2021-01-27 15:35:00-06:00,-1.0,3.6303403971225583,1.0
Control,2021-01-29 02:05:00-06:00,-1.0,2.6303403971225583,2.0
Control,2021-01-29 03:55:00-06:00,0.632482118932673,3.2628225160552313,1.367517881067327
Control,2021-01-29 07:00:00-06:00,-1.0,2.2628225160552313,2.367517881067327
Control,2021-01-29 08:30:00-06:00,0.3816326118272359,2.644455127882467,1.9858852692400912
Control,2021-01-29 11:45:00-06:00,2.0,4.644455127882467,0.0
Control,2021-01-29 14:55:00-06:00,-1.0,3.644455127882467,1.0
Control,2021-01-31 17:00:00-06:00,-1.0,2.644455127882467,2.0
Control,2021-02-01 14:15:00-06:00,-1.0,1.644455127882467,3.0
Control,2021-02-01 15:00:00-06:00,-1.0,0.6444551278824671,4.0
Control,2021-02-02 03:10:00-06:00,0.9799657622882252,1.6244208901706922,3.0200342377117746
Control,2021-02-02 05:40:00-06:00,-1.0,0.6244208901706922,4.020034237711775
Control,2021-02-02 08:25:00-06:00,-1.0,-0.37557910982930776,5.020034237711775
Control,2021-02-02 08:45:00-06:00,2.0,1.6244208901706922,3.0200342377117746
Control,2021-02-02 09:25:00-06:00,-1.0,0.6244208901706922,4.020034237711775
Control,2021-02-02 11:40:00-06:00,0.8229220413181824,1.4473429314888746,3.1971121963935927
Control,2021-02-02 13:35:00-06:00,0.593362556991716,2.0407054884805906,2.6037496394018764
Control,2021-02-02 14:45:00-06:00,-1.0,1.0407054884805906,3.6037496394018764
Control,2021-02-02 15:30:00-06:00,-1.0,0.040705488480590635,4.603749639401876
Control,2021-02-02 21:05:00-06:00,0.3218559295947625,0.36256141807535314,4.281893709807114
Control,2021-02-03 04:05:00-06:00,0.6622330063210292,1.0247944243963825,3.6196607034860846
Control,2021-02-04 08:35:00-06:00,-1.0,0.024794424396382464,4.619660703486085
Control,2021-02-04 14:50:00-06:00,2.0,2.0247944243963825,2.6196607034860846
Control,2021-02-05 05:40:00-06:00,0.2636608773894114,2.288455301785794,2.355999826096673
Control,2021-02-05 08:30:00-06:00,2.0,4.288455301785794,0.35599982609667347
Control,2021-02-05 11:05:00-06:00,-1.0,3.2884553017857936,1.3559998260966735
Control,2021-02-05 14:35:00-06:00,-1.0,2.2884553017857936,2.3559998260966735
Control,2021-02-07 17:00:00-06:00,-1.0,1.2884553017857936,3.3559998260966735
Control,2021-02-08 00:30:00-06:00,-1.0,0.2884553017857936,4.3559998260966735
Control,2021-02-08 01:20:00-06:00,-1.0,-0.7115446982142064,5.3559998260966735
Control,2021-02-08 02:05:00-06:00,-1.0,-1.7115446982142064,6.3559998260966735
Control,2021-02-08 04:50:00-06:00,-0.0931548100837652,-1.8046995082979715,6.449154636180438
Control,2021-02-08 07:10:00-06:00,1.1068043455714784,-0.6978951627264931,5.342350290608961
Control,2021-02-08 10:30:00-06:00,-1.0,-1.697895162726493,6.342350290608961
Control,2021-02-08 19:00:00-06:00,0.4341790733500467,-1.2637160893764463,5.908171217258913
Control,2021-02-08 23:15:00-06:00,-1.0,-2.2637160893764463,6.908171217258913
Control,2021-02-09 01:05:00-06:00,-1.0,-3.2637160893764463,7.908171217258913
Control,2021-02-09 03:30:00-06:00,0.1049070254372576,-3.158809063939189,7.803264191821656
Control,2021-02-09 07:15:00-06:00,-1.0,-4.158809063939189,8.803264191821656
Control,2021-02-09 13:20:00-06:00,-0.8321547654559917,-4.990963829395181,9.635418957277647
Control,2021-02-09 20:00:00-06:00,2.0,-2.990963829395181,7.635418957277648
Control,2021-02-10 08:20:00-06:00,-1.0,-3.990963829395181,8.635418957277647
