model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,direction_name,session_name,score_band,stop_distance_points
C2,Short,2021-01-04 21:40:00-06:00,2021-01-04 21:40:00-06:00,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785593,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET,Short,Overnight,90-94,9.983441785592731
C2,Short,2021-01-11 06:05:00-06:00,2021-01-11 06:05:00-06:00,,,2021-01-11 06:05:00-06:00,2021-01-11 06:15:00-06:00,13033.5,13046.551233882852,13007.397532234294,13007.397532234294,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,13.051233882852102
C2,Short,2021-01-13 05:25:00-06:00,2021-01-13 05:25:00-06:00,,,2021-01-13 05:25:00-06:00,2021-01-13 05:30:00-06:00,12859.5,12873.815980421285,12830.868039157434,12873.815980421285,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,14.315980421284621
C2,Short,2021-01-13 21:25:00-06:00,2021-01-13 21:25:00-06:00,,,2021-01-13 21:25:00-06:00,2021-01-13 21:30:00-06:00,12957.75,12971.046328169614,12931.15734366077,12931.15734366077,2.0,90.0,1,0,TARGET,Short,Overnight,90-94,13.296328169613844
C2,Short,2021-01-15 03:50:00-06:00,2021-01-15 03:50:00-06:00,,,2021-01-15 03:50:00-06:00,2021-01-15 04:30:00-06:00,12873.5,12885.17611210262,12850.14777579476,12885.17611210262,-1.0,90.0,-1,0,STOP,Short,Overnight,90-94,11.6761121026193
C2,Short,2021-01-18 00:50:00-06:00,2021-01-18 00:50:00-06:00,,,2021-01-18 00:50:00-06:00,2021-01-18 01:50:00-06:00,12767.75,12776.644983517086,12749.960032965828,12767.25,0.0562114588565062,90.0,-1,0,TIME,Short,Overnight,90-94,8.894983517086075
C2,Short,2021-01-21 07:45:00-06:00,2021-01-21 07:45:00-06:00,,,2021-01-21 07:45:00-06:00,2021-01-21 07:50:00-06:00,13334.0,13347.393269400603,13307.213461198791,13307.213461198791,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,13.393269400603458
C2,Short,2021-01-26 08:40:00-06:00,2021-01-26 08:40:00-06:00,,,2021-01-26 08:40:00-06:00,2021-01-26 08:50:00-06:00,13437.0,13459.501614079698,13391.996771840602,13459.501614079698,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,22.5016140796979
C2,Short,2021-02-02 08:15:00-06:00,2021-02-02 08:15:00-06:00,,,2021-02-02 08:15:00-06:00,2021-02-02 08:25:00-06:00,13326.75,13342.184378655827,13295.881242688343,13342.184378655827,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,15.434378655827459
C2,Short,2021-02-03 03:05:00-06:00,2021-02-03 03:05:00-06:00,,,2021-02-03 03:05:00-06:00,2021-02-03 04:05:00-06:00,13532.75,13546.717893342236,13504.814213315529,13523.5,0.6622330063210292,90.0,1,0,TIME,Short,Overnight,90-94,13.967893342236493
C2,Short,2021-02-05 08:30:00-06:00,2021-02-05 08:30:00-06:00,,,2021-02-05 08:30:00-06:00,2021-02-05 08:45:00-06:00,13556.25,13572.138791252017,13524.472417495968,13572.138791252017,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,15.888791252016745
C2,Short,2021-02-08 01:55:00-06:00,2021-02-08 01:55:00-06:00,,,2021-02-08 01:55:00-06:00,2021-02-08 02:05:00-06:00,13657.75,13664.403886166514,13644.442227666974,13664.403886166514,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,6.653886166513985
C2,Short,2021-02-08 18:00:00-06:00,2021-02-08 18:00:00-06:00,,,2021-02-08 18:00:00-06:00,2021-02-08 19:00:00-06:00,13669.0,13679.940186415137,13647.11962716973,13664.25,0.4341790733500467,90.0,1,0,TIME,Short,Overnight,90-94,10.94018641513685
C2,Short,2021-02-10 09:10:00-06:00,2021-02-10 09:10:00-06:00,,,2021-02-10 09:10:00-06:00,2021-02-10 09:20:00-06:00,13699.25,13721.354831221444,13655.040337557111,13655.040337557111,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,22.10483122144433
C2,Short,2021-02-11 08:50:00-06:00,2021-02-11 08:50:00-06:00,,,2021-02-11 08:50:00-06:00,2021-02-11 09:05:00-06:00,13685.75,13706.452940160749,13644.3441196785,13706.452940160749,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,20.702940160748767
C2,Short,2021-02-11 18:50:00-06:00,2021-02-11 18:50:00-06:00,,,2021-02-11 18:50:00-06:00,2021-02-11 19:10:00-06:00,13716.0,13727.58266623104,13692.834667537918,13727.58266623104,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,11.582666231039184
C2,Short,2021-02-12 07:20:00-06:00,2021-02-12 07:20:00-06:00,,,2021-02-12 07:20:00-06:00,2021-02-12 07:55:00-06:00,13699.5,13708.494022610836,13681.511954778323,13681.511954778323,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,8.9940226108356
C2,Short,2021-02-17 01:30:00-06:00,2021-02-17 01:30:00-06:00,,,2021-02-17 01:30:00-06:00,2021-02-17 01:45:00-06:00,13751.25,13759.81254202503,13734.124915949937,13759.81254202503,-1.0,90.0,-1,0,STOP,Short,Overnight,90-94,8.56254202503078
C2,Short,2021-02-17 02:00:00-06:00,2021-02-17 02:00:00-06:00,,,2021-02-17 02:00:00-06:00,2021-02-17 02:25:00-06:00,13741.75,13751.667419567328,13721.915160865345,13751.667419567328,-1.0,90.0,-1,0,STOP,Short,Overnight,90-94,9.91741956732767
C2,Short,2021-02-17 07:15:00-06:00,2021-02-17 07:15:00-06:00,,,2021-02-17 07:15:00-06:00,2021-02-17 07:30:00-06:00,13719.0,13730.614524227352,13695.770951545295,13695.770951545295,2.0,90.0,-1,1,TARGET,Short,Premarket,90-94,11.614524227352376
C2,Short,2021-02-21 20:25:00-06:00,2021-02-21 20:25:00-06:00,,,2021-02-21 20:25:00-06:00,2021-02-21 20:45:00-06:00,13568.25,13586.403264288694,13531.943471422614,13531.943471422614,2.0,90.0,-1,0,TARGET,Short,Overnight,90-94,18.153264288694118
C2,Short,2021-02-26 04:05:00-06:00,2021-02-26 04:05:00-06:00,,,2021-02-26 04:05:00-06:00,2021-02-26 04:15:00-06:00,12811.0,12852.896481112008,12727.207037775985,12852.896481112008,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,41.89648111200768
C2,Short,2021-03-03 03:35:00-06:00,2021-03-03 03:35:00-06:00,,,2021-03-03 03:35:00-06:00,2021-03-03 04:35:00-06:00,13145.25,13164.028923872704,13107.692152254593,13127.0,0.9718341755742032,90.0,1,0,TIME,Short,Overnight,90-94,18.778923872703672
C2,Short,2021-03-04 08:45:00-06:00,2021-03-04 08:45:00-06:00,,,2021-03-04 08:45:00-06:00,2021-03-04 09:35:00-06:00,12611.0,12664.066973549849,12504.866052900305,12664.066973549849,-1.0,90.0,-1,1,STOP,Short,Premarket,90-94,53.066973549848626
C2,Short,2021-03-10 09:20:00-06:00,2021-03-10 09:20:00-06:00,,,2021-03-10 09:20:00-06:00,2021-03-10 10:20:00-06:00,12843.25,12905.530619795112,12718.688760409776,12801.25,0.6743670846271249,90.0,1,1,TIME,Short,Premarket,90-94,62.280619795112216
C2,Short,2021-03-10 22:10:00-06:00,2021-03-10 22:10:00-06:00,,,2021-03-10 22:10:00-06:00,2021-03-10 22:35:00-06:00,12821.25,12836.64424802624,12790.46150394752,12836.64424802624,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,15.394248026239438
C2,Short,2021-03-11 00:10:00-06:00,2021-03-11 00:10:00-06:00,,,2021-03-11 00:10:00-06:00,2021-03-11 00:25:00-06:00,12823.25,12838.3486625161,12793.052674967796,12838.3486625161,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,15.098662516100376
C2,Short,2021-03-16 18:35:00-05:00,2021-03-16 18:35:00-05:00,,,2021-03-16 18:35:00-05:00,2021-03-16 19:05:00-05:00,13159.75,13172.8061721162,13133.6376557676,13133.6376557676,2.0,90.0,1,0,TARGET,Short,Overnight,90-94,13.056172116199377
C2,Short,2021-03-18 21:20:00-05:00,2021-03-18 21:20:00-05:00,,,2021-03-18 21:20:00-05:00,2021-03-18 22:20:00-05:00,12773.75,12793.924349596124,12733.401300807756,12792.75,-0.941789964998494,90.0,-1,0,TIME,Short,Overnight,90-94,20.174349596123648
C2,Short,2021-03-19 01:00:00-05:00,2021-03-19 01:00:00-05:00,,,2021-03-19 01:00:00-05:00,2021-03-19 01:45:00-05:00,12749.0,12770.372651019235,12706.254697961527,12770.372651019235,-1.0,90.0,-1,0,STOP,Short,Overnight,90-94,21.37265101923549
C2,Short,2021-03-19 08:00:00-05:00,2021-03-19 08:00:00-05:00,,,2021-03-19 08:00:00-05:00,2021-03-19 08:40:00-05:00,12820.5,12852.709645273646,12756.080709452708,12756.080709452708,2.0,90.0,-1,1,TARGET,Short,Premarket,90-94,32.20964527364595
C2,Short,2021-04-05 05:45:00-05:00,2021-04-05 05:45:00-05:00,,,2021-04-05 05:45:00-05:00,2021-04-05 06:15:00-05:00,13373.0,13381.804500420358,13355.390999159285,13381.804500420358,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,8.804500420357726
C2,Short,2021-04-06 01:20:00-05:00,2021-04-06 01:20:00-05:00,,,2021-04-06 01:20:00-05:00,2021-04-06 01:50:00-05:00,13577.5,13587.929414731942,13556.641170536115,13587.929414731942,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,10.429414731941506
C2,Short,2021-04-06 02:00:00-05:00,2021-04-06 02:00:00-05:00,,,2021-04-06 02:00:00-05:00,2021-04-06 02:30:00-05:00,13560.75,13574.38837380362,13533.47325239276,13533.47325239276,2.0,90.0,1,0,TARGET,Short,Overnight,90-94,13.638373803620198
C2,Short,2021-04-06 19:00:00-05:00,2021-04-06 19:00:00-05:00,,,2021-04-06 19:00:00-05:00,2021-04-06 19:35:00-05:00,13594.25,13603.01535641678,13576.719287166436,13603.01535641678,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,8.765356416779468
C2,Short,2021-04-08 07:00:00-05:00,2021-04-08 07:00:00-05:00,,,2021-04-08 07:00:00-05:00,2021-04-08 07:30:00-05:00,13722.5,13733.356297576527,13700.787404846942,13733.356297576527,-1.0,90.0,1,1,STOP,Short,Premarket,90-94,10.85629757652714
C2,Short,2021-04-12 22:25:00-05:00,2021-04-12 22:25:00-05:00,,,2021-04-12 22:25:00-05:00,2021-04-12 23:00:00-05:00,13821.5,13829.455674215264,13805.588651569473,13805.588651569473,2.0,90.0,1,0,TARGET,Short,Overnight,90-94,7.955674215263571
C2,Short,2021-04-13 05:25:00-05:00,2021-04-13 05:25:00-05:00,,,2021-04-13 05:25:00-05:00,2021-04-13 06:00:00-05:00,13803.25,13813.049811830932,13783.650376338132,13783.650376338132,2.0,90.0,1,1,TARGET,Short,Premarket,90-94,9.799811830931503
C2,Short,2021-04-14 01:20:00-05:00,2021-04-14 01:20:00-05:00,,,2021-04-14 01:20:00-05:00,2021-04-14 01:35:00-05:00,13971.25,13979.282519438631,13955.184961122735,13979.282519438631,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,8.032519438631425
C2,Short,2021-04-16 01:15:00-05:00,2021-04-16 01:15:00-05:00,,,2021-04-16 01:15:00-05:00,2021-04-16 02:00:00-05:00,13984.75,13993.247175839231,13967.755648321536,13993.247175839231,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,8.497175839231204
C2,Short,2021-04-20 04:15:00-05:00,2021-04-20 04:15:00-05:00,,,2021-04-20 04:15:00-05:00,2021-04-20 04:30:00-05:00,13910.25,13925.875714170546,13878.998571658904,13878.998571658904,2.0,90.0,-1,1,TARGET,Short,Premarket,90-94,15.625714170546416
C2,Short,2021-04-21 23:10:00-05:00,2021-04-21 23:10:00-05:00,,,2021-04-21 23:10:00-05:00,2021-04-21 23:45:00-05:00,13905.25,13912.204643028052,13891.340713943897,13912.204643028052,-1.0,90.0,1,0,STOP,Short,Overnight,90-94,6.954643028051578
