period,scenario,round_trip_cost_usd,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses,break_even_round_trip_cost_usd
2021-2023,Zero,0.0,2283,950,1329,41.61191414805081,0.018376047024813887,41.9525153576501,1.0357224914294905,55.71690374578103,2.0,-1.0,7,18,5.906955741874429
2021-2023,Optimistic,9.5,2283,944,1339,41.3491020586947,-0.011177661241220221,-25.518600613705765,0.9789832538983154,80.52086727287616,1.9960001548853095,-1.1378056694767023,7,18,5.906955741874429
2021-2023,Realistic,14.5,2283,937,1346,41.0424879544459,-0.026732244539132893,-61.029714282840395,0.9505965768953828,109.5333505883967,1.9938949732459987,-1.2103349692012826,7,18,5.906955741874429
2021-2023,Conservative,28.0,2283,919,1364,40.25405168637757,-0.06872961944349713,-156.90972118950395,0.878649921993831,194.61408231419207,1.9882109828198595,-1.406164078457649,7,18,5.906955741874429
2021-2023,Severe,40.0,2283,904,1379,39.5970214629873,-0.1060606193584876,-242.13639399542717,0.8199835945224107,270.24139940378814,1.9831585468855137,-1.5802343977966413,7,20,5.906955741874429
2024-2026,Zero,0.0,1867,779,1087,41.72469201928227,0.0033668517586690682,6.28591223343515,1.0064744130534202,39.72730633611094,2.0,-1.0,9,16,1.4295039230607733
2024-2026,Optimistic,9.5,1867,773,1094,41.403320835565076,-0.01900810726828587,-35.488136269889715,0.9643493905353844,61.53644151102078,1.9969828855797345,-1.1153576990116623,9,16,1.4295039230607733
2024-2026,Realistic,14.5,1867,769,1098,41.189073379753616,-0.030784401492998985,-57.47447758742911,0.9430089231372754,79.20730186622579,1.9953949306217,-1.176072277438853,9,16,1.4295039230607733
2024-2026,Conservative,28.0,1867,763,1104,40.86770219603642,-0.06258039589972442,-116.83759914478549,0.8880823869612421,131.1583728804494,1.9911074522350067,-1.340001639192268,9,16,1.4295039230607733
2024-2026,Severe,40.0,1867,758,1109,40.599892876272094,-0.0908435020390359,-169.60481830688005,0.8423283937167707,182.46230021428732,1.987296360335724,-1.4857166274175257,9,16,1.4295039230607733
2021-2026 combined,Zero,0.0,4150,1729,2416,41.66265060240964,0.011623717491827768,48.23842759108524,1.022485780745393,57.86573603464265,2.0,-1.0,9,18,4.194831545349725
2021-2026 combined,Optimistic,9.5,4150,1717,2433,41.373493975903614,-0.014700418526167575,-61.00673688359544,0.972390717158235,132.84668158776176,1.9969828855797345,-1.1378056694767023,9,18,4.194831545349725
2021-2026 combined,Realistic,14.5,4150,1706,2444,41.10843373493976,-0.028555226956691448,-118.50419187026951,0.9471863091283165,182.42715772522553,1.9953949306217,-1.2103349692012826,9,18,4.194831545349725
2021-2026 combined,Conservative,28.0,4150,1682,2468,40.53012048192771,-0.0659632097191059,-273.74732033428944,0.8828635066898327,323.04147007026904,1.9911074522350067,-1.406164078457649,9,18,4.194831545349725
2021-2026 combined,Severe,40.0,4150,1662,2488,40.04819277108434,-0.09921474995236318,-411.7412123023072,0.8299126691975194,450.29829174895247,1.987296360335724,-1.5802343977966413,9,20,4.194831545349725
