month,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
2021-01,48,22,26,45.833333333333336,0.09921766826973359,4.762448076947212,1.1893833126415565,7.515412971678193,2.0,-1.0,4,5
2021-02,51,22,29,43.13725490196079,0.07087479004874857,3.614614292486177,1.1436641404152343,6.67053413803324,2.0,-1.0,3,5
2021-03,60,29,31,48.333333333333336,0.29584130561071037,17.750478336642622,1.624912764770493,5.67304136938721,2.0,-1.0,5,4
2021-04,67,31,36,46.26865671641791,0.17794802415851915,11.922517618620784,1.3671425692500507,5.175527378717682,2.0,-1.0,7,4
2021-05,51,26,25,50.98039215686274,0.32369428249813226,16.508408407404744,1.7714938773988258,7.871367329462384,2.0,-1.0,4,4
2021-06,63,18,45,28.571428571428573,-0.30044931768880107,-18.928307014394466,0.5481425749222226,20.46556715627831,2.0,-1.0,4,7
2021-07,77,37,39,48.05194805194805,0.17365867802589918,13.371718207994236,1.389075327633961,5.485058716801522,2.0,-1.0,4,6
2021-08,59,26,33,44.067796610169495,0.2371827856723428,13.993784354668225,1.5103195780654664,5.9878998960109024,2.0,-1.0,4,5
2021-09,79,37,42,46.835443037974684,0.1144697692226364,9.043111768588275,1.2369036703725367,7.595511874091288,2.0,-1.0,7,6
2021-10,64,24,40,37.5,-0.12348178194833136,-7.902834044693207,0.7871302142375224,9.4686684375557,2.0,-1.0,4,7
2021-11,71,28,43,39.436619718309856,-0.07194267441203468,-5.107929883254462,0.8734614827709529,12.862907162358598,2.0,-1.0,5,6
2021-12,74,18,55,24.324324324324323,-0.32726987425920767,-24.217970695181368,0.49359315999233644,24.217970695181368,2.0,-1.0,4,11
2022-01,57,19,38,33.333333333333336,-0.1133437653085634,-6.460594622588114,0.7959631635830083,13.923416038831611,2.0,-1.0,3,9
2022-02,64,26,37,40.625,0.03040680081484612,1.9460352521501516,1.0634784149883665,4.506156050356909,2.0,-1.0,3,5
