model,direction,setup_timestamp,bos_timestamp,retest_timestamp,confirm_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,result_R,score,htf_regime,session_bucket,exit_reason,atr,body,body_sma,normalized_atr,volatility_q33,volatility_q67,volatility_regime,trend_regime,crt_high,crt_low,sweep_above,sweep_below,volume,volume_zscore,direction_name,htf_regime_name,session_name,score_band,date_third,bos_present,retest_present,confirmation_present,stop_distance_points,target_distance_points,stop_distance_atr,stop_distance_pct,body_to_atr,time_since_setup_bars,time_since_bos_bars,time_since_retest_bars,relevant_crt_level,distance_from_crt_points,distance_from_crt_atr,outcome,split,bull_BOS,bear_BOS,liquidity_sweep,source_period,year,quarter,month,day_of_week,time_of_day,trend_state,displacement_ratio,displacement_bucket,stop_bucket,target_bucket,crt_direction,liquidity_context,bos_polarity,htf_alignment,setup_to_bos_bucket,entry_time_third,risk_usd
BOS,Long,2021-01-04 06:55:00-06:00,2021-01-04 06:55:00-06:00,,,2021-01-04 06:55:00-06:00,2021-01-04 07:05:00-06:00,12948.75,12941.665297769232,12962.919404461534,12941.665297769232,-1.0,90.0,1,1,STOP,4.723134820511556,4.5,2.05,0.0003647560436730616,0.0004395357196378401,0.0007741279217882351,Low,Bullish trend,12945.0,12939.0,False,False,647,-0.2965429745647642,Long,Bull,Premarket,90-94,Early third,True,False,False,7.084702230768016,14.169404461534214,1.5000000000001443,0.0547134065509645,0.9527570503508539,0.0,0.0,,12939.0,9.75,2.06430694242685,Loss,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Monday,06:00-07:59,Bullish trend,2.1951219512195124,1.75x+,<15pt,<30pt,No current reclaim,No liquidity sweep,Bull BOS,Aligned,Same bar,Early third,141.69404461536033
BOS,Short,2021-01-04 13:45:00-06:00,2021-01-04 13:45:00-06:00,,,2021-01-04 13:45:00-06:00,2021-01-04 13:55:00-06:00,12613.75,12646.697122726982,12547.855754546035,12646.697122726982,-1.0,75.0,-1,4,STOP,21.964748484654972,18.5,10.75,0.001741333741722721,0.000440663174564711,0.0007818170909409824,High,Bearish trend,12643.0,12629.75,False,False,3455,0.35687670010133044,Short,Bear,Midday,75-79,Early third,True,False,False,32.94712272698234,65.89424545396469,1.4999999999999947,0.2612000612584072,0.8422586770308107,0.0,0.0,,12643.0,29.25,1.3316792596297953,Loss,Research,False,True,False,2021-2023,2021,2021Q1,2021-01,Monday,12:00-13:59,Bearish trend,1.7209302325581395,1.25-1.74x,25-39.99pt,50-79.99pt,No current reclaim,No liquidity sweep,Bear BOS,Aligned,Same bar,Early third,658.9424545396469
BOS,Short,2021-01-04 21:40:00-06:00,2021-01-04 21:40:00-06:00,,,2021-01-04 21:40:00-06:00,2021-01-04 21:45:00-06:00,12702.25,12712.233441785593,12682.283116428818,12682.283116428818,2.0,90.0,-1,0,TARGET,6.655627857060515,11.0,2.85,0.000523972355847233,0.0004438518458920967,0.0007869246461531539,Medium,Bearish trend,12720.0,12712.75,False,False,1435,-0.2259773174496814,Short,Bear,Overnight,90-94,Early third,True,False,False,9.983441785592731,19.966883571181825,1.5000000000002942,0.07859585337710037,1.6527366367593448,0.0,0.0,,12720.0,17.75,2.6669159365889428,Win,Research,False,True,False,2021-2023,2021,2021Q1,2021-01,Monday,20:00-21:59,Bearish trend,3.8596491228070176,1.75x+,<15pt,<30pt,No current reclaim,No liquidity sweep,Bear BOS,Aligned,Same bar,Early third,199.66883571185463
BOS,Long,2021-01-05 08:30:00-06:00,2021-01-05 08:30:00-06:00,,,2021-01-05 08:30:00-06:00,2021-01-05 08:40:00-06:00,12690.75,12668.558257302144,12735.133485395714,12735.133485395714,2.0,90.0,-1,1,TARGET,14.7944951319046,43.5,11.625,0.001165769960948297,0.00044957384269019913,0.0007889144475240011,High,Bearish trend,12652.25,12637.25,False,False,18337,4.734723499852461,Long,Bear,Premarket,90-94,Early third,True,False,False,22.19174269785617,44.38348539571416,1.4999999999999507,0.17486549414223881,2.9402828289957292,0.0,0.0,,12637.25,53.5,3.616209916121184,Win,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Tuesday,08:00-09:59,Bearish trend,3.7419354838709675,1.75x+,15-24.99pt,30-49.99pt,No current reclaim,No liquidity sweep,Bull BOS,Counter-trend,Same bar,Early third,443.8348539571234
BOS,Long,2021-01-06 06:00:00-06:00,2021-01-06 06:00:00-06:00,,,2021-01-06 06:00:00-06:00,2021-01-06 06:55:00-06:00,12616.25,12583.623544955188,12681.502910089624,12583.623544955188,-1.0,90.0,-1,1,STOP,21.750970029874512,47.0,12.375,0.0017240439932527107,0.0004591131129675103,0.0008270775544531593,High,Bearish trend,12575.25,12560.25,False,False,3637,0.6614120036482067,Long,Bear,Premarket,90-94,Early third,True,False,False,32.626455044812246,65.25291008962449,1.500000000000022,0.2586065989879104,2.1608231695159557,0.0,0.0,,12560.25,56.0,2.5745978189977343,Loss,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Wednesday,06:00-07:59,Bearish trend,3.797979797979798,1.75x+,25-39.99pt,50-79.99pt,No current reclaim,No liquidity sweep,Bull BOS,Counter-trend,Same bar,Early third,652.5291008962449
BOS,Long,2021-01-07 10:35:00-06:00,2021-01-07 10:35:00-06:00,,,2021-01-07 10:35:00-06:00,2021-01-07 10:55:00-06:00,12910.0,12884.601171499518,12960.797657000963,12884.601171499518,-1.0,75.0,1,3,STOP,16.93255233365498,14.75,7.625,0.0013115842241405871,0.0004728744316493248,0.0008615602155703998,High,Bullish trend,12905.5,12893.5,False,False,4388,0.6736130142791295,Long,Bull,MidAM,75-79,Early third,True,False,False,25.398828500481613,50.79765700096323,1.4999999999999496,0.19673763362108143,0.8711031691709608,0.0,0.0,,12893.5,16.5,0.9744543926319222,Loss,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Thursday,10:00-11:59,Bullish trend,1.9344262295081966,1.75x+,25-39.99pt,50-79.99pt,No current reclaim,No liquidity sweep,Bull BOS,Aligned,Same bar,Early third,507.97657000963227
BOS,Short,2021-01-07 11:10:00-06:00,2021-01-07 11:10:00-06:00,,,2021-01-07 11:10:00-06:00,2021-01-07 11:40:00-06:00,12869.5,12892.834055431527,12822.831889136944,12892.834055431527,-1.0,75.0,1,3,STOP,15.556036954352065,11.5,6.125,0.0012087522401299246,0.00047347595397157,0.0008621086603106828,High,Bullish trend,12890.0,12874.75,False,False,3241,0.339112390145057,Short,Bull,MidAM,75-79,Early third,True,False,False,23.334055431527304,46.66811086305643,1.499999999999949,0.18131283601948253,0.739262836270306,0.0,0.0,,12890.0,20.5,1.3178163603079367,Loss,Research,False,True,False,2021-2023,2021,2021Q1,2021-01,Thursday,10:00-11:59,Bullish trend,1.8775510204081634,1.75x+,15-24.99pt,30-49.99pt,No current reclaim,No liquidity sweep,Bear BOS,Counter-trend,Same bar,Early third,466.6811086305461
BOS,Long,2021-01-07 12:30:00-06:00,2021-01-07 12:30:00-06:00,,,2021-01-07 12:30:00-06:00,2021-01-07 13:30:00-06:00,12906.0,12886.25134467326,12945.49731065348,12910.0,0.2025454358193137,75.0,1,4,TIME,13.16577021782678,15.75,8.8,0.0010201278643907315,0.00047406442936195794,0.000864478351768332,High,Bullish trend,12895.25,12887.0,False,False,3010,0.32641697875784464,Long,Bull,Midday,75-79,Early third,True,False,False,19.748655326740845,39.49731065347987,1.5000000000000513,0.15301917965861495,1.1962839803078218,0.0,0.0,,12887.0,19.0,1.4431362302126105,Win,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Thursday,12:00-13:59,Bullish trend,1.789772727272727,1.75x+,15-24.99pt,30-49.99pt,No current reclaim,No liquidity sweep,Bull BOS,Aligned,Same bar,Early third,394.9731065348169
BOS,Long,2021-01-07 14:00:00-06:00,2021-01-07 14:00:00-06:00,,,2021-01-07 14:00:00-06:00,2021-01-07 15:00:00-06:00,12927.25,12910.483278031705,12960.783443936589,12919.25,-0.4771356031982698,75.0,1,5,TIME,11.177814645529836,13.25,4.2,0.0008646707262201811,0.00047480384202425126,0.0008659517546659101,Medium,Bullish trend,12914.75,12903.75,False,False,4458,0.8505717722900973,Long,Bull,PM,75-79,Early third,True,False,False,16.766721968295315,33.53344393658881,1.5000000000000502,0.1297006089330315,1.1853837641957017,0.0,0.0,,12903.75,23.5,2.1023787515923766,Loss,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Thursday,14:00-15:59,Bullish trend,3.1547619047619047,1.75x+,15-24.99pt,30-49.99pt,No current reclaim,No liquidity sweep,Bull BOS,Aligned,Same bar,Early third,335.3344393659063
BOS,Long,2021-01-07 23:10:00-06:00,2021-01-07 23:10:00-06:00,,,2021-01-07 23:10:00-06:00,2021-01-08 00:10:00-06:00,12965.0,12955.51723174097,12983.965536518055,12965.25,0.0263636095674883,90.0,1,0,TIME,6.321845506019047,4.75,3.1,0.00048760860054138425,0.00047750964910005044,0.0008627373674046623,Medium,Bullish trend,12961.25,12952.25,False,False,425,-0.4634576450245108,Long,Bull,Overnight,90-94,Early third,True,False,False,9.482768259029399,18.96553651805516,1.500000000000131,0.07314129008121403,0.7513628726734166,0.0,0.0,,12952.25,12.75,2.0168161319128552,Win,Research,True,False,False,2021-2023,2021,2021Q1,2021-01,Thursday,22:00-23:59,Bullish trend,1.532258064516129,1.25-1.74x,<15pt,<30pt,No current reclaim,No liquidity sweep,Bull BOS,Aligned,Same bar,Early third,189.65536518058798
