fold,train_period,evaluation_period,hypothesis_id,dimension,condition,complexity,training_eligible,selected_by_train,train_N,train_wins,train_losses,train_win_pct,train_avg_R,train_total_R,train_profit_factor,train_max_drawdown_R,train_largest_win_R,train_largest_loss_R,train_max_consecutive_wins,train_max_consecutive_losses,train_realistic_total_R,train_one_sided_p,eval_N,eval_wins,eval_losses,eval_win_pct,eval_avg_R,eval_total_R,eval_profit_factor,eval_max_drawdown_R,eval_largest_win_R,eval_largest_loss_R,eval_max_consecutive_wins,eval_max_consecutive_losses,eval_realistic_total_R,eval_realistic_profit_factor
F1,2021,2022,H0001,direction,Long,1,True,False,415,189,225,45.54216867469879,0.09688990498824504,40.209310570121694,1.2032959786918451,17.997776413559144,2.0,-1.0,5,8,19.778750712985087,0.04871321757266045,363,145,217,39.94490358126722,-0.029677784355350574,-10.773035720992258,0.9428062948777007,35.52826877683967,2.0,-1.0,5,14,-22.555290227451195,0.8846171422570327
F1,2021,2022,H0002,direction,Short,1,False,False,349,129,219,36.96275071633238,-0.015470690957859384,-5.399271144292925,0.9732660898547922,38.28976557826495,2.0,-1.0,8,9,-24.700528132316165,0.5901608443553028,391,167,224,42.710997442455245,0.021404015587329548,8.368970094645853,1.0423222767338973,17.074832663090227,2.0,-1.0,5,12,-4.393635488792729,0.9786229612697636
F1,2021,2022,H0003,HTF_bias,Bull,1,False,False,480,197,281,41.041666666666664,0.03734335937814644,17.92481250151029,1.070820835716416,31.44328378777327,2.0,-1.0,7,11,-11.014834462670613,0.25274369011320763,324,132,192,40.74074074074074,-0.006153907852064718,-1.993866144068969,0.9883644126133806,15.55250180868692,2.0,-1.0,7,10,-14.286505215760481,0.920183768634299
F1,2021,2022,H0004,HTF_bias,Bear,1,False,False,283,120,163,42.40282685512368,0.05259797499759183,14.885226924318488,1.1015019936826373,17.033395284605074,2.0,-1.0,4,10,4.1363420399544815,0.23471583990276068,430,180,249,41.86046511627907,-0.0009539522843661266,-0.4101994822774344,0.9980898304598316,28.25084263083418,2.0,-1.0,9,8,-12.662420500483432,0.9429672784084504
F1,2021,2022,H0005,HTF_bias,Neutral,1,False,False,1,1,0,100.0,2.0,2.0,99.9,0.0,2.0,2.0,1,0,1.956715003385051,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0006,HTF_alignment,Aligned,1,True,True,378,169,208,44.70899470899471,0.12043473931591861,45.52433146141723,1.2479781914333956,19.45507545119066,2.0,-1.0,5,7,25.843917901803298,0.02868775007341151,405,167,238,41.23456790123457,-0.04195266288653802,-16.990828469047898,0.9189394865616487,25.93855552129033,2.0,-1.0,5,13,-30.17484123672455,0.8612732563703287
F1,2021,2022,H0007,HTF_alignment,Counter-trend,1,False,False,385,148,236,38.44155844155844,-0.03302413515737262,-12.714292035588459,0.9411834023450116,28.061589894653636,2.0,-1.0,8,12,-32.722410324519444,0.7028661855633159,349,145,203,41.54727793696275,0.04179588207077794,14.5867628427015,1.0826456506955886,14.842353402571941,2.0,-1.0,6,8,3.225915520480628,1.017579924600787
F1,2021,2022,H0008,HTF_alignment,Neutral,1,False,False,1,1,0,100.0,2.0,2.0,99.9,0.0,2.0,2.0,1,0,1.956715003385051,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0009,session,Overnight,1,False,False,244,110,133,45.08196721311475,0.12119300639164657,29.571093559561763,1.247454148286381,15.244584623381979,2.0,-1.0,6,12,10.725799294172575,0.06500399625671549,275,100,174,36.36363636363637,-0.07676785846990594,-21.111161079224136,0.8647306745724553,35.54565167957354,2.0,-1.0,7,9,-34.78904276700884,0.7887259251994139
F1,2021,2022,H0010,session,Premarket,1,False,False,192,77,114,40.104166666666664,0.08701387533329828,16.70666406399327,1.150906959570442,18.174327265578835,2.0,-1.0,4,9,7.344884703063524,0.1855788312878901,164,60,104,36.58536585365854,-0.08992693092409652,-14.74801667155183,0.8478480765589537,19.04036450095519,2.0,-1.0,4,8,-19.629652894599992,0.8038232146379892
F1,2021,2022,H0011,session,Open,1,False,False,39,16,23,41.02564102564103,0.0004094217125104348,0.015967446787906958,1.0008449060934328,7.654135695514678,2.0,-1.0,5,7,-0.8150110638133987,0.4990939266285781,37,25,12,67.56756756756756,0.3624998291779341,13.412493679583562,2.3843335992494685,2.3473961552421434,2.0,-1.0,4,3,12.782704374337508,2.2943137686187915
F1,2021,2022,H0012,session,MidAM,1,False,False,60,28,32,46.666666666666664,0.009832466849489359,0.5899480109693616,1.02188837714111,6.93032845575782,2.0,-1.0,4,4,-1.7232896843198295,0.4711756162586983,68,31,37,45.588235294117645,0.043066882980600144,2.9285480426808097,1.0932845798837785,9.505334750581007,2.0,-1.0,5,5,1.7164565943876118,1.0534564339196706
F1,2021,2022,H0013,session,Midday,1,False,False,122,52,70,42.622950819672134,0.04236685589197009,5.168756418820351,1.083905627495625,10.210442255589896,2.0,-1.0,5,5,0.792185750496968,0.3472234666606073,120,58,62,48.333333333333336,0.12245620437628141,14.69474452515377,1.2696883497371865,8.102193989080181,2.0,-1.0,7,8,12.400374520718433,1.222827000755012
F1,2021,2022,H0014,session,PM,1,False,False,107,35,72,32.71028037383178,-0.1611438324701297,-17.242390074303877,0.7222896529124694,20.1871974286468,2.0,-1.0,3,8,-21.246346418930916,0.9338135613093788,90,38,52,42.22222222222222,0.026881398633460205,2.4193258770114183,1.0644519997933737,5.802725222791791,2.0,-1.0,3,5,0.5702344559213441,1.0147526977300299
F1,2021,2022,H0015,session,After-hours,1,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
F1,2021,2022,H0016,time_of_day,00:00-01:59,1,False,False,81,28,53,34.5679012345679,-0.09128342717731193,-7.393957601362266,0.8604913660120326,11.457224971777295,2.0,-1.0,4,8,-14.66610703581346,0.7326679733231913,61,17,44,27.868852459016395,-0.2909528807187809,-17.748125723845636,0.5960676551637393,19.03507752319075,2.0,-1.0,3,7,-21.25714126274525,0.5419830280779455
F1,2021,2022,H0017,time_of_day,02:00-03:59,1,False,False,62,29,33,46.774193548387096,0.2039761959056233,12.646524146148645,1.428634802353102,6.920199702136758,2.0,-1.0,8,5,8.911844557676863,0.1072171019222643,80,24,56,30.0,-0.11898871133660852,-9.51909690692868,0.801132407798428,12.414618556245482,2.0,-1.0,3,7,-12.59186911789462,0.7479200067928441
F1,2021,2022,H0018,time_of_day,04:00-05:59,1,False,False,44,17,26,38.63636363636363,0.06052462527488181,2.6630835120947998,1.108759128138646,7.056738260586783,2.0,-1.0,3,5,0.07403692574765187,0.37879896031202465,44,18,26,40.90909090909091,-0.19015915300052136,-8.36700273202294,0.6366708433257642,12.059710519677667,2.0,-1.0,3,5,-9.991046199619154,0.5830783036036442
F1,2021,2022,H0019,time_of_day,06:00-07:59,1,False,False,57,25,32,43.85964912280702,0.19216583021434297,10.953452322217549,1.3624294190054642,4.942475227273892,2.0,-1.0,4,4,7.533914282311336,0.1446803602068687,53,14,39,26.41509433962264,-0.2858748855906841,-15.151368936306255,0.5798723446733519,18.151368936306255,2.0,-1.0,2,7,-17.00901295856653,0.5458389667996696
F1,2021,2022,H0020,time_of_day,08:00-09:59,1,False,False,109,43,66,39.44954128440367,0.05123133831524352,5.584215876361544,1.085866543175239,18.54551011272433,2.0,-1.0,5,7,1.874680927269601,0.34618065539585763,83,39,44,46.98795180722892,0.16583113061552046,13.763983841088198,1.3273599206550817,5.6724612256653515,2.0,-1.0,5,5,12.059968089599062,1.2809300856365096
F1,2021,2022,H0021,time_of_day,10:00-11:59,1,False,False,81,36,45,44.44444444444444,-0.023310767764485832,-1.8881721889233525,0.9487152123811873,8.264689883600365,2.0,-1.0,4,7,-4.676048180398291,0.5808765953705882,89,45,44,50.561797752808985,0.12749902110060166,11.347412877953548,1.307733443792403,8.0386741855743,2.0,-1.0,6,5,9.809599142711752,1.260184508323743
