level,event_type,horizon,Q1_mean,Q2_mean,Q3_mean,Q4_mean,monotonic_increasing,monotonic_decreasing
SESSION_OPEN,TOUCH,12,-0.06571902534128772,0.039447286513778476,-0.11327454622719767,0.11801207332098926,False,False
SESSION_OPEN,SWEEP,12,0.011084067827643042,0.07399014777190056,-0.028147012975856603,0.03565509422967361,False,False
SESSION_OPEN,BREAK,12,-0.37640170433036446,0.05996747573406703,-0.08158333929496954,0.06838853247114882,False,False
SESSION_OPEN,BREAK_HOLD,12,-0.11452990834879714,-0.14843554489792427,0.040752610418882916,0.011825634209364225,False,False
PDH,SWEEP,12,0.05510724113129509,-0.06048101497063677,0.08780330039484038,0.03429969680271112,False,False
PDH,BREAK,12,-0.3437099001848829,-0.13268669190732638,0.20884145525234807,0.0344516186296992,False,False
PDH,BREAK_HOLD,12,0.03805106327743008,-0.19834888121043975,0.03492353813714985,0.16778682949120557,False,False
PDH,APPROACH,12,-0.09426553080145429,0.11399982755509536,0.12887311517583916,0.015838900892476367,False,False
PDH,TOUCH,12,0.030918360792923958,-0.18146166614281645,0.22498371866132671,0.1215885415284935,False,False
SESSION_OPEN,APPROACH,12,-0.19947745206402293,0.016926396270258885,0.0398815300353923,0.058177388474403346,True,False
ONL,APPROACH,12,-0.04870269185157898,-0.07772063492487659,0.07586748158974482,-0.07609566226153087,False,False
ONL,TOUCH,12,0.050907700021129515,0.07071766562430125,-0.01664979202697279,-0.0033288217083716327,False,False
ONH,APPROACH,12,0.15769670184782109,-0.10500513850762859,0.15656620335412538,-0.022763623201159964,False,False
ONH,TOUCH,12,0.015484069413627673,0.07209914092621444,0.0806839137018315,0.14031645761478212,True,False
PDL,TOUCH,12,-0.006126903548856577,0.12220411530454915,-0.024954897345157878,0.19994142705201803,False,False
PDL,SWEEP,12,-0.017072501202914852,0.08510810785206054,0.0010787449992846912,0.03251960324875928,False,False
PDL,BREAK,12,-0.040059631011155984,-0.08975644467064875,-0.08500670443561839,0.14559589353019686,False,False
ONL,BREAK,12,0.06481911223293843,0.24039678119450683,-0.0166010416546105,0.05683749421193033,False,False
PDL,BREAK_FAILURE,12,0.2856261542278566,0.23998167222713984,0.27187506753737545,-0.2512181296753294,False,False
PDL,APPROACH,12,-0.10526616892780706,0.157418990778984,0.30005703783251986,-0.1462206148107443,False,False
ONL,BREAK_HOLD,12,-0.006790337246633372,-0.02587944903812316,-0.09761621329586233,0.21969042204094222,False,False
ONH,SWEEP,12,0.14978606436037,0.03047603475733361,0.03850990168587115,0.2563206693879025,False,False
ORH,TOUCH,12,0.06272751265373981,-0.04890360793050083,0.10846406060781567,0.1379224233156226,False,False
ORL,TOUCH,12,0.018873886598702434,0.0674952974379471,-0.055742052370900706,0.07911231764470347,False,False
ORH,APPROACH,12,0.02715135607104444,-0.08089252720988309,0.15696043330688314,0.18218053873501458,False,False
ONH,BREAK,12,-0.2706377604220608,0.06110565004484901,0.007063309696804529,-0.0027233352441173005,False,False
ONH,BREAK_HOLD,12,0.0356750903078775,0.057274744615992794,0.000555970720480198,-0.2168424664637802,False,False
ORH,SWEEP,12,0.13731422226939852,0.02893142596376152,0.12093987237284219,0.08266572507103033,False,False
ORH,BREAK,12,-0.22655847315082883,0.058097135879530144,0.08605804096507269,0.07783583708215895,False,False
ORH,BREAK_HOLD,12,-0.06257364603859801,0.08130854603800329,0.11756326258163467,0.11918499273153621,True,False
SESSION_OPEN,BREAK_FAILURE,12,-0.6155399342163073,-0.17219062103078384,0.00762442815563733,0.02968583006987291,True,False
PDH,BREAK_FAILURE,12,0.4403060242648191,-0.21789960982345047,0.34667274379300667,-0.2809368428947483,False,False
PRIOR_RTH_CLOSE,TOUCH,12,0.13481783580976794,-0.009284413035367794,-0.03910274036419531,0.1809790942794101,False,False
PRIOR_RTH_CLOSE,SWEEP,12,0.027805433925705347,0.025201176868778603,-0.13906239403708265,0.09421683941951231,False,False
PRIOR_RTH_CLOSE,BREAK,12,-0.4780425554214692,-0.003640228988676061,-0.11078874007794687,0.09675451125974094,False,False
PRIOR_RTH_CLOSE,BREAK_HOLD,12,-0.15478405204628226,-0.008811436493615498,0.030809008019745298,-0.016144704107922046,False,False
PRIOR_RTH_CLOSE,APPROACH,12,0.06948118453037455,-0.13870496725733544,-0.005705167416553843,0.19961749692811492,False,False
ORL,APPROACH,12,0.08224735238087107,0.008563320229756111,-0.09809401354819508,-0.04976307597495758,False,False
ORL,SWEEP,12,0.06360360679790171,0.06982548731769248,0.02886012630116379,0.18560521029800958,False,False
ORL,BREAK,12,-0.22446814815271354,0.14174215459036624,0.11514441646842315,0.12433098179527852,False,False
ORL,BREAK_HOLD,12,-0.1334838023877541,0.13291085143794476,0.22667003285668538,0.12571104045400064,False,False
ORL,BREAK_FAILURE,12,-0.07025091865008205,0.022732979658797507,0.11265139945957299,0.1438178436673736,True,False
ORH,BREAK_FAILURE,12,0.17155941516461223,0.3313806715188647,0.07978569182105527,0.15882780281444436,False,False
PDL,BREAK_HOLD,12,-0.04301539837351785,0.15801855165764786,-0.05891955254836612,-0.14785825932242738,False,False
PRIOR_RTH_CLOSE,BREAK_FAILURE,12,-0.3873952132138975,0.24878997061157662,0.021982899558093214,0.03985007255937902,False,False
ONH,BREAK_FAILURE,12,0.014655015735255818,0.5563056470001141,0.12870065518453774,0.4376175968297948,False,False
ONL,SWEEP,12,0.1143726581770177,0.058963889251685754,0.29191028834758737,0.0842465583851537,False,False
ONL,BREAK_FAILURE,12,-0.06516642148726479,0.2010249466282664,0.3686802747370152,0.2212835586465641,False,False
