level,event_type,direction,horizon,N,full_mean_atr,era1_mean_atr,era2_mean_atr,era3_mean_atr,same_sign_across_eras,replicated,failure_reasons
SESSION_OPEN,TOUCH,continuation,1,5980,-0.007615579238266993,0.02604681284263853,-0.018791853748255958,-0.03087547312163092,False,False,not_same_sign
SESSION_OPEN,SWEEP,continuation,1,12020,0.004857359199601194,0.012490579778036767,-0.0009907910794079665,0.004178718310768348,False,False,not_same_sign
SESSION_OPEN,BREAK,continuation,1,8022,-0.07231651492002157,0.01924603395544971,-0.1958197447528506,0.015735892926797095,False,False,not_same_sign
SESSION_OPEN,BREAK_HOLD,continuation,1,3096,-0.006065166785898984,0.02015082833673207,-0.04439232318463023,0.012134479100853586,False,False,not_same_sign
PDH,SWEEP,continuation,1,5606,0.006524282661536993,0.004461773072231546,0.004955467897122088,0.01051197629529849,True,False,effect_too_small
PDH,BREAK,continuation,1,3904,-0.05446633680745939,-0.004326282247298604,-0.17565135847774171,0.06828784529892024,False,False,not_same_sign
PDH,BREAK_HOLD,continuation,1,1604,-0.006614711996357097,0.004863309495483703,-0.029177219904027184,0.005499114999194599,False,False,not_same_sign
PDH,APPROACH,continuation,1,1289,-0.0038487958161206324,-0.006889026236090443,0.013205461226298686,-0.0190755776389049,False,False,not_same_sign
PDH,TOUCH,continuation,1,2979,0.0015065724641308944,0.022196795739881963,-0.03799630456884746,0.019858359418674875,False,False,not_same_sign
SESSION_OPEN,APPROACH,continuation,1,2212,0.013241913170966943,0.03392573472598115,-0.006421924765570534,0.013723769553774983,False,False,not_same_sign
ONL,APPROACH,continuation,1,1974,-0.01700459815635428,0.05125959317590108,-0.08243523253742514,-0.01707507399267862,False,False,not_same_sign
ONL,TOUCH,continuation,1,9635,0.013016071296502849,0.047992053347684936,-0.011102405754189143,0.0032767886380848867,False,False,not_same_sign
ONH,APPROACH,continuation,1,2030,0.024033193342586287,0.01057474310132171,-0.025268037196779693,0.09701913104392038,False,False,not_same_sign
ONH,TOUCH,continuation,1,10113,0.018098820099391486,0.008383068259262789,-0.0012567753820460369,0.05026435986826384,False,False,not_same_sign
PDL,TOUCH,continuation,1,2332,0.03419026067897904,0.061287423121161255,0.03267645798924459,0.008467230813658192,True,False,effect_too_small
PDL,SWEEP,continuation,1,4538,0.00880663838656635,0.03254055193286476,-0.009163872195958623,0.009953744135245383,False,False,not_same_sign
PDL,BREAK,continuation,1,2768,0.015035998170408082,0.08507745218204316,-0.05577247790858735,0.04672761033408059,False,False,not_same_sign
ONL,BREAK,continuation,1,1684,-0.03861873753025404,-0.020183719496486452,-0.04812791199142528,-0.04880182966638541,True,False,insufficient_positive_eras
PDL,BREAK_FAILURE,continuation,1,547,0.0626310276631372,0.04843714346854073,0.13451979445862206,-0.03466531205295821,False,False,not_same_sign
PDL,APPROACH,continuation,1,1043,0.015702825679970524,0.07109342466999993,-0.040421057080072854,0.033896632035158476,False,False,not_same_sign
ONL,BREAK_HOLD,continuation,1,921,-0.017620343364849345,-0.0676922641950991,-0.01840173503237671,0.05052622094884209,False,False,not_same_sign
ONH,SWEEP,continuation,1,2639,-0.003984041970610701,-0.01621748380639121,-0.010018324543273378,0.01667907111231491,False,False,not_same_sign
ORH,TOUCH,continuation,1,3548,0.002336875809815036,0.011444214414546435,-0.017163116632698174,0.014298603818274119,False,False,not_same_sign
ORL,TOUCH,continuation,1,3451,-0.009601687437944857,0.03230270703164823,-0.025421780029275535,-0.03889336796538529,False,False,not_same_sign
ORH,APPROACH,continuation,1,1837,-0.019588712268791563,0.0114292779848117,-0.06978900738691299,0.0038557470548873625,False,False,not_same_sign
ONH,BREAK,continuation,1,1985,-0.07138699136810576,-0.037212943627814916,-0.13359759847527808,-0.03267916755210435,True,False,insufficient_positive_eras
ONH,BREAK_HOLD,continuation,1,1080,-0.013382413305040794,-0.0022521478561308116,-0.03636842518376041,-0.00015855508071043424,True,False,insufficient_positive_eras
ORH,SWEEP,continuation,1,3864,-0.00104680952320497,0.0022779889200900596,0.003624088242809477,-0.010130596079240438,False,False,not_same_sign
ORH,BREAK,continuation,1,2661,-0.056879052777697385,-0.019793277649240833,-0.11583913502084763,-0.02310924164903802,True,False,insufficient_positive_eras
ORH,BREAK_HOLD,continuation,1,1396,2.7215884651548495e-05,0.021541590937866305,-0.014701994758986104,-0.006912942423886677,False,False,not_same_sign
SESSION_OPEN,BREAK_FAILURE,continuation,1,1465,-0.10611057939074224,0.029774051265731658,-0.25730783044292455,-0.007568717395741135,False,False,not_same_sign
PDH,BREAK_FAILURE,continuation,1,756,0.06833282905417883,0.010961318399619386,0.16539144134721906,-0.014350977941455192,False,False,not_same_sign
PRIOR_RTH_CLOSE,TOUCH,continuation,1,4876,0.015595084348776581,0.05016126454159946,-0.005503390934113447,0.003890917336140416,False,False,not_same_sign
PRIOR_RTH_CLOSE,SWEEP,continuation,1,9606,-0.0011171136278669144,-0.008636354011458713,0.0003552237733382267,0.005002724222330537,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK,continuation,1,6285,-0.08351739013021113,0.04440626591272661,-0.23062450612500163,0.017612362192391186,False,False,not_same_sign
PRIOR_RTH_CLOSE,BREAK_HOLD,continuation,1,2324,0.0048336581369506255,0.028615836314808105,-0.01554103483508767,0.00430215413194514,False,False,not_same_sign
PRIOR_RTH_CLOSE,APPROACH,continuation,1,1799,-0.03896684216658512,-0.026759967898250768,-0.04223712026418862,-0.049383655765543315,True,False,insufficient_positive_eras
ORL,APPROACH,continuation,1,1713,-0.024232053020025814,-0.022942565451364486,-0.023271830587279017,-0.026994556595319224,True,False,insufficient_positive_eras
ORL,SWEEP,continuation,1,3528,-0.015836867500609083,0.018326840081923083,-0.03578138700234423,-0.028138952760255458,False,False,not_same_sign
ORL,BREAK,continuation,1,2308,-0.04394084378612053,0.020856692300459147,-0.08593991524709592,-0.05991765671345621,False,False,not_same_sign
ORL,BREAK_HOLD,continuation,1,1210,-0.005769510866197362,0.0201072908781941,-0.028712129766809407,-0.008676943779340592,False,False,not_same_sign
ORL,BREAK_FAILURE,continuation,1,562,0.03580935950906246,0.01404140340280316,0.08221358382950247,-0.00601717723701333,False,False,not_same_sign
ORH,BREAK_FAILURE,continuation,1,612,0.04388502893010438,0.022565358302407794,0.12727537384948903,-0.024796813720020662,False,False,not_same_sign
PDL,BREAK_HOLD,continuation,1,1204,0.03347134542889762,0.06768263938814878,0.014420546456418366,0.021519170105219903,True,False,effect_too_small
PRIOR_RTH_CLOSE,BREAK_FAILURE,continuation,1,1240,-0.10150183028919584,-0.012718163302238166,-0.21727751585279012,-0.004346098792568379,True,False,insufficient_positive_eras
ONH,BREAK_FAILURE,continuation,1,420,-0.007119166664916634,-0.03428217779663651,0.0450985766443753,-0.037532315288019556,False,False,not_same_sign
ONL,SWEEP,continuation,1,2408,-0.0016323453229499475,0.03792472147229004,-0.0035839181456439493,-0.041927469691019494,False,False,not_same_sign
ONL,BREAK_FAILURE,continuation,1,385,0.026111392327540252,-0.04854343411784602,0.024967819485568216,0.12976810207398803,False,False,not_same_sign
SESSION_OPEN,TOUCH,reversal,1,5980,0.007615579238266993,-0.02604681284263853,0.018791853748255958,0.03087547312163092,False,False,not_same_sign
SESSION_OPEN,SWEEP,reversal,1,12020,-0.004857359199601194,-0.012490579778036767,0.0009907910794079665,-0.004178718310768348,False,False,not_same_sign
SESSION_OPEN,BREAK,reversal,1,8022,0.07231651492002157,-0.01924603395544971,0.1958197447528506,-0.015735892926797095,False,False,not_same_sign
SESSION_OPEN,BREAK_HOLD,reversal,1,3096,0.006065166785898984,-0.02015082833673207,0.04439232318463023,-0.012134479100853586,False,False,not_same_sign
PDH,SWEEP,reversal,1,5606,-0.006524282661536993,-0.004461773072231546,-0.004955467897122088,-0.01051197629529849,True,False,insufficient_positive_eras
PDH,BREAK,reversal,1,3904,0.05446633680745939,0.004326282247298604,0.17565135847774171,-0.06828784529892024,False,False,not_same_sign
PDH,BREAK_HOLD,reversal,1,1604,0.006614711996357097,-0.004863309495483703,0.029177219904027184,-0.005499114999194599,False,False,not_same_sign
PDH,APPROACH,reversal,1,1289,0.0038487958161206324,0.006889026236090443,-0.013205461226298686,0.0190755776389049,False,False,not_same_sign
PDH,TOUCH,reversal,1,2979,-0.0015065724641308944,-0.022196795739881963,0.03799630456884746,-0.019858359418674875,False,False,not_same_sign
SESSION_OPEN,APPROACH,reversal,1,2212,-0.013241913170966943,-0.03392573472598115,0.006421924765570534,-0.013723769553774983,False,False,not_same_sign
