event_family,vol_measure,transition,compression_duration,shock_percentile_bin,transition_direction,horizon,orientation,N,sample_tier,mean_signed_return_atr,median_signed_return_atr,positive_signed_rate,mean_abs_return_atr,median_abs_return_atr,mfe_atr,mae_atr,future_rv,effect_value,uplift_pct_vs_baseline,standard_error,ci95_low,ci95_high,era1,era2,era3,same_sign_across_eras,replicated,raw_p_value,fdr_q_value,fdr_survivor_5pct
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,99+,UP,1,n/a,1082,STRONG_SAMPLE,0.03657107107091776,-0.0028214909025164065,0.488909426987061,1.1337844894990559,0.7314508293571609,1.1273896601743523,1.0385350736800103,,1.1337844894990559,-39.52091094735505,0.05152397096830559,1.0397782939226634,1.2367062731252234,1.0022568053568683,1.235381870387838,1.171218061981187,True,False,2.5797363056826904e-107,4.3763383757117067e-107,True
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,n/a,11052,STRONG_SAMPLE,0.014284262366098545,0.02536716499860504,0.510586319218241,0.4165258009410014,0.30808335298939926,0.41676525827597477,0.41905176117947124,,0.4165258009410014,-77.7814026905895,0.003931412067643014,0.4089052642646324,0.4242302674442511,0.4283949093174737,0.41453516275927843,0.4046163735627131,True,False,0.0,0.0,True
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,n/a,6552,STRONG_SAMPLE,0.014764575586466214,0.02126973760611615,0.5112942612942613,0.36100919011964966,0.26326379694459046,0.3623372073959949,0.3590177229100181,,0.36100919011964966,-80.74280680297868,0.004599730855275939,0.3525368939676532,0.36935784641740527,0.38306613484203694,0.3604871053461534,0.33602924961942476,True,False,0.0,0.0,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,UP,1,n/a,9635,STRONG_SAMPLE,-0.012189073133087891,-0.024549896595824322,0.4676699532952776,0.5412482624189132,0.37881331183401845,0.5276103564910167,0.5288929830384262,,0.5412482624189132,-71.12837389680126,0.006554571259335022,0.5290731865392022,0.554617335458845,0.5042002120868762,0.5689759760529901,0.5500047445763062,True,False,0.0,0.0,True
REGIME_TRANSITION,ATR_24,HIGH->NORMAL,n/a,n/a,NEUTRAL,1,n/a,61,INSUFFICIENT,-0.2992644294068574,0.0,0.39344262295081966,0.4920029918014848,0.177432470802514,0.0602578828081076,0.6195393433291765,,0.4920029918014848,,0.16584113480914933,0.21857785738333485,0.8641205013972032,0.5103416838215219,0.6279366317190626,0.19411673532242824,True,False,0.003010021339807934,0.003681785758992537,True
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,n/a,587,ANALYZABLE,0.017558012826861605,0.014655057026451533,0.5008517887563884,0.4346888970441061,0.28848875320654715,0.37852055490071074,0.367521603117,,0.4346888970441061,-76.81253469418856,0.024512879446658135,0.3897420267516105,0.4857906357912303,0.4402500561179028,0.4760783710402999,0.3637590651818904,True,False,2.3291014532447633e-70,3.836959041472587e-70,True
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,DOWN,1,n/a,4658,STRONG_SAMPLE,0.014252174272180469,0.019539146507264803,0.5088020609703735,0.36934099873594406,0.2554646787085915,0.36018368449330807,0.34767433678482584,,0.36934099873594406,-80.29836590619315,0.006068662371463889,0.35762903378644784,0.381239739451644,0.38900415690337525,0.37037734795087923,0.34421440998120806,True,False,0.0,0.0,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,UP,1,n/a,21535,STRONG_SAMPLE,0.008720563677032039,0.0,0.47917343858834455,0.5033165062338688,0.36371482305776925,0.5093779170942314,0.49113500940738325,,0.5033165062338688,-73.15175495509403,0.0037464485337693433,0.4962479968676162,0.5106858322848177,0.4938602331115551,0.5139002027454505,0.5017313043460155,True,False,0.0,0.0,True
COMPRESSION,ATR_RATIO,ENTER_LOW,1-3,n/a,UP,1,n/a,4864,STRONG_SAMPLE,-0.003561751994113156,0.0,0.48211348684210525,0.38427967442812694,0.25569377495884826,0.3492312043393482,0.3552897774263187,,0.38427967442812694,-79.50149709568818,0.008632511203551713,0.36881444193769186,0.4024026402340171,0.40663252050904597,0.3943001710361544,0.34783859953222895,True,False,0.0,0.0,True
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,DOWN,1,n/a,2969,STRONG_SAMPLE,-0.028534345515509735,0.020303023793018387,0.5065678679690131,0.48908589138221686,0.35071838143495104,0.4535985641553113,0.5120060067819565,,0.48908589138221686,-73.9108539116049,0.00967244984097003,0.46911250520448095,0.5104645704473909,0.5058221045475566,0.46925734546124837,0.4924181181773365,True,False,0.0,0.0,True
COMPRESSION,RANGE_RATIO,ENTER_LOW,1-3,n/a,UP,1,n/a,6912,STRONG_SAMPLE,0.000991999128494919,0.0,0.4774305555555556,0.37074651880012205,0.2641986603583794,0.35552263612916846,0.3634673561297798,,0.37074651880012205,-80.22339171672947,0.0048220597619202015,0.3610941513015,0.38042209786508724,0.38482624745127975,0.37195529871537253,0.3525339002419756,True,False,0.0,0.0,True
COMPRESSION_EXPANSION,ATR_RATIO,LOW->NORMAL,0,n/a,DOWN,1,n/a,2260,STRONG_SAMPLE,-0.030164287811117338,0.027283060049930932,0.504424778761062,0.5446075375784067,0.4041062940190552,0.5046635849308522,0.5948965723485523,,0.5446075375784067,-70.94918119888995,0.011767504567916039,0.5213677938830155,0.5686393837009717,0.5827634393947267,0.5293076760332373,0.5192157437953557,True,False,0.0,0.0,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,90-95,DOWN,1,n/a,9857,STRONG_SAMPLE,0.007327832700927065,0.04801955050037109,0.5264279192452065,0.5934143272810063,0.42365996852513493,0.5630845679715635,0.6121809097835775,,0.5934143272810063,-68.34569684349765,0.006354316686907596,0.5812516194766163,0.6053988340968284,0.5647351618868728,0.5991122352469539,0.620993613613455,True,False,0.0,0.0,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,95-99,DOWN,1,n/a,6120,STRONG_SAMPLE,-0.0034614846554760757,0.051395728373126254,0.5251633986928105,0.7486897903732468,0.5273216456102457,0.688011123752736,0.7579089715845909,,0.7486897903732468,-60.06288944312871,0.01053070152988073,0.728710163484875,0.7694512360935524,0.7492684486068195,0.752254454552214,0.7434703051581717,True,False,0.0,0.0,True
COMPRESSION_EXPANSION,RV_RATIO,LOW->NORMAL,0,n/a,UP,1,n/a,2861,STRONG_SAMPLE,-0.006172714750185325,0.0,0.47396015379238027,0.4211052943366783,0.3078375479903309,0.4115708006128294,0.4207550294913967,,0.4211052943366783,-77.53712029701441,0.011147084412548202,0.40102432382349407,0.44303160620663623,0.4270665861474073,0.40009500870440107,0.4369872552642053,True,False,2.69418436161e-312,8.256371430736e-312,True
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,NEUTRAL,1,n/a,1019,STRONG_SAMPLE,0.02034412675083823,0.0,0.4975466143277723,0.41134187765695646,0.29981616147543094,0.4073785226835323,0.3954095001349404,,0.41134187765695646,-78.0579269867336,0.013354861067641449,0.3851788177412238,0.43695205636525747,0.39569987033333864,0.4450805017385307,0.40277161877784856,True,False,2.547914387408004e-208,6.102147902615807e-208,True
VOLATILITY_SHOCK,SHOCK_SCORE,SHOCK_ONSET,n/a,80-90,DOWN,1,n/a,21518,STRONG_SAMPLE,0.016538223183230293,0.03879094363878549,0.5187285063667627,0.5532701063493531,0.40032992859313266,0.5411761068096205,0.555023826729198,,0.5532701063493531,-70.4870966731489,0.005431615332795613,0.5429048042801002,0.5641109366136946,0.5487777449509781,0.5657479348961959,0.5431081332925685,True,False,0.0,0.0,True
COMPRESSION,RV_RATIO,ENTER_LOW,1-3,n/a,UP,1,n/a,12006,STRONG_SAMPLE,0.006520391548186224,0.0,0.4855905380643012,0.4094571629532728,0.29680235604043226,0.4079455552412073,0.40234688658242185,,0.4094571629532728,-78.15846269652558,0.004054689781968524,0.4016241277248487,0.4169780518893646,0.42204538244537015,0.41043594066213,0.39458226586636586,True,False,0.0,0.0,True
REGIME_TRANSITION,ATR_24,NORMAL->LOW,n/a,n/a,DOWN,1,n/a,920,ANALYZABLE,0.022278553083728104,0.03686265803800891,0.5141304347826087,0.3820757914294061,0.27865361720831683,0.39311055004608914,0.38765221826220336,,0.3820757914294061,-79.6190580937224,0.011874831120684683,0.36063715156470116,0.4049875029202794,0.3762179697289643,0.39041965441930243,0.3773111695807504,True,False,3.9163140094975847e-227,1.0055400835196501e-226,True
COMPRESSION,ATR_24,ENTER_LOW,1-3,n/a,DOWN,1,n/a,1345,STRONG_SAMPLE,0.021435298271003045,0.0365648715409422,0.5137546468401487,0.4199395232361662,0.3096576556145521,0.42753350922789785,0.42403079463184357,,0.4199395232361662,-77.59930563722313,0.011541936215249753,0.39767789142164306,0.4434388419010631,0.44064566532411625,0.4179817150182938,0.3978474551734516,True,False,7.67892767336385e-290,2.233157537661936e-289,True
COMPRESSION_EXPANSION,RANGE_RATIO,LOW->NORMAL,0,n/a,UP,1,n/a,2828,STRONG_SAMPLE,0.02171388938038817,0.0,0.4900990099009901,0.4422670736339284,0.3255401485989221,0.4648342846497416,0.4265070791991461,,0.4422670736339284,-76.4082945400169,0.008339257415717994,0.4264822409721776,0.45975403061907966,0.44685040652353336,0.4419300769958849,0.43713778662323555,True,False,0.0,0.0,True
