path_hit_poc_before_rejection_high,path_hit_val_before_rejection_high,path_hit_half_width_extension,path_hit_poc_before_rejection_low,path_hit_vah_before_rejection_low,path_hit_half_width_extension_down,event_type,era
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
False,False,True,,,,ACCEPTANCE_ABOVE_VAH,era1
False,False,True,,,,HOLD_ABOVE_VAH,era1
