comparison,horizon,upper_mean,lower_mean,symmetry
continuation,1,0.004549500183789216,-0.003921560422746109,SYMMETRIC
reversal,1,-0.11097794358221758,-0.02112313764946805,ASYMMETRIC
migration,1,0.0023034378405190504,-0.0040437311255155225,SYMMETRIC
continuation,3,0.0160313188586171,-0.002543515047042239,SYMMETRIC
reversal,3,-0.12835741697093841,-0.038005492163421625,ASYMMETRIC
migration,3,0.003634780535162006,-0.00730904901582413,SYMMETRIC
continuation,6,0.03538893733611992,0.0005830598305050222,ASYMMETRIC
reversal,6,-0.1012098507655291,-0.04645767922482307,ASYMMETRIC
migration,6,0.006859969836905024,-0.0016881070893827782,SYMMETRIC
continuation,12,0.06939475846143475,-0.010846601241860784,SYMMETRIC
reversal,12,-0.17336008440314335,0.016472882770148804,SYMMETRIC
migration,12,0.007442281949978435,-0.00428093118335884,SYMMETRIC
continuation,24,0.13069932697955455,-0.03991293124886914,SYMMETRIC
reversal,24,-0.09296259598227198,0.00018988608330355565,SYMMETRIC
migration,24,0.033515320640896976,-0.017196091304498243,SYMMETRIC
