value_width_quartile,event_type,N
Q1,ACCEPTANCE_ABOVE_VAH,8418
Q1,ACCEPTANCE_BELOW_VAL,7353
Q1,CLOSE_ABOVE_VAH,253
Q1,CLOSE_BELOW_VAL,254
Q1,FULL_VALUE_TRAVERSAL,4028
Q1,HOLD_ABOVE_VAH,8418
Q1,HOLD_BELOW_VAL,7353
Q1,POC_CROSS_AFTER_OUTSIDE_OPEN,264
Q1,POC_TEST,228
Q1,REJECTION_ABOVE_VAH,309
Q1,REJECTION_BELOW_VAL,237
Q1,RETURN_INTO_VALUE_AFTER_ABOVE,330
Q1,RETURN_INTO_VALUE_AFTER_BELOW,260
Q1,TEST_VAH_FROM_ABOVE,441
Q1,TEST_VAH_FROM_BELOW,361
Q1,TEST_VAL_FROM_ABOVE,353
Q1,TEST_VAL_FROM_BELOW,350
Q2,ACCEPTANCE_ABOVE_VAH,9289
Q2,ACCEPTANCE_BELOW_VAL,6953
Q2,CLOSE_ABOVE_VAH,241
Q2,CLOSE_BELOW_VAL,214
Q2,FULL_VALUE_TRAVERSAL,2516
Q2,HOLD_ABOVE_VAH,9289
Q2,HOLD_BELOW_VAL,6953
Q2,POC_CROSS_AFTER_OUTSIDE_OPEN,220
Q2,POC_TEST,221
Q2,REJECTION_ABOVE_VAH,243
Q2,REJECTION_BELOW_VAL,197
Q2,RETURN_INTO_VALUE_AFTER_ABOVE,233
Q2,RETURN_INTO_VALUE_AFTER_BELOW,200
Q2,TEST_VAH_FROM_ABOVE,373
Q2,TEST_VAH_FROM_BELOW,337
Q2,TEST_VAL_FROM_ABOVE,328
Q2,TEST_VAL_FROM_BELOW,297
Q3,ACCEPTANCE_ABOVE_VAH,8807
Q3,ACCEPTANCE_BELOW_VAL,6326
Q3,CLOSE_ABOVE_VAH,236
Q3,CLOSE_BELOW_VAL,218
Q3,FULL_VALUE_TRAVERSAL,1614
Q3,HOLD_ABOVE_VAH,8807
Q3,HOLD_BELOW_VAL,6326
Q3,POC_CROSS_AFTER_OUTSIDE_OPEN,164
Q3,POC_TEST,214
Q3,REJECTION_ABOVE_VAH,233
Q3,REJECTION_BELOW_VAL,199
Q3,RETURN_INTO_VALUE_AFTER_ABOVE,220
Q3,RETURN_INTO_VALUE_AFTER_BELOW,197
Q3,TEST_VAH_FROM_ABOVE,375
Q3,TEST_VAH_FROM_BELOW,321
Q3,TEST_VAL_FROM_ABOVE,324
Q3,TEST_VAL_FROM_BELOW,290
Q4,ACCEPTANCE_ABOVE_VAH,8658
Q4,ACCEPTANCE_BELOW_VAL,5456
Q4,CLOSE_ABOVE_VAH,207
Q4,CLOSE_BELOW_VAL,193
Q4,FULL_VALUE_TRAVERSAL,615
Q4,HOLD_ABOVE_VAH,8658
Q4,HOLD_BELOW_VAL,5456
Q4,POC_CROSS_AFTER_OUTSIDE_OPEN,98
Q4,POC_TEST,222
Q4,REJECTION_ABOVE_VAH,183
Q4,REJECTION_BELOW_VAL,182
Q4,RETURN_INTO_VALUE_AFTER_ABOVE,169
Q4,RETURN_INTO_VALUE_AFTER_BELOW,164
Q4,TEST_VAH_FROM_ABOVE,293
Q4,TEST_VAH_FROM_BELOW,291
Q4,TEST_VAL_FROM_ABOVE,298
Q4,TEST_VAL_FROM_BELOW,273
