event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect
DISPLACEMENT_ALONE,ALL,0.50-0.75,body_range,Q1,1,24162,-0.007864983043123544,0.0,0.479802996440692,-7.115573823937479e-05,-0.007793827304884169,0.5765286978962207,0.5743159431670116,0.42969229827964933,0.44079148024023845,-0.07949363234269742,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,8482,-0.015386414516191441,8519,0.0060818016608272536,7161,-0.01554769176235199
DISPLACEMENT_ALONE,ALL,0.50-0.75,body_range,Q2,1,17936,-0.01802857207856444,-0.014225098863865119,0.4737399643175736,1.594552346679978e-05,-0.01804451760203124,0.47057794302643746,0.4849325722309119,0.35866760677082055,0.38208142817636337,0.02266365670555786,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,6268,-0.029192145328417594,6335,-0.013278513870262037,5333,-0.010550293739827537
DISPLACEMENT_ALONE,ALL,0.50-0.75,body_range,Q3,1,12825,-0.006878637521979129,-0.030536484501110673,0.4612085769980507,5.683072655464991e-05,-0.006935468248533779,0.44122789911672256,0.4433715250143367,0.3275917758976674,0.35228814557577437,0.0020305402861345396,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,4436,-0.0020839425989233823,4492,-0.0023166507387164183,3897,-0.017595011991851185
DISPLACEMENT_ALONE,ALL,0.50-0.75,body_range,Q4,1,8191,-0.020336685955795172,-0.03296813477268979,0.45549993895739227,9.538194459673728e-05,-0.02043206790039191,0.39395125575056505,0.4227640508472877,0.28584088504377536,0.32723999727818537,-0.0910123232764332,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3133,-0.010859500170206968,2655,-0.04609794025524998,2403,-0.004230107887212296
DISPLACEMENT_ALONE,ALL,0.75-1.00,body_range,Q1,1,6345,0.00034682328081341577,0.0,0.4907801418439716,-0.00021642192521167285,0.0005632452060250887,0.6973581499533255,0.6745033451649552,0.5193612622085606,0.5014605842712162,-0.056204188437685626,False,False,0.9765099419796023,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2197,-0.022453560574410343,2239,0.03892525533104639,1909,-0.018660335457031024
DISPLACEMENT_ALONE,ALL,0.75-1.00,body_range,Q2,1,9207,-0.012239961078544822,-0.031235993856692644,0.46866514608450094,-3.3864736313304436e-05,-0.012206096342231517,0.5481103871732054,0.5485517276435098,0.4177351484771369,0.4308133904984447,0.13018428633161608,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3190,-0.023407025613441514,3242,-0.005154668848663774,2775,-0.007680531003933621
DISPLACEMENT_ALONE,ALL,0.75-1.00,body_range,Q3,1,9892,-0.014604584397917019,-0.01127451340040438,0.48069146785281036,5.620673230240126e-05,-0.01466079113021942,0.5020828793162853,0.5093820445376543,0.3835454115509824,0.399929075285002,-0.2525462070804991,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3431,-0.012912471436093326,3511,-0.0041400656357527665,2950,-0.029027148786383388
DISPLACEMENT_ALONE,ALL,0.75-1.00,body_range,Q4,1,8808,-0.014912014641333182,-0.037070675112562804,0.45810626702997276,0.00023925949935722817,-0.01515127414069041,0.45868357076736427,0.47497886189648514,0.3356920506685006,0.3872770932659996,0.11156010573098368,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3205,-0.021009928438177627,2973,-0.020095826453013537,2630,-0.0016210312820129878
DISPLACEMENT_ALONE,ALL,1.00-1.25,body_range,Q1,1,1801,-0.02800069660678811,0.0,0.4825097168239867,-0.00030832048446827285,-0.02769237612231984,0.8503327925384099,0.8491063475915337,0.636529693709476,0.6157175782942349,-0.1727489021455977,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,603,-0.0613145127072759,648,-0.035926560901351004,550,0.0178614691595226
DISPLACEMENT_ALONE,ALL,1.00-1.25,body_range,Q2,1,3609,0.0031100478949727395,0.0,0.48129675810473815,-0.00032507063790987114,0.0034351185328826105,0.632672292420691,0.6156399835650952,0.4729898956207275,0.48393155710268904,0.08216701015507331,True,False,0.8272172155121048,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1250,-0.03060432834168763,1307,0.01998978289048217,1052,0.02219859985000564
