event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect,FDR_q,FDR_survivor
DISPLACEMENT_ALONE,BULLISH,1.00-1.25,none,none,12,8956,0.05679772045190363,0.09322498554714975,0.5154086645824029,0.059014440838124224,-0.0022167203862205956,2.0770695294368835,2.117113443315391,1.5541824416120331,1.4667328958155597,-0.27763385637621,False,True,0.07595912265771344,ERA_DEPENDENT,NEGLIGIBLE,3115,0.13367424647507134,3182,0.022557878142898204,2659,0.007711898588454084,0.8439902517523715,False
DISPLACEMENT_FOLLOWTHROUGH,BULLISH,<0.50,none,none,12,19496,0.033946363806184376,0.09987083523613619,0.5189782519491177,0.05901444083812424,-0.02506807703193986,1.8535389124023995,1.9172535575971006,1.3798874256302616,1.3024176219067096,-0.30048521302192926,False,False,0.08322330096565113,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,6706,0.11001347942291302,6754,0.005500723668211563,6036,-0.018734919135153225,0.8916782246319764,False
DISPLACEMENT_PCT_90,BULLISH,1.00-1.25,none,none,12,7238,0.047898227712364315,0.07602420008838373,0.5121580547112462,0.059014440838124224,-0.01111621312575991,2.0841263702971964,2.1324531703768344,1.5484177232840968,1.4732197638677085,-0.28653334911574935,False,True,0.18521239807398082,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2428,0.12080368509831872,2549,0.011192843959162297,2261,0.010988706550849376,1.0,False
DISPLACEMENT_ALONE,BULLISH,0.50-0.75,none,none,12,32554,0.007799461605850862,0.09107272542466188,0.5160963322479573,0.05901444083812423,-0.05121497923227337,1.8280520846358064,1.9348866010444203,1.3599146218391651,1.3669962224397934,-0.32663211522226276,False,False,0.6033323634926171,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,11524,0.012747349773387304,11242,-0.013286100371632525,9788,0.026191822099126134,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BULLISH,0.50-0.75,none,none,12,4671,0.03445829310019246,0.05078502915474913,0.5069578248769,0.059014440838124224,-0.024556147737931765,1.6442461696880315,1.6777380373041715,1.193030482431299,1.2057060884646185,-0.2999732837279212,False,False,0.31091740959026803,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1487,-0.023951345164511313,1563,0.05191953227646344,1621,0.07120302799661625,1.0,False
DISPLACEMENT_ALONE,BEARISH,0.50-0.75,none,none,12,30560,-0.020670522849009373,-0.12684578426852994,0.47172774869109946,-0.06741948964547309,0.04674896679646372,1.9819655245608092,1.8815567110957832,1.373842131305032,1.4240805293606233,0.2557291774130182,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,10795,-0.03700456602131991,10759,-0.00036044760714773363,9006,-0.025355189014021277,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,1.00-1.25,none,none,12,1954,-0.15918360420580985,-0.34547299165689094,0.4437052200614125,-0.06741948964547309,-0.09176411456033676,2.3566353635754136,2.2976594349997623,1.6192564814248869,1.7584306308909574,0.08303023192995881,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,673,-0.24463710800352645,699,-0.18792102436772026,582,-0.02585428333117288,1.0,False
DISPLACEMENT_ALONE,BEARISH,>=1.50,none,none,12,5775,0.051545242401960054,-0.21996664199861174,0.4666666666666667,-0.06741948964547309,0.11896473204743314,2.856055539375765,2.520033298764995,1.9752988358367205,1.9590425198743597,0.32794494266398766,True,False,0.30278324972523635,ERA_DEPENDENT,INTERESTING,1967,-0.005628656629628458,2069,0.03425447597239712,1739,0.13678713724836622,1.0,False
DISPLACEMENT_STRUCTURE_BREAK,BEARISH,>=1.50,none,none,12,3433,0.017487769572628126,-0.23721709634617794,0.4616953102242936,-0.06741948964547309,0.08490725921810122,2.8566135022563888,2.541179105422422,1.9445392973904383,1.9908785792517336,0.29388746983465575,True,False,0.7865872978679632,NO_DIRECTIONAL_INFORMATION,SMALL,1210,-0.036747874510999305,1231,-0.046423227473442595,992,0.16295104246063447,1.0,False
DISPLACEMENT_PCT_90,BEARISH,>=1.50,none,none,12,5775,0.051545242401960054,-0.21996664199861174,0.4666666666666667,-0.06741948964547309,0.11896473204743314,2.856055539375765,2.520033298764995,1.9752988358367205,1.9590425198743597,0.32794494266398766,True,False,0.30278324972523635,ERA_DEPENDENT,INTERESTING,1967,-0.005628656629628458,2069,0.03425447597239712,1739,0.13678713724836622,1.0,False
DISPLACEMENT_PCT_95,BEARISH,>=1.50,none,none,12,5775,0.051545242401960054,-0.21996664199861174,0.4666666666666667,-0.06741948964547309,0.11896473204743314,2.856055539375765,2.520033298764995,1.9752988358367205,1.9590425198743597,0.32794494266398766,True,False,0.30278324972523635,ERA_DEPENDENT,INTERESTING,1967,-0.005628656629628458,2069,0.03425447597239712,1739,0.13678713724836622,1.0,False
DISPLACEMENT_ALONE,BULLISH,0.75-1.00,none,none,12,17751,0.014520921577806902,0.0719417620058837,0.5118584868458115,0.05901444083812423,-0.04449351926031733,1.9353106639689428,2.03526955716256,1.4491629931651198,1.434221681628721,-0.31991065525030676,False,False,0.4994916824350592,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,6224,0.06134662334276119,6227,-0.023246080559447012,5300,0.003904309223770036,1.0,False
DISPLACEMENT_ALONE,BEARISH,0.75-1.00,none,none,12,16501,-0.0714232171736722,-0.17130950123297606,0.463668868553421,-0.06741948964547309,-0.004003727528199108,2.0903289594535703,2.0297864137977837,1.4649417110179292,1.5512906047408275,0.2049764830883554,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5799,-0.10317396201844513,5738,-0.0042599223238128665,4964,-0.11196721727311915,1.0,False
DISPLACEMENT_FOLLOWTHROUGH,BEARISH,>=1.50,none,none,12,1890,0.08430228870381883,-0.1084632396762547,0.4857142857142857,-0.06741948964547309,0.1517217783492919,3.107703923007574,2.6398702551528106,2.2645784508118343,2.025070055403766,0.3265161248395875,True,False,0.3534963139400073,ERA_DEPENDENT,INTERESTING,620,0.33642269259922136,692,-0.1011208648723522,578,0.03585621925669219,1.0,False
