event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect
DISPLACEMENT_ALONE,ALL,0.50-0.75,path_efficiency_12,Q1,1,16254,-0.013171389116566002,-0.016593866435691412,0.4742217300356835,-6.38495489992782e-05,-0.013107539567566724,0.4783260933484601,0.49463131321883674,0.3603143940026851,0.37920574957720643,-0.11713755894728134,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5694,-0.006251597769679737,5618,-0.016721922822875015,4942,-0.017107931724240286
DISPLACEMENT_ALONE,ALL,0.50-0.75,path_efficiency_12,Q2,1,16272,-0.012477451178194049,-0.02153568031217269,0.469149459193707,8.045305381450875e-06,-0.0124854964835755,0.4885314120771634,0.4969694143023315,0.3605769523852045,0.3832991921357658,0.2104846233396544,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5760,-0.020523973433914936,5733,-0.008737631289137997,4779,-0.0072655698705995815
DISPLACEMENT_ALONE,ALL,0.50-0.75,path_efficiency_12,Q3,1,15794,-0.010863278503077774,-0.011726092247174018,0.4722046346713942,-8.039579119684383e-05,-0.01078288271188093,0.49660829238894133,0.5038098713373962,0.36777266872699677,0.3861009817728658,-0.06047067271791816,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5701,-0.011337034606587647,5517,0.0014132396856802465,4576,-0.025074088665068214
DISPLACEMENT_ALONE,ALL,0.50-0.75,path_efficiency_12,Q4,1,14794,-0.01213296235112449,-0.030871165863741334,0.4688387183993511,0.0001523272964881883,-0.012285289647612678,0.5197004257211775,0.5164171826851851,0.38191624146245995,0.40274283929062227,-0.11085706770133279,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5164,-0.026782339131463447,5133,-0.005623453002509933,4497,-0.002740907601906822
DISPLACEMENT_ALONE,ALL,0.75-1.00,path_efficiency_12,Q1,1,8827,0.00042214146031332176,-0.012441420994915442,0.4777387560892716,-0.00013652222352888088,0.0005586636838422026,0.533723828455526,0.5296598569357021,0.39627214342892925,0.4084586643127581,-0.13591341100878349,False,False,0.9576033850330471,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3137,-0.009004500435691846,3048,0.016163003867031,2642,-0.006544843016563019
DISPLACEMENT_ALONE,ALL,0.75-1.00,path_efficiency_12,Q2,1,8740,-0.0051406733016161315,-0.0171300413700763,0.4782608695652174,-8.697500817269033e-05,-0.005053698293443441,0.5305786242893423,0.5277092010750423,0.4002757338317207,0.4103107607969845,0.02578975959123104,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3039,-0.007075910548119904,3071,-0.004828437280343204,2630,-0.003269072856446622
DISPLACEMENT_ALONE,ALL,0.75-1.00,path_efficiency_12,Q3,1,8709,-0.015167446005060672,-0.029940405178260594,0.4707773567573774,0.00010748820488991842,-0.01527493420995059,0.532819880012625,0.5424740640829016,0.3944729642081235,0.4184043048346073,-0.043743766903282105,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3042,-0.03174029428830406,3081,0.004195733413794454,2586,-0.018741827796192247
DISPLACEMENT_ALONE,ALL,0.75-1.00,path_efficiency_12,Q4,1,7976,-0.02670634058606397,-0.035785782117628645,0.46664994984954866,0.0002516967635032103,-0.02695803734956718,0.5628275808146264,0.569303897062544,0.4206121028410954,0.4458339931579296,-0.1034091908515388,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2805,-0.03184798901352257,2765,-0.018517978936625507,2406,-0.030122174385596806
DISPLACEMENT_ALONE,ALL,1.00-1.25,path_efficiency_12,Q1,1,4505,-0.004169331348643029,-0.023856640819493236,0.47413984461709213,-7.970577522431631e-05,-0.004089625573418712,0.5752401699485186,0.5782890404086031,0.42161985736702623,0.44447737344884286,-0.2247772938718657,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1569,-0.02943133974677628,1593,0.0009113803507482964,1343,0.019317278807381297
DISPLACEMENT_ALONE,ALL,1.00-1.25,path_efficiency_12,Q2,1,4349,0.0023612824463497026,0.0,0.4828696252011957,-0.00021999569673579984,0.0025812781430855024,0.5859676746537302,0.5700769708689084,0.42890649644978196,0.4379845503597481,0.00012713124167294115,True,False,0.8459606196002007,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1464,-0.003156416272073506,1561,0.03997572777296055,1324,-0.03588512105143579
