event_definition,direction,strength_bucket,secondary_feature,secondary_bucket,horizon,N,mean_directional_ATR,median_directional_ATR,positive_rate,ordinary_bar_baseline_ATR,incremental_edge_ATR,mean_MFE_ATR,mean_MAE_ATR,median_MFE_ATR,median_MAE_ATR,session_control_effect,session_robust,same_sign_all_eras,raw_p,replication_classification,economic_effect_classification,era1_N,era1_effect,era2_N,era2_effect,era3_N,era3_effect
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q1,1,23310,-0.024848689596122898,-0.031240222141636503,0.4603174603174603,-4.86839876787283e-05,-0.02480000560844417,0.41836969013179814,0.4458805653640634,0.31792370362254496,0.3524131499530649,-0.2356948562280705,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,8404,-0.025369606020839135,7903,-0.02810522716231859,7003,-0.020548504244279436
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q2,1,17953,-0.010040151608387742,-0.01366017132817602,0.4753523088063276,6.7505177922449045e-06,-0.010046902126179987,0.47748269130763543,0.4806035379786207,0.36639007547001584,0.38041104351855215,-0.10781599029253418,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5996,-0.01228270860320777,6422,-0.003459903821935538,5535,-0.015245567966771685
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q3,1,13565,-0.008917670834120518,-0.011974691178428724,0.47335053446369335,7.133019903768521e-05,-0.008989001033158204,0.5225775686897102,0.5192206893305602,0.38904387370981464,0.4055756448231546,0.04677841832178393,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,4717,-0.0070170602073959115,4902,-0.008333892268995525,3946,-0.011914848444992963
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q4,1,8286,0.013547126623638828,0.0,0.48889693458846245,1.4832137911753713e-05,0.013532294485727073,0.7051370955130825,0.6828979768764699,0.5116562249000582,0.49434331954347216,0.0439120523999421,True,False,0.25239229577243744,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3202,-0.011492303393094143,2774,0.04328871989739164,2310,0.012539799858352548
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q1,1,7622,-0.01740901871783939,-0.021132161944074794,0.4699553922854894,4.455557753523716e-05,-0.017453574295374627,0.4469729312369954,0.4650045866883399,0.346941280132584,0.37631756063513433,-0.26511243729169653,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2853,-0.021222072034437735,2535,-0.010271839341570953,2234,-0.02063825265095729
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q2,1,9667,-0.014048033966076004,-0.02584789985096337,0.4706734250543085,5.293120418943817e-05,-0.014100965170265442,0.4919744934725547,0.4973642541652288,0.37924143877599525,0.4033727108076911,-0.11896247046285321,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3253,-0.01839987911501925,3467,-0.005993760716284969,2947,-0.018719772373783205
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q3,1,9864,-0.013235785928418993,-0.03428941924876919,0.4700932684509327,2.0656573985312947e-05,-0.013256442502404306,0.5396644721221961,0.5386649238380006,0.4039870940523721,0.4246147060907774,-0.1513635600156629,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3335,-0.008425059899839325,3511,-0.00857675241386695,3018,-0.023971915144756113
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q4,1,7099,0.0017953762018445688,0.0,0.4859839414001972,-1.079589873148934e-05,0.001806172100576058,0.7031811616244942,0.6884046299682098,0.5089002968097235,0.5055330922467368,-0.2131298200191144,False,False,0.876075281968519,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2582,-0.03374881541017847,2452,0.029809953770895972,2065,0.012973758062827353
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q1,1,2080,-0.011720763107093373,-0.010028277038220994,0.4793269230769231,-9.996572172815384e-05,-0.01162079738536522,0.4742569375052027,0.4886088195766285,0.3756977725486549,0.38681232289505396,-0.178886354573263,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,813,0.008399044775119003,671,-0.020009022361321443,596,-0.02983482661154242
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q2,1,4110,-0.01333874975678262,-0.018485768068352455,0.4802919708029197,-4.2026287240488895e-05,-0.01329672346954213,0.5085561328802276,0.5244980818552359,0.39280829092979774,0.4281509264728116,-0.039773744757511095,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1403,-0.014199644716804386,1486,-0.0004830757558107423,1221,-0.02799533938539332
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q3,1,5719,0.004714409746249194,0.0,0.4771813254065396,-0.00017020714604155338,0.004884616892290747,0.5646896114219733,0.5443659138041043,0.43457406770409013,0.4411343944147332,0.12135608219730887,True,False,0.6348765848711626,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1906,-0.003543086017823957,2079,0.010342416322730532,1734,0.00704322246471444
DISPLACEMENT_ALONE,ALL,1.00-1.25,volume_ratio24,Q4,1,5725,0.0012193295423285648,-0.022836550761528157,0.4754585152838428,-3.179986890533877e-05,0.0012511294112339036,0.7251564427537587,0.6998904200084658,0.5338945945475614,0.5157366788944192,0.10692583002099863,True,False,0.9278106073359368,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2017,-0.022506328785261966,2047,0.0049168468444372344,1661,0.025473293979013493
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q1,1,468,0.0330470068477182,-0.005888846788739196,0.48504273504273504,-0.00015123824817652907,0.033198245095894724,0.5334933465091288,0.46709166978065825,0.4084139240924011,0.3985180659403512,-0.09272560430842311,False,False,0.31749942384896473,INSUFFICIENT_SAMPLE,NEGLIGIBLE,180,0.0786349829661021,145,0.047434241435663535,143,-0.038924914247115174
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q2,1,1383,-0.023772867145964785,-0.052352098700725984,0.4374548083875633,-0.0003566594281457549,-0.02341620771781903,0.5316585473134537,0.533652355415955,0.4046944019049743,0.44953507761458017,-0.0258185497586168,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,495,-0.04263912536433013,454,-0.044118039691851005,434,0.019027838277821386
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q3,1,2777,0.01743444591322782,-0.01204561173059842,0.4796543032048974,-0.0003740256218104823,0.0178084715350383,0.586980210935291,0.5505142616353118,0.4487985701092244,0.44706890239243674,-0.14091593169326866,False,False,0.22412248630091075,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,949,-0.005868399618375812,985,0.03399287924029326,843,0.024319788241024258
DISPLACEMENT_ALONE,ALL,1.25-1.50,volume_ratio24,Q4,1,4230,0.01921594306264733,-0.04362688158842158,0.4711583924349882,6.968320320288392e-06,0.019208974742327044,0.7652081156968951,0.7134985631929215,0.5506780134137477,0.5482889914473417,0.0034820718752474333,True,False,0.23145866061415943,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,1512,0.021603679123962424,1492,-0.0022684847736022746,1226,0.042417011094438524
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q1,1,216,0.06734337681965412,0.027677171800793588,0.5138888888888888,-0.0002267559227904151,0.06757013274244453,0.54965032312968,0.4685499675412243,0.4172845075576975,0.4117823277656819,0.548858261839235,True,True,0.1632686823129841,INSUFFICIENT_SAMPLE,SMALL,88,0.01017970107601533,57,0.0880948395598161,71,0.12153450483727359
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q2,1,583,0.020596243344305116,-0.028758205805722113,0.4751286449399657,-0.0004335245021318027,0.02102976784643692,0.5740629355597013,0.573385170033487,0.42566422800379033,0.4808297681268097,-0.20204904927410763,False,False,0.5143895035281354,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,190,0.08869738203489289,203,-0.04272186537251851,190,0.02014550501958679
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q3,1,1771,-0.027492391029033107,-0.049009285871104036,0.45736871823828346,-0.0007391086373028193,-0.026753282391730287,0.6268070988022106,0.6243622051609777,0.455291136450829,0.5101076503046196,-0.26680301641290954,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,598,-0.02843913416935077,610,-0.07534272229928034,563,0.025358149775160085
DISPLACEMENT_ALONE,ALL,>=1.50,volume_ratio24,Q4,1,8356,0.021403703266282895,-0.04378056436814176,0.4755864049784586,-0.0004529017817239739,0.021856605048006867,0.9405870048593998,0.8592035227500782,0.6786793599287873,0.6505040352117708,-0.1239461238252914,False,True,0.14468947074639676,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2947,0.014681411366715916,2991,0.03047584146149012,2418,0.01837468295452074
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q1,3,23310,-0.02897450658266454,-0.03366249559486531,0.4765765765765766,-0.0005292240981319501,-0.02844528248453259,0.7513643337894327,0.7873128708675715,0.5717152614020546,0.6052457224773816,-0.23982067321461212,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,8404,-0.03503558176331608,7903,-0.01613483700841826,7003,-0.03619064721197666
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q2,3,17953,-0.008549689116918268,-0.009624746042964087,0.48638110622180136,-0.0003687510887328811,-0.008180938028185387,0.8680227488336829,0.8686432753117334,0.6584124463163866,0.6639920103963295,-0.1063255278010647,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,5996,-0.013862446115875284,6422,0.014051378768292704,5535,-0.02901739769742026
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q3,3,13565,-0.019303325825206937,-0.023193880124672748,0.48204939181717654,-0.00018180442604613832,-0.019121521399160797,0.9450936973786398,0.9596983465775664,0.7006783742032224,0.7135573778807658,0.036392763330697506,False,False,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,4717,0.004923317622801342,4902,-0.031223427608232678,3946,-0.033455565613312074
DISPLACEMENT_ALONE,ALL,0.50-0.75,volume_ratio24,Q4,3,8286,0.003198235157903029,0.0,0.4908279024861212,-0.00034535623943497,0.003543591397337999,1.1972094848012012,1.1850117593510172,0.8674529224839034,0.856074717537523,0.033563160934206304,True,False,0.8680748701371814,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3202,0.0023564824833759803,2774,-0.007627138215988635,2310,0.017364848925440296
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q1,3,7622,-0.034629237535827376,-0.010696579009706067,0.4863552873261611,-0.00025931218139661516,-0.03436992535443076,0.7799906357470698,0.8136395067306339,0.6151546198247198,0.6296049323093458,-0.28233265610968455,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,2853,-0.040808137071408214,2535,-0.041916955162981016,2234,-0.018468644626316814
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q2,3,9667,-0.01872115301007579,-0.02158803672886457,0.48360401365470157,-0.0002350662356019607,-0.01848608677447383,0.868557765678764,0.8842784674784375,0.6752715887353224,0.6862261251602048,-0.12363558950685301,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3253,-0.029449309345875956,3467,-0.016866285282560744,2947,-0.009061205216026495
DISPLACEMENT_ALONE,ALL,0.75-1.00,volume_ratio24,Q3,3,9864,-0.03589490811069152,-0.03906361749396318,0.47546634225466344,-0.0003284955354955084,-0.035566412575196014,0.9648759884598943,0.9843496002343775,0.7202841634315007,0.7477965689519759,-0.17402268219793543,False,True,1.0,NO_DIRECTIONAL_INFORMATION,NEGLIGIBLE,3335,-0.04393041617571844,3511,-0.006187094873846048,3018,-0.06157605883226199
