feature,importance
num__upper_wick_ratio,0.08241728011432975
num__day_of_week,0.0633295771709203
num__trend_aligned,0.06213778591274155
num__body_range_ratio,0.05725097370276168
num__session_bucket,0.05615314952571893
num__direction_code,0.05030547295042918
num__close_location,0.048448688992252346
num__htf_regime,0.04617029282098662
num__score,0.04595928669147719
num__body_atr_pct,0.04587381157757133
num__minutes_from_rth_open,0.040695994934856164
num__range_atr,0.03751578253123174
num__volatility_regime_code,0.03595164176466302
num__lower_wick_ratio,0.03481501156557864
num__atr_ratio_6_72,0.032319082810919095
num__dist_pdh_atr,0.026928333260392665
num__distance_from_crt_atr,0.02576618716045765
num__momentum_3_atr,0.025404228542359002
num__retest_present,0.02474341632284526
num__dist_onl_atr,0.022177673518422293
num__model_code,0.021560654554473882
num__dist_pdl_atr,0.020684284040626087
num__confirmation_present,0.01607165400272729
num__normalized_atr,0.015010961409327577
num__dist_onh_atr,0.01397235092029116
num__body_to_atr,0.012541189315092904
num__bos_present,0.01110749592796649
num__time_since_bos_bars,0.01063213304909916
num__time_since_setup_bars,0.0075580959102046945
num__time_since_retest_bars,0.004474362016380641
num__accel_3,0.0020231469828957418
num__stop_distance_atr,0.0
