signal_id,direction,entry_timestamp,mfe_1,mae_1,mfe_2,mae_2,mfe_3,mae_3,mfe_6,mae_6,mfe_12,mae_12,mfe_18,mae_18,mfe_24,mae_24,mfe_36,mae_36,mfe_r,mae_r,bars_to_mfe,bars_to_mae,p_0.25R_before_0.25R,p_0.25R_before_0.5R,p_0.25R_before_0.75R,p_0.25R_before_1.0R,p_0.5R_before_0.25R,p_0.5R_before_0.5R,p_0.5R_before_0.75R,p_0.5R_before_1.0R,p_0.75R_before_0.25R,p_0.75R_before_0.5R,p_0.75R_before_0.75R,p_0.75R_before_1.0R,p_1.0R_before_0.25R,p_1.0R_before_0.5R,p_1.0R_before_0.75R,p_1.0R_before_1.0R,p_1.25R_before_0.25R,p_1.25R_before_0.5R,p_1.25R_before_0.75R,p_1.25R_before_1.0R,p_1.5R_before_0.25R,p_1.5R_before_0.5R,p_1.5R_before_0.75R,p_1.5R_before_1.0R,p_2.0R_before_0.25R,p_2.0R_before_0.5R,p_2.0R_before_0.75R,p_2.0R_before_1.0R,p_2.5R_before_0.25R,p_2.5R_before_0.5R,p_2.5R_before_0.75R,p_2.5R_before_1.0R,p_3.0R_before_0.25R,p_3.0R_before_0.5R,p_3.0R_before_0.75R,p_3.0R_before_1.0R
0,Long,2021-01-04 06:55:00-06:00,0.1764364908056967,0.6704586650616474,0.1764364908056967,1.1644808393175983,0.1764364908056967,1.1644808393175983,0.1764364908056967,1.5879284172512702,0.1764364908056967,2.0466632933460818,0.1764364908056967,3.493442517952795,0.1764364908056967,13.30331140674953,0.1764364908056967,27.030070391432734,0.1764364908056967,27.030070391432734,1.0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Short,2021-01-04 13:45:00-06:00,0.3414562204178974,0.14417040417644558,0.3414562204178974,1.5782865299316147,0.3414562204178974,1.6465777740151941,0.3414562204178974,1.669341522043054,0.3414562204178974,2.4584847870088615,0.3414562204178974,2.7620014273803255,0.3414562204178974,2.7620014273803255,0.3414562204178974,2.7620014273803255,0.3414562204178974,2.7620014273803255,1.0,18.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Short,2021-01-04 21:40:00-06:00,2.178607384818709,0.050082928386636985,2.178607384818709,0.050082928386636985,2.804643989651671,0.050082928386636985,3.831344021577729,0.050082928386636985,4.407297698024054,0.050082928386636985,4.407297698024054,0.050082928386636985,4.407297698024054,0.050082928386636985,4.407297698024054,0.5509122122530068,4.407297698024054,0.5509122122530068,12.0,36.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,Long,2021-01-05 08:30:00-06:00,1.4081814315114107,0.14645086887718672,2.636115639789361,0.14645086887718672,2.681177445597726,0.14645086887718672,3.6049444646692117,0.14645086887718672,4.03303161984868,0.14645086887718672,4.03303161984868,0.14645086887718672,4.03303161984868,0.29290173775437345,4.03303161984868,0.29290173775437345,4.03303161984868,0.29290173775437345,12.0,24.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,Long,2021-01-06 06:00:00-06:00,0.3601371949193206,0.1455873766695126,0.3601371949193206,0.3448122079014772,0.3601371949193206,0.3448122079014772,0.3601371949193206,0.513387065097755,0.3601371949193206,1.0727490912490403,0.7509243638743281,1.0727490912490403,0.7509243638743281,1.938610857757194,1.4711987537129694,2.107185714953472,1.4711987537129694,2.107185714953472,36.0,36.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Long,2021-01-07 10:35:00-06:00,0.23623136791077698,0.2657602888996241,0.2756032625625731,0.2657602888996241,0.2756032625625731,0.5807354461139934,0.2756032625625731,1.3878592864758148,0.2756032625625731,1.7717352593308273,0.2756032625625731,1.7717352593308273,0.2756032625625731,1.7717352593308273,0.3346611045402674,1.7717352593308273,0.3346611045402674,1.7717352593308273,36.0,12.0,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Short,2021-01-07 11:10:00-06:00,0.07499767904191765,0.47141398254919664,0.07499767904191765,0.47141398254919664,0.13928140393498992,0.47141398254919664,0.13928140393498992,1.0071116899914656,0.17142326638152605,1.1999628646706824,0.17142326638152605,1.9177977926433227,0.17142326638152605,2.099935013173694,0.17142326638152605,2.7320583079555716,0.17142326638152605,2.7320583079555716,12.0,36.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Long,2021-01-07 12:30:00-06:00,0.2278636152967202,0.15190907686448013,0.41774996137732034,0.15190907686448013,0.41774996137732034,0.4557272305934404,0.430409051116027,0.4557272305934404,0.6329544869353338,0.4557272305934404,1.1899544354384277,0.4557272305934404,1.9368407300221215,0.4557272305934404,2.4938406785252156,0.4557272305934404,2.4938406785252156,0.4557272305934404,36.0,3.0,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False
8,Long,2021-01-07 14:00:00-06:00,0.3578517023986904,0.10437341319961804,0.3578517023986904,0.894629255996726,0.3578517023986904,0.894629255996726,1.0139131567962896,0.894629255996726,1.6699746111938887,0.894629255996726,1.6699746111938887,0.894629255996726,1.6699746111938887,0.894629255996726,1.6699746111938887,0.894629255996726,1.6699746111938887,0.894629255996726,12.0,2.0,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9,Long,2021-01-07 23:10:00-06:00,0.18454526697240198,0.500908581782234,0.18454526697240198,0.500908581782234,0.18454526697240198,0.500908581782234,0.316363314809832,0.685453848754636,0.553635800917206,0.711817458322122,0.6590902391871499,0.711817458322122,1.7663618410215618,0.711817458322122,2.5572701280461416,0.711817458322122,2.5572701280461416,0.711817458322122,36.0,12.0,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False
