entry_model,stop_atr,target_r,hold_minutes,management,score,N,win_rate,AvgR,TotalR,PF,MaxDD,return_over_dd
RETRACE_50,1.0,3.0,45,FIXED,0.208162835570115,2749,0.3663150236449618,0.058701634550957886,161.37079338058322,1.0984847105337643,38.86840871803645,4.151721120131706
RETRACE_50,1.0,3.0,45,PARTIAL_1R,0.1856546160411946,2749,0.45398326664241545,0.046884571062019015,128.88568584949027,1.1006928747991456,31.027605995370656,4.153903651758377
RETRACE_50,1.0,2.5,45,FIXED,0.1831696574834272,2749,0.37431793379410694,0.0536911791162571,147.59705139059076,1.091168460315922,48.868229561820556,3.020306909295204
NEXT_CLOSE,1.25,1.5,45,FIXED,0.17258752665513008,4150,0.4549397590361446,0.04251416588018623,176.43378840277285,1.0880407777678391,40.523341030264675,4.353880601083807
RETRACE_50,1.0,2.5,45,PARTIAL_1R,0.17016696071583762,2749,0.458348490360131,0.04437934334466863,121.99881485449406,1.0953124569949002,36.14560627132661,3.3752045529050263
NEXT_CLOSE,1.25,1.5,45,PARTIAL_1R,0.16930458485512745,4150,0.49927710843373496,0.039943118885451934,165.7639433746255,1.0923511081665709,38.33331102619326,4.324279300093815
NEXT_CLOSE,1.25,1.5,60,PARTIAL_1R,0.15256566370438354,4150,0.49349397590361443,0.03783828152971186,157.02886834830423,1.0837632236596746,44.855793335416536,3.5007488815122536
NEXT_CLOSE,1.25,3.0,60,PARTIAL_1R,0.15052545141507062,4150,0.4727710843373494,0.03637961025187271,150.97538254527174,1.0805341391571015,40.26100242762456,3.7499161332774453
RETRACE_50,1.0,2.5,60,FIXED,0.14751068601741024,2749,0.34885412877409966,0.04432065568336522,121.83748247357099,1.070836099005316,51.9533466465321,2.3451325148021755
RETRACE_50,1.0,2.5,60,PARTIAL_1R,0.1464429215714199,2749,0.44052382684612584,0.03886765560047844,106.84718524571522,1.0819949414852155,38.558876527027095,2.7710139627855277
NEXT_CLOSE,1.25,1.5,60,FIXED,0.14202472055968476,4150,0.44144578313253013,0.03681464201984546,152.78076438235865,1.0710113456085018,46.45237518359818,3.288976371574297
NEXT_CLOSE,1.25,3.0,45,PARTIAL_1R,0.1419604325706863,4150,0.48626506024096383,0.034086934705348064,141.46077902719446,1.0788112266112246,41.14510495677354,3.438094985437785
NEXT_CLOSE,1.25,2.5,45,PARTIAL_1R,0.14114178163953328,4150,0.4872289156626506,0.03409073568342769,141.47655308622492,1.0788200147216067,42.168487556680674,3.3550302911874548
RETRACE_50,1.0,3.0,60,PARTIAL_1R,0.13860746557608924,2749,0.4336122226264096,0.036785346195999706,101.12291669280319,1.0776021157503841,38.54399070205935,2.6235715308897776
RETRACE_50,1.0,3.0,60,FIXED,0.13369711316099425,2749,0.33503092033466714,0.04015603687440774,110.38894536774689,1.0629854223912516,50.42357499659667,2.1892328216552985
NEXT_CLOSE,1.25,2.5,60,PARTIAL_1R,0.13213517145273962,4150,0.4742168674698795,0.03269446381155376,135.6820248179481,1.0723762701149595,44.40131613825372,3.0558108772152357
