feature,success_mean,fail_mean,delta
delta_600s,-7.803030303030303,-24.214285714285715,16.41125541125541
delta_300s,-7.681818181818182,-18.816326530612244,11.134508348794062
delta_120s,-9.621212121212121,-16.877551020408163,7.256338899196042
delta_60s,-8.681818181818182,-11.153061224489797,2.471243042671615
delta_30s,-7.0606060606060606,-7.510204081632653,0.44959802102659285
delta_norm_30s,-0.10518017139985378,-0.1494183311498907,0.04423815975003692
delta_norm_60s,-0.11443195342435136,-0.11198719470933695,-0.002444758715014414
delta_norm_600s,-0.0183700233245073,-0.02053890173884369,0.0021688784143363907
delta_norm_300s,-0.03650342731586879,-0.03605979941285323,-0.00044362790301556015
delta_norm_120s,-0.07652801723615489,-0.07694284662175123,0.0004148293855963381
trade_count,0.0,0.0,0.0
buy_vol,0.0,0.0,0.0
sell_vol,0.0,0.0,0.0
delta,0.0,0.0,0.0
delta_norm,,,
