strategy,timeframe_minutes,N,net_AvgR,net_PF,MaxDD,Return_over_DD
CONTROL,5,9020,-0.05672074416104212,0.8989383089245205,524.5623344284553,-0.975329486609145
RETEST_GATED,5,2347,-0.08671436223127602,0.8439200322942889,207.85757225643064,-0.979125301750985
BOS_ONLY,5,6238,-0.036931890225027096,0.9328219883474335,248.75667427606305,-0.9261304521544159
SEQUENTIAL_BOS,5,113,-0.027274565939508867,0.9468593753148938,16.866257044717244,-0.18273324917278178
CRT_V2_B_LEGACY_EXP6,5,614,0.029294478394564356,1.0597552757027293,32.49720485884185,0.5534879018793106
CONTROL,15,3271,-0.03655100434695599,0.9105474367636353,128.7135002505687,-0.9288717577110936
RETEST_GATED,15,757,-0.046862211741601004,0.8771285428664799,48.98176389978496,-0.7242428909047046
BOS_ONLY,15,2070,-0.048487198406430565,0.8818269782271619,108.20606479816331,-0.9275681625473448
SEQUENTIAL_BOS,15,47,0.2608477621540482,1.8653543179776433,4.690314536970911,2.6138641075355027
CRT_V2_B_LEGACY_EXP6,15,210,0.09428553555357556,1.3060502778142697,5.640754371288528,3.510162145515995
CONTROL,30,1752,-0.047953511147366824,0.8565346090736036,96.92186112616857,-0.8668276749331121
RETEST_GATED,30,372,0.04807362707567481,1.2105510885736535,5.039695191992152,3.548506128022767
BOS_ONLY,30,1058,-0.0336935288598377,0.8953733860722457,64.37234548534133,-0.553774346187617
SEQUENTIAL_BOS,30,33,-0.009717426041693731,0.9631776829027304,2.849780797356202,-0.11252621944585693
CRT_V2_B_LEGACY_EXP6,30,99,-0.0693135359084952,0.6991703669258363,7.179309846127437,-0.9558077589648051
CONTROL,60,761,-0.027387198649630694,0.8857704842442002,23.22157698960557,-0.8975126100048283
RETEST_GATED,60,176,0.04522302988579421,1.2759498162616392,5.579170423238891,1.4266015654849227
BOS_ONLY,60,504,-0.03467745920959413,0.8574268679375566,18.350551256583426,-0.952420404011855
SEQUENTIAL_BOS,60,10,-0.0974641138674756,0.5250216955392499,1.4292576990240122,-0.6819212094084243
CRT_V2_B_LEGACY_EXP6,60,52,-0.07496888115000974,0.7277299994467105,5.683665588221194,-0.6858921868801531
