strategy,timeframe_minutes,cost_multiplier,net_AvgR,net_TotalR,net_PF
CONTROL,5,1.0,-0.05672074416104212,-511.6211123325999,0.8989383089245205
CONTROL,5,1.5,-0.08505270530680771,-767.1754018674055,0.8530304369529403
CONTROL,5,2.0,-0.11338466645257328,-1022.729691402211,0.8098905613833994
RETEST_GATED,5,1.0,-0.08671436223127602,-203.51860815680482,0.8439200322942889
RETEST_GATED,5,1.5,-0.11342868723171956,-266.2171289328458,0.8017419859744368
RETEST_GATED,5,2.0,-0.14014301223216308,-328.91564970888675,0.7620315132648159
BOS_ONLY,5,1.0,-0.036931890225027096,-230.38113122371902,0.9328219883474335
BOS_ONLY,5,1.5,-0.06409593396723788,-399.8304360876299,0.8867848921500203
BOS_ONLY,5,2.0,-0.09125997770944869,-569.2797409515409,0.8433887818292379
SEQUENTIAL_BOS,5,1.0,-0.027274565939508867,-3.082025951164502,0.9468593753148938
SEQUENTIAL_BOS,5,1.5,-0.058236654050799926,-6.580741907740392,0.8899767166063902
SEQUENTIAL_BOS,5,2.0,-0.08919874216209106,-10.07945786431629,0.8366265852150078
CRT_V2_B_LEGACY_EXP6,5,1.0,0.029294478394564356,17.986809734262515,1.0597552757027293
CRT_V2_B_LEGACY_EXP6,5,1.5,0.0041938991950360716,2.575054105752148,1.0083114235258852
CRT_V2_B_LEGACY_EXP6,5,2.0,-0.020906680004492202,-12.836701522758212,0.9597412876121071
CONTROL,15,1.0,-0.03655100434695599,-119.55833521889303,0.9105474367636353
CONTROL,15,1.5,-0.05127754282079046,-167.72884256680558,0.8770127396156492
CONTROL,15,2.0,-0.06600408129462493,-215.89934991471813,0.8448305971399365
RETEST_GATED,15,1.0,-0.046862211741601004,-35.47469428839196,0.8771285428664799
RETEST_GATED,15,1.5,-0.060889690792843405,-46.093495930182456,0.8435014483474823
RETEST_GATED,15,2.0,-0.07491716984408578,-56.71229757197293,0.811194373521348
BOS_ONLY,15,1.0,-0.048487198406430565,-100.36850070131126,0.8818269782271619
BOS_ONLY,15,1.5,-0.06298272494148074,-130.37424062886515,0.8495813464580095
BOS_ONLY,15,2.0,-0.07747825147653092,-160.379980556419,0.8186530694904117
SEQUENTIAL_BOS,15,1.0,0.2608477621540482,12.259844821240264,1.8653543179776433
SEQUENTIAL_BOS,15,1.5,0.24738846691574937,11.62725794504022,1.8020867858809044
SEQUENTIAL_BOS,15,2.0,0.23392917167745053,10.994671068840175,1.7416258944211689
CRT_V2_B_LEGACY_EXP6,15,1.0,0.09428553555357556,19.799962466250868,1.3060502778142697
CRT_V2_B_LEGACY_EXP6,15,1.5,0.0811836896764107,17.048574832046246,1.2583785628314699
CRT_V2_B_LEGACY_EXP6,15,2.0,0.06808184379924583,14.297187197841623,1.2122503348289169
CONTROL,30,1.0,-0.047953511147366824,-84.01455153018668,0.8565346090736036
CONTROL,30,1.5,-0.05782436074951436,-101.30828003314916,0.8297930089573503
CONTROL,30,2.0,-0.0676952103516619,-118.60200853611164,0.803945416285571
RETEST_GATED,30,1.0,0.04807362707567481,17.883389272151028,1.2105510885736535
RETEST_GATED,30,1.5,0.038720061905144015,14.403863028713573,1.1661143409442072
RETEST_GATED,30,2.0,0.029366496734613213,10.924336785276115,1.123426536293058
BOS_ONLY,30,1.0,-0.0336935288598377,-35.64775353370829,0.8953733860722457
BOS_ONLY,30,1.5,-0.04330402962719915,-45.815663345576695,0.867793402171645
BOS_ONLY,30,2.0,-0.05291453039456057,-55.983573157445086,0.8411610142147895
SEQUENTIAL_BOS,30,1.0,-0.009717426041693731,-0.32067505937589313,0.9631776829027304
SEQUENTIAL_BOS,30,1.5,-0.019601008425731946,-0.6468332780491542,0.92702394201494
SEQUENTIAL_BOS,30,2.0,-0.02948459080977019,-0.9729914967224162,0.8921123088522209
CRT_V2_B_LEGACY_EXP6,30,1.0,-0.0693135359084952,-6.862040054941025,0.6991703669258363
CRT_V2_B_LEGACY_EXP6,30,1.5,-0.0782839180616072,-7.750107888099113,0.6674973246348103
CRT_V2_B_LEGACY_EXP6,30,2.0,-0.08725430021471921,-8.638175721257202,0.6374022455504861
CONTROL,60,1.0,-0.027387198649630694,-20.84165817236896,0.8857704842442002
CONTROL,60,1.5,-0.034097676125563345,-25.948331531553706,0.8600497206188968
CONTROL,60,2.0,-0.040808153601496006,-31.05500489073846,0.8351700398929884
RETEST_GATED,60,1.0,0.04522302988579421,7.95925325989978,1.2759498162616392
RETEST_GATED,60,1.5,0.03892107156720756,6.85010859582853,1.2327163014984173
RETEST_GATED,60,2.0,0.03261911324862093,5.740963931757283,1.1911067127959858
BOS_ONLY,60,1.0,-0.03467745920959413,-17.47743944163544,0.8574268679375566
BOS_ONLY,60,1.5,-0.04127979529825542,-20.80501683032073,0.8330076386083788
BOS_ONLY,60,2.0,-0.0478821313869167,-24.132594219006016,0.809407108456356
SEQUENTIAL_BOS,60,1.0,-0.0974641138674756,-0.974641138674756,0.5250216955392499
SEQUENTIAL_BOS,60,1.5,-0.10527795402422671,-1.052779540242267,0.4966868539858666
SEQUENTIAL_BOS,60,2.0,-0.11309179418097778,-1.130917941809778,0.469408315420077
CRT_V2_B_LEGACY_EXP6,60,1.0,-0.07496888115000974,-3.8983818198005062,0.7277299994467105
CRT_V2_B_LEGACY_EXP6,60,1.5,-0.08189981009862983,-4.258790125128751,0.7062635965385423
CRT_V2_B_LEGACY_EXP6,60,2.0,-0.0888307390472499,-4.619198430456995,0.6853254178141369
