strategy,timeframe_minutes,era,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
CONTROL,5,ERA1,3036,0.3926218708827404,0.0026669672919822506,-0.08343446328753601,8.096912698458112,-253.30703054095932,1.0049966955637435,0.8576883932224525,270.08564132599304,-0.937876701987345,56.47891963109355,35.0,0.08610143057951827,3228.4396902191666
CONTROL,5,ERA2,3260,0.4058282208588957,0.0054411804819480885,-0.04063525621214232,17.738248371150767,-132.47093525158397,1.0104217001861024,0.9260475019373995,179.54827193459343,-0.7378012265127286,46.964723926380366,40.0,0.0460764366940904,846.8095636039958
CONTROL,5,ERA3,2724,0.4052863436123348,-0.009672428169088742,-0.046197924574176444,-26.347694332597733,-125.84314654005664,0.9815843287561014,0.9156105742364787,137.75037811308434,-0.9135593547100639,63.90785609397944,40.0,0.036525496405087704,
RETEST_GATED,5,ERA1,823,0.39489671931956255,-0.016574215126201056,-0.09814906761495754,-13.64057904886347,-80.77668264711005,0.968002285126605,0.8267639057230292,88.01790714255705,-0.9177300991295004,80.85662211421628,40.0,0.08157485248875646,
RETEST_GATED,5,ERA2,823,0.39003645200486026,-0.04834622693349415,-0.09099618453335065,-39.788944766265686,-74.88985987094759,0.9087085759596378,0.8361969492750249,88.91549960462444,-0.8422587760734194,77.01093560145809,40.0,0.042649957599856514,
RETEST_GATED,5,ERA3,701,0.40228245363766046,-0.03522402680398531,-0.06826257580420424,-24.6920427895937,-47.85206563874717,0.9325604510473304,0.8742266258911368,60.296734166108706,-0.793609576049703,82.12553495007133,45.0,0.03303854900021894,
BOS_ONLY,5,ERA1,2137,0.40617688348151615,0.031105801149600994,-0.05162095282698038,66.47309705669733,-110.31397619125707,1.0602452912316676,0.9086666985376138,127.66626853339373,-0.8640808371586594,60.914833879270006,40.0,0.08272675397658139,265.95281561376066
BOS_ONLY,5,ERA2,2240,0.4089285714285714,0.01618264937526387,-0.027900614117968615,36.24913460059107,-62.4973756242497,1.0313375715101465,0.9485706711921158,111.99212053013127,-0.5580515426300451,50.388392857142854,40.0,0.04408326349323249,272.41066942114156
BOS_ONLY,5,ERA3,1861,0.4110693175711983,0.003114049890819146,-0.03093486265889964,5.795246846814431,-57.56977940821223,1.0059813551261871,0.9427955420942458,79.20730186622546,-0.7268241443881372,64.47877485222999,40.0,0.034048912549718785,1093.3965011319158
SEQUENTIAL_BOS,5,ERA1,43,0.4883720930232558,0.04208208108114733,-0.04154251708427757,1.8095294864893352,-1.7863282346239355,1.0850112529383527,0.921948194749357,7.652697723275784,-0.23342464307596966,43.72093023255814,50.0,0.08362459816542489,198.7178295773222
SEQUENTIAL_BOS,5,ERA2,41,0.36585365853658536,-0.13203946897431165,-0.18411799977170823,-5.4136182279467775,-7.548837990640037,0.7510881604169751,0.6724412399515434,10.03636592396698,-0.7521485413971714,118.53658536585365,50.0,0.05207853079739656,
SEQUENTIAL_BOS,5,ERA3,29,0.5172413793103449,0.2592929208084389,0.21562552669308527,7.519494703444728,6.253140274099473,1.657589677531553,1.5182724803304843,2.869175811909579,2.179420392484662,47.758620689655174,55.0,0.043667394115353704,16.840951144830683
CRT_V2_B_LEGACY_EXP6,5,ERA1,203,0.3891625615763547,0.008728738832334576,-0.06635313467784922,1.771933982963919,-13.46968633960339,1.0172275167977132,0.8793580650113282,27.867764053066594,-0.48334291599261525,113.89162561576354,40.0,0.07508187351018379,860.1686332056576
CRT_V2_B_LEGACY_EXP6,5,ERA2,219,0.45662100456621,0.10187501404487642,0.0608662229470154,22.310628075827935,13.329702825396373,1.2299497991826271,1.1309449966784597,12.184820630560173,1.0939597085216646,60.06849315068493,50.0,0.041008791097861035,40.254022521946816
CRT_V2_B_LEGACY_EXP6,5,ERA3,192,0.4791666666666667,0.12879041110672587,0.09441038150244546,24.727758932491366,18.12679324846953,1.2938404561122874,1.2070176629783846,9.294942909700866,1.9501780080382325,42.34375,45.0,0.03438002960428039,26.69455692302309
CONTROL,15,ERA1,1124,0.44928825622775803,0.02325188805314929,-0.021060382831360948,26.135122171739802,-23.671870302449705,1.0605533043015258,0.9483945306868863,42.50207885484107,-0.5569579404173881,85.87633451957295,60.0,0.04431227088451025,190.5749364663249
CONTROL,15,ERA2,1177,0.44265080713678845,-0.016150192719901656,-0.040056891023780905,-19.008776831324248,-47.146960734990124,0.9592824821107248,0.9023399354698111,61.20180634464665,-0.7703524381207106,65.81138487680543,60.0,0.02390669830387926,
CONTROL,15,ERA3,970,0.4402061855670103,-0.03128212975616852,-0.05024691152727132,-30.343665863483466,-48.739504181453185,0.9211647528947307,0.8766341933203164,55.30578412249897,-0.8812731788324007,63.98969072164948,60.0,0.01896478177110279,
RETEST_GATED,15,ERA1,270,0.48148148148148145,0.07746548564618473,0.03575547138903845,20.915681124469877,9.653977275040381,1.238799911566082,1.1032480724482596,8.820367971352429,1.0945095835452014,147.55555555555554,60.0,0.0417100142571463,53.843352183516025
RETEST_GATED,15,ERA2,275,0.4218181818181818,-0.06066396566125753,-0.08325300393613022,-16.68259055684582,-22.89457608243581,0.8439576799618327,0.7926193916261612,28.0123683453726,-0.8173024072853089,141.0,60.0,0.02258903827487271,
RETEST_GATED,15,ERA3,212,0.44339622641509435,-0.08712349798318426,-0.10487780887262516,-18.470181572435063,-22.234095480996533,0.7765979785764424,0.737843531199165,32.56422586065774,-0.6827767248678407,68.41981132075472,60.0,0.01775431088944089,
BOS_ONLY,15,ERA1,715,0.45594405594405596,0.030948997035772603,-0.012907826449587325,22.12853288057741,-9.229095911454937,1.0834162785397317,0.9673715774205242,35.96785038299898,-0.256592924324921,102.35664335664336,60.0,0.04385682348535993,141.7067681859536
BOS_ONLY,15,ERA2,761,0.4375821287779238,-0.024345338509368028,-0.047983031108779294,-18.52680260562907,-36.51508667378104,0.9393618547369474,0.8843934082572595,52.320895165852804,-0.6979063824888949,69.08672798948751,60.0,0.02363769259941127,
BOS_ONLY,15,ERA3,594,0.4175084175084175,-0.07400463151709061,-0.09196013150854424,-43.95875112115182,-54.62431811607527,0.8202704058954982,0.782046923260111,60.14717485677489,-0.9081776200818926,71.28787878787878,60.0,0.01795549999145361,
SEQUENTIAL_BOS,15,ERA1,14,0.5,-0.0843477651102678,-0.13126673633821334,-1.1808687115437493,-1.8377343087349869,0.7675804352605723,0.6655986313578072,4.690314536970911,-0.39181472676282997,76.07142857142857,60.0,0.046918971227945507,
SEQUENTIAL_BOS,15,ERA2,16,0.4375,0.2008715704362797,0.1799505043258836,3.2139451269804753,2.8792080692141377,1.6349429966750306,1.5509115162414047,2.019187749271036,1.42592389947571,56.25,60.0,0.020921066110396173,10.415145391135743
SEQUENTIAL_BOS,15,ERA3,17,0.7647058823529411,0.6759965975413896,0.6599041800447714,11.491942158203624,11.218371060761113,4.4128905123709785,4.255881483301253,1.015893934391373,11.042856622115863,54.705882352941174,60.0,0.016092417496618307,2.3805471144598487
CRT_V2_B_LEGACY_EXP6,15,ERA1,78,0.5,0.05941501762710855,0.019045120373195862,4.634371374914467,1.4855193891092773,1.1982640716950628,1.0598457534867345,4.821412031103986,0.30810878214221604,175.76923076923077,60.0,0.040369897253912705,67.94561184392148
CRT_V2_B_LEGACY_EXP6,15,ERA2,72,0.5,0.15224494220639226,0.1341165547858518,10.961635838860243,9.65639194458133,1.5711006179035036,1.4867448030873365,5.640754371288528,1.7118972585887482,60.833333333333336,60.0,0.018128387420540418,11.907382378564998
CRT_V2_B_LEGACY_EXP6,15,ERA3,60,0.55,0.16177884201475665,0.1443008522093376,9.7067305208854,8.658051132560256,1.495765793861386,1.432169072400538,5.257670270276634,1.6467466933989967,153.0,60.0,0.017477989805419043,10.803631419135012
CONTROL,30,ERA1,601,0.4525790349417637,0.008391288111645447,-0.021805180185228503,5.043164155098913,-13.10491329132233,1.0278120823083579,0.9313756029419428,27.488113462483952,-0.47674837013489646,118.95174708818635,60.0,0.030196468296873957,359.8549816799549
CONTROL,30,ERA2,654,0.44648318042813456,-0.028969399668315562,-0.04451129269802306,-18.94598738307838,-29.11038542450708,0.9112805769054048,0.8671653589599089,42.99629840375391,-0.6770439899534588,99.95412844036697,60.0,0.015541893029707501,
CONTROL,30,ERA3,497,0.4426559356136821,-0.07147740703477316,-0.08410312437496431,-35.524271296282265,-41.79925281435726,0.7933908077825805,0.7618210283159063,47.26983896411836,-0.8842689911866695,75.69416498993964,60.0,0.01262571734019115,
RETEST_GATED,30,ERA1,124,0.5161290322580645,0.15785609677124127,0.12923141466047006,19.574155999633916,16.024695417898286,1.7903191281329784,1.6048531841607634,3.945312391140117,4.061705089281274,88.54838709677419,60.0,0.028624682110771182,18.133402951330364
RETEST_GATED,30,ERA2,141,0.45390070921985815,0.009561846858235462,-0.006135357400562804,1.3482204070112003,-0.8650853934793554,1.0420817101270612,0.9739327325344255,3.721663852453088,-0.2324458703891662,149.14893617021278,60.0,0.015697204258798267,164.16498289008385
RETEST_GATED,30,ERA3,107,0.5327102803738317,0.036636124788605895,0.025455880819926165,3.920065352380831,2.7237792477320997,1.1587884884394386,1.1078471549917954,5.039695191992168,0.5404650765506718,60.2803738317757,60.0,0.011180243968679752,30.5169939047617
