strategy,timeframe_minutes,direction,N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross
CONTROL,5,Long,4682,0.42054677488252884,0.022234450102205223,-0.03483362408935024,104.10169537852485,-163.09102798633785,1.0440566017172517,0.9352510466254211,198.16225590484376,-0.8230176187772766,53.153566851772744,40.0,0.057068074191555476,256.66510270877103
CONTROL,5,Short,4338,0.38035961272475793,-0.024115774237324514,-0.08034349569992211,-104.61422864151373,-348.53008434626213,0.9562341475080416,0.8629799166337879,356.549614335931,-0.9775079549458913,57.58298755186722,35.0,0.056227721462597594,
RETEST_GATED,5,Long,1243,0.41914722445695896,-0.020496125878822154,-0.07467129171214311,-25.47668446737594,-92.81641559819388,0.958379353757834,0.8575092968739454,99.19416155779003,-0.9357044219192225,83.3065164923572,50.0,0.05417516583332096,
RETEST_GATED,5,Short,1104,0.3686594202898551,-0.047685581646147564,-0.1002737251436693,-52.64488213734691,-110.70219255861092,0.9145601856087523,0.830355060190644,117.79474390677927,-0.9397888979343486,76.03713768115942,35.0,0.05258814349752174,
BOS_ONLY,5,Long,3248,0.4356527093596059,0.04920688119160849,-0.0054225490406129475,159.82395011034436,-17.612439283910852,1.1017665174200966,0.989456248114227,91.74362527927559,-0.19197452935064482,56.380849753694584,45.0,0.05462943023222142,111.01989987842936
BOS_ONLY,5,Short,2990,0.37926421404682276,-0.017159355052254684,-0.07116009763873184,-51.30647160624151,-212.76869193980818,0.9690644180017255,0.8790398305165776,222.3940414050137,-0.9567193913811913,60.17224080267559,35.0,0.05400074258647714,
SEQUENTIAL_BOS,5,Long,65,0.47692307692307695,0.15241080306450944,0.08508940130023196,9.906702199193113,5.5308110845150775,1.3330480201138462,1.173450529866237,9.088565653164673,0.6085460891828655,88.53846153846153,50.0,0.06732140176427742,44.17101702153157
SEQUENTIAL_BOS,5,Short,48,0.4166666666666667,-0.12481867160845468,-0.1794341049099912,-5.991296237205825,-8.612837035679577,0.7576755106156969,0.6701399919653652,10.757406784527262,-0.8006424976015324,49.375,55.0,0.05461543330153653,
CRT_V2_B_LEGACY_EXP6,5,Long,347,0.4697406340057637,0.14576535535986596,0.09374446640469719,50.58057830987349,32.529329842429924,1.35088293479213,1.2117171550612627,19.47867065676332,1.6699974251649046,88.05475504322767,55.0,0.052020888955168806,35.68810217403132
CRT_V2_B_LEGACY_EXP6,5,Short,267,0.4044943820224719,-0.006630177223184564,-0.0544663674463199,-1.7702573185902786,-14.542520108167412,0.987344473390997,0.901314762397922,26.213940416025565,-0.5547628428756565,51.87265917602996,40.0,0.04783619022313534,
CONTROL,15,Long,1704,0.47476525821596244,0.0171067606730549,-0.01253990835350156,29.149920186885545,-21.368003834366657,1.046542014968,0.9672468508990612,48.698547579080255,-0.43878113201769997,74.19894366197182,60.0,0.029646669026556445,173.30381591912567
CONTROL,15,Short,1567,0.41097638800255265,-0.03341878794508836,-0.06266134740556883,-52.36724070995346,-98.19033138452637,0.9202977644130114,0.8564805230965981,99.55598980027361,-0.9862825087823749,69.95532865347798,60.0,0.02924255946048049,
RETEST_GATED,15,Long,398,0.46984924623115576,0.01698452401343537,-0.011135526254149672,6.759840557347278,-4.431939449151569,1.0537097829433941,0.9663749755255217,22.73836773212026,-0.19491018446724315,148.30402010050253,60.0,0.028120050267585055,165.56278083119128
RETEST_GATED,15,Short,359,0.42618384401114207,-0.05848727454640189,-0.08647006919008464,-20.996931562158277,-31.042754839240388,0.8612374486661846,0.8021608745961818,49.90115430248986,-0.6220849051119341,94.97214484679665,60.0,0.027982794643682758,
BOS_ONLY,15,Long,1074,0.4776536312849162,-0.004314281938609143,-0.032906470902188796,-4.633538802066219,-35.34154974895077,0.9877267726401899,0.9101420809380837,53.63859639115108,-0.6588828218253148,85.39106145251397,60.0,0.02859218896357966,
BOS_ONLY,15,Short,996,0.39558232931726905,-0.0358669498435113,-0.06528810336582377,-35.72348204413725,-65.02695095236048,0.9184133369119869,0.857406530685689,71.34073672603374,-0.9114981697214626,76.70180722891567,60.0,0.029421153522312466,
SEQUENTIAL_BOS,15,Long,28,0.7142857142857143,0.42790965619565663,0.4000298899685445,11.981470373478386,11.200836919119245,3.3517940782251974,3.073709817555328,1.1757801755298551,9.52630189913832,68.03571428571429,60.0,0.027879766227112173,6.515339353399513
SEQUENTIAL_BOS,15,Short,19,0.3684210526315789,0.08123937895589298,0.05573725800636949,1.5435482001619665,1.0590079021210204,1.1834247788092602,1.1208075244596916,4.319814283897579,0.2451512570965259,52.10526315789474,60.0,0.025502120949523487,31.391329275632778
CRT_V2_B_LEGACY_EXP6,15,Long,135,0.5777777777777777,0.18571775850798325,0.15899447395548874,25.07189739857774,21.46425398399098,1.7162144815925058,1.5906518524866682,3.386682531912731,6.337840580489366,149.11111111111111,60.0,0.02672328455249455,14.389191839910035
CRT_V2_B_LEGACY_EXP6,15,Short,75,0.4,0.003077871147764899,-0.022190553569868147,0.23084033608236743,-1.664291517740111,1.0085049890491085,0.9413055727801702,6.8381207270404785,-0.2433843425956026,95.2,60.0,0.025268424717633044,820.970843304554
CONTROL,30,Long,941,0.46971307120085015,-0.031633262662019566,-0.05200382136289795,-29.76690016496041,-48.93559590248697,0.8950483948012083,0.8333169953609698,58.595308381970966,-0.8351452915562065,97.49202975557917,60.0,0.020370558700878373,
CONTROL,30,Short,811,0.4217016029593095,-0.024241916595932576,-0.04325395268520311,-19.660194359301318,-35.07895562769972,0.9305769151401039,0.8798763393084997,50.17425852011008,-0.6991424818692619,102.02219482120839,60.0,0.01901203608927054,
RETEST_GATED,30,Long,216,0.5324074074074074,0.10286263268895036,0.08291678820544221,22.218328660813278,17.910026252375516,1.5904155851941144,1.4517672142244125,3.693150259668183,4.849525470968699,90.69444444444444,60.0,0.019945844483508134,19.390758297838843
RETEST_GATED,30,Short,156,0.44871794871794873,0.01682123780905561,-0.0001707498732338584,2.6241130982126752,-0.02663698022448191,1.059827626962331,0.9994118798927925,9.35955614252433,-0.002845966178188633,120.96153846153847,60.0,0.016991987682289482,101.0150850678893
BOS_ONLY,30,Long,562,0.4679715302491103,-0.018549260293147792,-0.03836685814569044,-10.424684284749059,-21.56217427787803,0.9317324730868165,0.8640990921886593,37.0853845741488,-0.5814197297797049,118.71886120996442,60.0,0.019817597852542643,
BOS_ONLY,30,Short,496,0.4092741935483871,-0.009853325857303282,-0.028398345273851336,-4.887249625222427,-14.085579255830263,0.9723278617103215,0.9226292430271361,39.17845620946264,-0.3595235907337314,93.87096774193549,60.0,0.01854501941654805,
SEQUENTIAL_BOS,30,Long,22,0.4090909090909091,-0.04818654037955601,-0.0686024340958318,-1.0601038883502323,-1.5092535501082998,0.816071871441074,0.7482212792088451,3.3313540519986935,-0.4530450761313711,60.0,60.0,0.020415893716275786,
SEQUENTIAL_BOS,30,Short,11,0.5454545454545454,0.12652229693826034,0.10805259006658248,1.3917452663208638,1.1885784907324073,1.5281394351469173,1.4378869923828217,1.2191422952654452,0.9749300761266894,57.27272727272727,60.0,0.018469706871677854,14.597985745303536
CRT_V2_B_LEGACY_EXP6,30,Long,66,0.3939393939393939,-0.0627694490432738,-0.08277485132356674,-4.1427836368560715,-5.463140187355405,0.7076827419197338,0.6338323898223581,5.856787956522634,-0.9327877717121672,246.8181818181818,60.0,0.020005402280292937,
CRT_V2_B_LEGACY_EXP6,30,Short,33,0.5454545454545454,-0.028579416720265958,-0.04239090507835214,-0.9431207517687766,-1.3988998675856206,0.877321126553598,0.8227132535515864,3.9212502111570897,-0.3567484328353611,147.27272727272728,60.0,0.013811488358086162,
CONTROL,60,Long,422,0.46445497630331756,-0.026720063702993218,-0.04113278817094674,-11.275866882663138,-17.358036608139525,0.8790997700796072,0.820340338205173,24.09838520946289,-0.7202987443873798,87.44075829383887,60.0,0.014412724467953523,
CONTROL,60,Short,339,0.43952802359882004,0.001910193004907593,-0.010276169805986531,0.647555428663674,-3.483621564229434,1.0077634332024954,0.9594163303292671,11.888279857587351,-0.29302990894903214,109.5575221238938,60.0,0.012186362810894129,637.9650003735436
