strategy,timeframe_minutes,median_hold_minutes,median_MFE_R,median_MAE_R,mean_MFE,mean_MAE,MFE_MAE_ratio,P_p0.5_before_l0.5,P_p1.0_before_l0.5,P_p1.0_before_l1.0,P_p1.5_before_l1.0,P_p2.0_before_l1.0
CONTROL,5,35.0,7.351733316875507,7.161900471818838,11.182679621214694,11.058799424739739,9.566373311232999,0.4703991130820399,0.32172949002217294,0.4917960088691796,0.397450110864745,0.3329268292682927
RETEST_GATED,5,40.0,6.811550092644532,6.830141080240639,10.21275124635977,10.320156331996472,9.087219929911674,0.47507456327226244,0.3195568811248402,0.4835960801022582,0.3877290157648061,0.3263740945888368
BOS_ONLY,5,40.0,6.991287903380494,6.858640589891501,10.575430453423788,10.503144954581865,9.09436954195683,0.4741904456556589,0.325585123436999,0.497755690926579,0.4055787111253607,0.3395319012504008
SEQUENTIAL_BOS,5,55.0,7.913923011895235,9.005585954165925,11.391568394739013,12.823720520679135,11.485098792801889,0.5398230088495575,0.415929203539823,0.5309734513274337,0.40707964601769914,0.35398230088495575
CRT_V2_B_LEGACY_EXP6,5,50.0,6.293006926278078,6.443666801498101,9.958092564158939,9.39995766069121,9.612685684669763,0.4788273615635179,0.3289902280130293,0.50814332247557,0.4234527687296417,0.36482084690553745
CONTROL,15,60.0,7.690449063199432,7.745124562979346,10.393584057218437,10.891112182908858,10.734536369752794,0.46040966065423417,0.31672271476612657,0.48517273005197187,0.39712626108223786,0.3369000305716906
RETEST_GATED,15,60.0,7.133448798979334,7.427552764115527,9.852144933080753,10.26444538334363,10.138608454143272,0.45310435931307796,0.31704095112285335,0.49801849405548215,0.3963011889035667,0.33025099075297226
BOS_ONLY,15,60.0,7.4741588677877635,7.47198516355153,10.277335059875563,10.41412609930559,11.034487530119625,0.4647342995169082,0.31932367149758456,0.49082125603864735,0.40193236714975844,0.34106280193236715
SEQUENTIAL_BOS,15,60.0,6.168085807688189,9.636217230350631,9.258647736169031,10.467110673203386,11.583824389197858,0.574468085106383,0.425531914893617,0.6382978723404256,0.5106382978723404,0.425531914893617
CRT_V2_B_LEGACY_EXP6,15,60.0,6.078079691018362,6.603437017070936,9.019802194099942,9.437816940408501,23.04803208212547,0.5,0.3619047619047619,0.5333333333333333,0.43333333333333335,0.35714285714285715
CONTROL,30,60.0,7.544255417888496,7.912752766957933,10.01960579091375,10.40274478759383,9.590558625930411,0.4492009132420091,0.3213470319634703,0.4982876712328767,0.3995433789954338,0.3281963470319635
RETEST_GATED,30,60.0,7.708305194401712,6.97866080602616,9.837820357754223,9.009104749336245,8.341724927544467,0.5161290322580645,0.3682795698924731,0.532258064516129,0.44086021505376344,0.3817204301075269
BOS_ONLY,30,60.0,7.599648029292109,7.8266360686179315,9.936103177630834,10.20465339216441,12.869024451516486,0.45652173913043476,0.3279773156899811,0.5103969754253308,0.4158790170132325,0.3431001890359168
SEQUENTIAL_BOS,30,60.0,5.35061498344163,7.851323927614435,7.087400176009875,10.517733026270216,17.247074108213205,0.45454545454545453,0.3333333333333333,0.42424242424242425,0.3939393939393939,0.30303030303030304
CRT_V2_B_LEGACY_EXP6,30,60.0,6.430960226972949,8.129963966105565,8.622272359370811,10.846628791436872,4.406477377280152,0.48484848484848486,0.30303030303030304,0.43434343434343436,0.3838383838383838,0.35353535353535354
CONTROL,60,60.0,8.03735558323039,7.73396277736512,10.231125008153663,10.113945962309275,8.741690921877991,0.44021024967148487,0.32982917214191854,0.48751642575558474,0.3797634691195795,0.33508541392904073
RETEST_GATED,60,60.0,8.257720830916725,6.848621797193433,10.178716930962072,8.996310014631327,20.493980696971917,0.5284090909090909,0.42045454545454547,0.5909090909090909,0.5284090909090909,0.4602272727272727
BOS_ONLY,60,60.0,8.241305834285878,7.243814853353618,10.39052276449245,9.999193060432138,10.126379837065521,0.44642857142857145,0.3412698412698413,0.5,0.40476190476190477,0.36507936507936506
SEQUENTIAL_BOS,60,60.0,8.321419706444678,6.660664566424467,9.520206745828437,10.493233857666429,1.7316685095899005,0.3,0.1,0.3,0.3,0.2
CRT_V2_B_LEGACY_EXP6,60,60.0,7.938412268655841,7.04720799315434,10.986955895223154,9.521014349027539,45.7962232330138,0.34615384615384615,0.25,0.40384615384615385,0.3269230769230769,0.3269230769230769
