N,win_rate,gross_AvgR,net_AvgR,gross_TotalR,net_TotalR,gross_PF,net_PF,MaxDD,Return_over_DD,avg_hold_minutes,median_hold_minutes,avg_cost_R,cost_pct_of_gross,strategy,timeframe_minutes,start,end,trades_per_day,trades_per_week,trades_per_month,median_MFE_R,median_MAE_R,mean_MFE,mean_MAE,MFE_MAE_ratio,P_p0.5_before_l0.5,P_p1.0_before_l0.5,P_p1.0_before_l1.0,P_p1.5_before_l1.0,P_p2.0_before_l1.0
9020,0.401219512195122,-5.682186951095855e-05,-0.05672074416104212,-0.5125332629888462,-511.6211123325999,0.9998921714527723,0.8989383089245205,524.5623344284553,-0.975329486609145,55.28381374722838,35.0,0.056663922291531166,,CONTROL,5,2018-01-01,2026-06-26,2.911555842479019,20.380890897353133,88.62048095545514,7.351733316875507,7.161900471818838,11.182679621214694,11.058799424739739,9.566373311232999,0.4703991130820399,0.32172949002217294,0.4917960088691796,0.397450110864745,0.3329268292682927
2347,0.3953983809118023,-0.03328571223038894,-0.08671436223127602,-78.12156660472284,-203.51860815680482,0.9363975836225998,0.8439200322942889,207.85757225643064,-0.979125301750985,79.88708990200256,40.0,0.05342865000088707,,RETEST_GATED,5,2018-01-01,2026-06-26,0.7575855390574564,5.303098773402195,23.05900984506133,6.811550092644532,6.830141080240639,10.21275124635977,10.320156331996472,9.087219929911674,0.47507456327226244,0.3195568811248402,0.4835960801022582,0.3877290157648061,0.3263740945888368
6238,0.4086245591535749,0.01739619725939449,-0.036931890225027096,108.51747850410283,-230.38113122371902,1.0336072489472536,0.9328219883474335,248.75667427606305,-0.9261304521544159,58.19814042962488,40.0,0.05432808748442158,312.2986401817369,BOS_ONLY,5,2018-01-01,2026-06-26,2.013557133634603,14.094899935442221,61.28764525500323,6.991287903380494,6.858640589891501,10.575430453423788,10.503144954581865,9.09436954195683,0.4741904456556589,0.325585123436999,0.497755690926579,0.4055787111253607,0.3395319012504008
113,0.45132743362831856,0.03464961028307336,-0.027274565939508867,3.9154059619872896,-3.082025951164502,1.071882093600595,0.9468593753148938,16.866257044717244,-0.18273324917278178,71.90265486725664,55.0,0.061924176222582186,178.715361346597,SEQUENTIAL_BOS,5,2018-01-01,2026-06-26,0.03647514525500323,0.2553260167850226,1.1102122336991607,7.913923011895235,9.005585954165925,11.391568394739013,12.823720520679135,11.485098792801889,0.5398230088495575,0.415929203539823,0.5309734513274337,0.40707964601769914,0.35398230088495575
614,0.44136807817589574,0.07949563679362089,0.029294478394564356,48.81032099128322,17.986809734262515,1.1718476813982779,1.0597552757027293,32.49720485884185,0.5534879018793106,72.32084690553746,50.0,0.050201158399056534,63.14957703827705,CRT_V2_B_LEGACY_EXP6,5,2018-01-01,2026-06-26,0.19819238218205293,1.3873466752743706,6.032480632666236,6.293006926278078,6.443666801498101,9.958092564158939,9.39995766069121,9.612685684669763,0.4788273615635179,0.3289902280130293,0.50814332247557,0.4234527687296417,0.36482084690553745
3271,0.44420666462855396,-0.007097927399287037,-0.03655100434695599,-23.217320523067897,-119.55833521889303,0.9819088182301297,0.9105474367636353,128.7135002505687,-0.9288717577110936,72.16600428003669,60.0,0.02945307694766894,,CONTROL,15,2018-01-01,2026-06-26,1.0558424790187217,7.390897353131052,32.137205455132346,7.690449063199432,7.745124562979346,10.393584057218437,10.891112182908858,10.734536369752794,0.46040966065423417,0.31672271476612657,0.48517273005197187,0.39712626108223786,0.3369000305716906
757,0.44914134742404227,-0.018807253639116263,-0.046862211741601004,-14.23709100481101,-35.47469428839196,0.9486348610740459,0.8771285428664799,48.98176389978496,-0.7242428909047046,123.01188903566711,60.0,0.028054958102484758,,RETEST_GATED,15,2018-01-01,2026-06-26,0.24435119431891542,1.7104583602324082,7.4374394770819885,7.133448798979334,7.427552764115527,9.852144933080753,10.26444538334363,10.138608454143272,0.45310435931307796,0.31704095112285335,0.49801849405548215,0.3963011889035667,0.33025099075297226
2070,0.43816425120772945,-0.01949614533633019,-0.048487198406430565,-40.35702084620349,-100.36850070131126,0.9505059618577058,0.8818269782271619,108.20606479816331,-0.9275681625473448,81.21014492753623,60.0,0.028991053070100373,,BOS_ONLY,15,2018-01-01,2026-06-26,0.6681730148482892,4.677211103938025,20.3375161394448,7.4741588677877635,7.47198516355153,10.277335059875563,10.41412609930559,11.034487530119625,0.4647342995169082,0.31932367149758456,0.49082125603864735,0.40193236714975844,0.34106280193236715
47,0.574468085106383,0.28776635263064576,0.2608477621540482,13.52501857364035,12.259844821240264,2.0011290769404586,1.8653543179776433,4.690314536970911,2.6138641075355027,61.59574468085106,60.0,0.0269185904765976,9.354321737242222,SEQUENTIAL_BOS,15,2018-01-01,2026-06-26,0.015171078114912848,0.10619754680438993,0.4617696901226598,6.168085807688189,9.636217230350631,9.258647736169031,10.467110673203386,11.583824389197858,0.574468085106383,0.425531914893617,0.6382978723404256,0.5106382978723404,0.425531914893617
210,0.5142857142857142,0.12048922730790526,0.09428553555357556,25.302737734660106,19.799962466250868,1.4071375448059043,1.3060502778142697,5.640754371288528,3.510162145515995,129.85714285714286,60.0,0.02620369175432973,21.747746532864117,CRT_V2_B_LEGACY_EXP6,15,2018-01-01,2026-06-26,0.06778566817301485,0.474499677211104,2.0632262750161394,6.078079691018362,6.603437017070936,9.019802194099942,9.437816940408501,23.04803208212547,0.5,0.3619047619047619,0.5333333333333333,0.43333333333333335,0.35714285714285715
