window_id,era,start,end,trade_id,direction,setup_timestamp,bos_timestamp,confirm_timestamp,entry_timestamp,entry_price,stop_price,target_price,exit_timestamp,exit_reason
ERA1_SAMPLE,ERA1,2018-01-01,2020-12-31,0,Long,2018-01-26 11:15:00-06:00,2018-01-26 12:15:00-06:00,2018-01-26 12:45:00-06:00,2018-01-26 13:15:00-06:00,6973.0,6966.769491669956,6991.691524990133,2018-01-26 14:00:00-06:00,TARGET
ERA1_SAMPLE,ERA1,2018-01-01,2020-12-31,1,Short,2018-02-26 22:45:00-06:00,2018-02-26 23:15:00-06:00,2018-02-27 01:15:00-06:00,2018-02-27 01:30:00-06:00,6969.284527075788,6972.861034940837,6958.55500348064,2018-02-27 02:00:00-06:00,STOP
ERA1_SAMPLE,ERA1,2018-01-01,2020-12-31,3,Long,2018-04-04 07:30:00-05:00,2018-04-04 08:30:00-05:00,2018-04-04 09:00:00-05:00,2018-04-04 09:15:00-05:00,6340.75,6322.791591450504,6394.625225648489,2018-04-04 09:30:00-05:00,STOP
ERA1_SAMPLE,ERA1,2018-01-01,2020-12-31,5,Short,2018-05-02 06:15:00-05:00,2018-05-02 07:30:00-05:00,2018-05-02 08:15:00-05:00,2018-05-02 08:30:00-05:00,6644.145751265098,6652.077126383166,6620.351625910894,2018-05-02 08:45:00-05:00,STOP
ERA1_SAMPLE,ERA1,2018-01-01,2020-12-31,7,Short,2018-07-18 08:30:00-05:00,2018-07-18 08:45:00-05:00,2018-07-18 09:45:00-05:00,2018-07-18 10:00:00-05:00,7334.0,7341.2205309808405,7312.338407057478,2018-07-18 10:15:00-05:00,STOP
ERA2_SAMPLE,ERA2,2021-01-01,2023-12-31,79,Short,2021-02-05 07:45:00-06:00,2021-02-05 08:30:00-06:00,2021-02-05 09:15:00-06:00,2021-02-05 09:30:00-06:00,13547.25,13563.339922990413,13498.98023102876,2021-02-05 09:45:00-06:00,STOP
ERA2_SAMPLE,ERA2,2021-01-01,2023-12-31,80,Long,2021-02-23 11:15:00-06:00,2021-02-23 12:15:00-06:00,2021-02-23 12:45:00-06:00,2021-02-23 13:00:00-06:00,13050.2198146303,12999.121998454995,13203.513263156214,2021-02-23 14:00:00-06:00,TIME
ERA2_SAMPLE,ERA2,2021-01-01,2023-12-31,84,Long,2021-05-28 09:30:00-05:00,2021-05-28 10:30:00-05:00,2021-05-28 11:00:00-05:00,2021-05-28 11:30:00-05:00,13755.731069626974,13743.373259666816,13792.804499507449,2021-05-28 12:15:00-05:00,STOP
ERA2_SAMPLE,ERA2,2021-01-01,2023-12-31,88,Long,2021-08-27 10:30:00-05:00,2021-08-27 12:15:00-05:00,2021-08-27 13:15:00-05:00,2021-08-27 13:30:00-05:00,15447.0,15434.471055785718,15484.586832642846,2021-08-27 14:30:00-05:00,TIME
ERA2_SAMPLE,ERA2,2021-01-01,2023-12-31,89,Short,2021-09-15 21:45:00-05:00,2021-09-15 22:45:00-05:00,2021-09-15 23:15:00-05:00,2021-09-15 23:30:00-05:00,15506.5,15514.005140280338,15483.984579158985,2021-09-16 00:00:00-05:00,STOP
ERA3_SAMPLE,ERA3,2024-01-01,2026-06-26,150,Long,2024-01-08 05:00:00-06:00,2024-01-08 05:30:00-06:00,2024-01-08 06:00:00-06:00,2024-01-08 06:15:00-06:00,16252.877735490976,16239.224756178814,16293.836673427464,2024-01-08 06:30:00-06:00,STOP
