signal_id,direction,mfe_r,mae_r,result_R,P_p0.5R_before_l0.5R,P_p0.5R_before_l1.0R,P_p1.0R_before_l0.5R,P_p1.0R_before_l1.0R,P_p1.5R_before_l0.5R,P_p1.5R_before_l1.0R,P_p2.0R_before_l0.5R,P_p2.0R_before_l1.0R,P_p2.5R_before_l0.5R,P_p2.5R_before_l1.0R,P_p3.0R_before_l0.5R,P_p3.0R_before_l1.0R,architecture
1894,Long,0.2474465538873267,3.082595886656,-0.9999999999998986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1896,Long,2.3437110122963216,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1897,Short,5.694282422415434,0.2296081621941706,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1898,Long,1.021402324094301,0.4968984279377682,0.3312656186251788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1900,Long,0.9875009699971944,0.0533784308106591,0.7206088159438985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1902,Long,0.6619951284173506,1.4223256710589829,-1.0000000000000695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1903,Short,0.8505153475755277,1.1248751371160206,-0.9999999999999308,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1904,Long,3.855471192056809,0.3422267057230494,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1906,Long,0.51365347968915,4.325959393623315,-0.999999999999947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1908,Short,0.7204201194399336,1.0225317824308735,-0.9999999999999728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1910,Short,3.472154075924762,0.0511117732674255,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1911,Long,0.6770101721512545,1.249864933202316,-1.0000000000000082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1915,Long,2.262774036044674,0.0983814798280293,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1917,Long,2.9077824682601854,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1919,Long,1.1452940280818225,0.5186075639469274,0.6223535277299297,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1920,Long,0.5968505276069336,1.0490933304679075,-1.0000000000000469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1923,Short,2.2129929889630495,0.4069872163610206,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,MOMENTUM_DISPLACEMENT
1925,Short,2.855905710284325,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1927,Short,1.4926516911863437,1.22385188183108,-0.9999999999999158,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1929,Long,0.9883710496060126,0.3576688552818854,0.0061257136067356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1932,Short,0.1081182634728773,1.4866261227520638,-1.0000000000000486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1933,Short,0.4976677455377932,1.0616911904806254,-1.000000000000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1934,Long,1.2954472344722758,0.1372094909662271,0.8430293211759065,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1935,Short,0.132074769088447,1.056598152707576,-1.0000000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1937,Long,2.4301911817459785,0.9955000021610032,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,MOMENTUM_DISPLACEMENT
1940,Short,2.089999014136953,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1943,Short,2.99303738786199,0.031177472790229,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MOMENTUM_DISPLACEMENT
1945,Long,2.311081521313156,0.1256022565931062,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
1946,Long,0.790760310547015,3.4007806812122467,-0.9999999999999432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MOMENTUM_DISPLACEMENT
