architecture,parameter,value,count,folds
RETEST_GATED,entry_model,BOS_RETEST,7,7
RETEST_GATED,stop_atr,0.75,6,7
RETEST_GATED,stop_atr,1.25,1,7
RETEST_GATED,target_r,3.0,7,7
RETEST_GATED,hold_minutes,60,6,7
RETEST_GATED,hold_minutes,90,1,7
BOS_ONLY,entry_model,BOS_RETEST,7,7
BOS_ONLY,stop_atr,0.75,7,7
BOS_ONLY,target_r,2.0,7,7
BOS_ONLY,hold_minutes,60,7,7
CRT_V2_B_LEGACY_EXP6,entry_model,BOS_RETEST,6,7
CRT_V2_B_LEGACY_EXP6,entry_model,CURRENT,1,7
CRT_V2_B_LEGACY_EXP6,stop_atr,0.75,6,7
CRT_V2_B_LEGACY_EXP6,stop_atr,1.25,1,7
CRT_V2_B_LEGACY_EXP6,target_r,3.0,4,7
CRT_V2_B_LEGACY_EXP6,target_r,1.5,2,7
CRT_V2_B_LEGACY_EXP6,target_r,2.5,1,7
CRT_V2_B_LEGACY_EXP6,hold_minutes,60,5,7
CRT_V2_B_LEGACY_EXP6,hold_minutes,30,2,7
SWING22_BOS_CLOSE,entry_model,BOS_RETEST,5,7
SWING22_BOS_CLOSE,entry_model,NEXT_OPEN,2,7
SWING22_BOS_CLOSE,stop_atr,0.75,7,7
SWING22_BOS_CLOSE,target_r,1.5,7,7
SWING22_BOS_CLOSE,hold_minutes,30,7,7
SWING22_BOS_RETEST,entry_model,BOS_RETEST,7,7
SWING22_BOS_RETEST,stop_atr,0.75,6,7
SWING22_BOS_RETEST,stop_atr,1.25,1,7
SWING22_BOS_RETEST,target_r,1.5,6,7
SWING22_BOS_RETEST,target_r,3.0,1,7
SWING22_BOS_RETEST,hold_minutes,30,6,7
SWING22_BOS_RETEST,hold_minutes,90,1,7
SWEEP_RECLAIM,entry_model,BOS_RETEST,7,7
SWEEP_RECLAIM,stop_atr,0.75,6,7
SWEEP_RECLAIM,stop_atr,1.0,1,7
SWEEP_RECLAIM,target_r,3.0,7,7
SWEEP_RECLAIM,hold_minutes,60,7,7
MOMENTUM_DISPLACEMENT,entry_model,BOS_RETEST,7,7
MOMENTUM_DISPLACEMENT,stop_atr,0.75,7,7
MOMENTUM_DISPLACEMENT,target_r,3.0,6,7
MOMENTUM_DISPLACEMENT,target_r,2.0,1,7
MOMENTUM_DISPLACEMENT,hold_minutes,60,7,7
RANGE_BREAK_10,entry_model,BOS_RETEST,7,7
RANGE_BREAK_10,stop_atr,0.75,5,7
RANGE_BREAK_10,stop_atr,1.0,2,7
RANGE_BREAK_10,target_r,3.0,5,7
RANGE_BREAK_10,target_r,2.0,2,7
RANGE_BREAK_10,hold_minutes,60,7,7
FAILED_BREAK_10,entry_model,BOS_RETEST,7,7
FAILED_BREAK_10,stop_atr,1.0,6,7
FAILED_BREAK_10,stop_atr,0.75,1,7
FAILED_BREAK_10,target_r,2.5,4,7
FAILED_BREAK_10,target_r,3.0,2,7
FAILED_BREAK_10,target_r,1.5,1,7
FAILED_BREAK_10,hold_minutes,60,6,7
FAILED_BREAK_10,hold_minutes,30,1,7
IMPULSE_PULLBACK,entry_model,NEXT_OPEN,7,7
IMPULSE_PULLBACK,stop_atr,0.75,7,7
IMPULSE_PULLBACK,target_r,2.0,4,7
IMPULSE_PULLBACK,target_r,1.5,3,7
IMPULSE_PULLBACK,hold_minutes,60,4,7
IMPULSE_PULLBACK,hold_minutes,30,3,7
