architecture,train_end,test_end,entry_model,stop_atr,target_r,hold_minutes
RETEST_GATED,2019-12-31,2020-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2020-12-31,2021-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2021-12-31,2022-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2022-12-31,2023-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2023-12-31,2024-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2024-12-31,2025-12-31,BOS_RETEST,0.75,3.0,60
RETEST_GATED,2025-12-31,2026-06-26,BOS_RETEST,1.25,3.0,90
BOS_ONLY,2019-12-31,2020-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2020-12-31,2021-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2021-12-31,2022-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2022-12-31,2023-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2023-12-31,2024-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2024-12-31,2025-12-31,BOS_RETEST,0.75,2.0,60
BOS_ONLY,2025-12-31,2026-06-26,BOS_RETEST,0.75,2.0,60
CRT_V2_B_LEGACY_EXP6,2019-12-31,2020-12-31,CURRENT,1.25,2.5,60
CRT_V2_B_LEGACY_EXP6,2020-12-31,2021-12-31,BOS_RETEST,0.75,1.5,30
CRT_V2_B_LEGACY_EXP6,2021-12-31,2022-12-31,BOS_RETEST,0.75,3.0,60
CRT_V2_B_LEGACY_EXP6,2022-12-31,2023-12-31,BOS_RETEST,0.75,3.0,60
CRT_V2_B_LEGACY_EXP6,2023-12-31,2024-12-31,BOS_RETEST,0.75,3.0,60
CRT_V2_B_LEGACY_EXP6,2024-12-31,2025-12-31,BOS_RETEST,0.75,3.0,60
CRT_V2_B_LEGACY_EXP6,2025-12-31,2026-06-26,BOS_RETEST,0.75,1.5,30
SWING22_BOS_CLOSE,2019-12-31,2020-12-31,NEXT_OPEN,0.75,1.5,30
SWING22_BOS_CLOSE,2020-12-31,2021-12-31,NEXT_OPEN,0.75,1.5,30
SWING22_BOS_CLOSE,2021-12-31,2022-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_CLOSE,2022-12-31,2023-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_CLOSE,2023-12-31,2024-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_CLOSE,2024-12-31,2025-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_CLOSE,2025-12-31,2026-06-26,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2019-12-31,2020-12-31,BOS_RETEST,1.25,3.0,90
SWING22_BOS_RETEST,2020-12-31,2021-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2021-12-31,2022-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2022-12-31,2023-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2023-12-31,2024-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2024-12-31,2025-12-31,BOS_RETEST,0.75,1.5,30
SWING22_BOS_RETEST,2025-12-31,2026-06-26,BOS_RETEST,0.75,1.5,30
SWEEP_RECLAIM,2019-12-31,2020-12-31,BOS_RETEST,1.0,3.0,60
SWEEP_RECLAIM,2020-12-31,2021-12-31,BOS_RETEST,0.75,3.0,60
SWEEP_RECLAIM,2021-12-31,2022-12-31,BOS_RETEST,0.75,3.0,60
SWEEP_RECLAIM,2022-12-31,2023-12-31,BOS_RETEST,0.75,3.0,60
SWEEP_RECLAIM,2023-12-31,2024-12-31,BOS_RETEST,0.75,3.0,60
SWEEP_RECLAIM,2024-12-31,2025-12-31,BOS_RETEST,0.75,3.0,60
SWEEP_RECLAIM,2025-12-31,2026-06-26,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2019-12-31,2020-12-31,BOS_RETEST,0.75,2.0,60
MOMENTUM_DISPLACEMENT,2020-12-31,2021-12-31,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2021-12-31,2022-12-31,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2022-12-31,2023-12-31,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2023-12-31,2024-12-31,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2024-12-31,2025-12-31,BOS_RETEST,0.75,3.0,60
MOMENTUM_DISPLACEMENT,2025-12-31,2026-06-26,BOS_RETEST,0.75,3.0,60
RANGE_BREAK_10,2019-12-31,2020-12-31,BOS_RETEST,1.0,2.0,60
RANGE_BREAK_10,2020-12-31,2021-12-31,BOS_RETEST,1.0,2.0,60
RANGE_BREAK_10,2021-12-31,2022-12-31,BOS_RETEST,0.75,3.0,60
RANGE_BREAK_10,2022-12-31,2023-12-31,BOS_RETEST,0.75,3.0,60
RANGE_BREAK_10,2023-12-31,2024-12-31,BOS_RETEST,0.75,3.0,60
RANGE_BREAK_10,2024-12-31,2025-12-31,BOS_RETEST,0.75,3.0,60
RANGE_BREAK_10,2025-12-31,2026-06-26,BOS_RETEST,0.75,3.0,60
FAILED_BREAK_10,2019-12-31,2020-12-31,BOS_RETEST,1.0,3.0,60
FAILED_BREAK_10,2020-12-31,2021-12-31,BOS_RETEST,1.0,3.0,60
FAILED_BREAK_10,2021-12-31,2022-12-31,BOS_RETEST,1.0,2.5,60
FAILED_BREAK_10,2022-12-31,2023-12-31,BOS_RETEST,1.0,2.5,60
FAILED_BREAK_10,2023-12-31,2024-12-31,BOS_RETEST,0.75,1.5,30
FAILED_BREAK_10,2024-12-31,2025-12-31,BOS_RETEST,1.0,2.5,60
FAILED_BREAK_10,2025-12-31,2026-06-26,BOS_RETEST,1.0,2.5,60
IMPULSE_PULLBACK,2019-12-31,2020-12-31,NEXT_OPEN,0.75,2.0,60
IMPULSE_PULLBACK,2020-12-31,2021-12-31,NEXT_OPEN,0.75,2.0,60
IMPULSE_PULLBACK,2021-12-31,2022-12-31,NEXT_OPEN,0.75,2.0,60
IMPULSE_PULLBACK,2022-12-31,2023-12-31,NEXT_OPEN,0.75,2.0,60
IMPULSE_PULLBACK,2023-12-31,2024-12-31,NEXT_OPEN,0.75,1.5,30
IMPULSE_PULLBACK,2024-12-31,2025-12-31,NEXT_OPEN,0.75,1.5,30
IMPULSE_PULLBACK,2025-12-31,2026-06-26,NEXT_OPEN,0.75,1.5,30
