window_id,trade_id,direction,displacement_time,bos_time,bos_level,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,net_R
WIN_TARGET,13,Short,2018-01-09 14:15:00-06:00,2018-01-09 14:15:00-06:00,6669.25,2018-01-09 14:30:00-06:00,6677.0,6682.111970061019,6661.6640898169435,2018-01-09 15:45:00-06:00,6661.664089816944,TARGET,2.858176008203087
WIN_TARGET,32,Short,2018-01-16 12:45:00-06:00,2018-01-16 12:45:00-06:00,6745.5,2018-01-16 13:00:00-06:00,6744.75,6754.180951248438,6716.457146254686,2018-01-16 13:45:00-06:00,6716.457146254686,TARGET,2.9231254641338444
WIN_TARGET,47,Long,2018-01-22 14:45:00-06:00,2018-01-22 14:45:00-06:00,6899.5,2018-01-22 15:00:00-06:00,6900.231872947124,6894.291150636793,6918.0540398781195,2018-01-22 15:30:00-06:00,6918.054039878119,TARGET,2.877960968022503
LOSS_STOP,3,Long,2018-01-04 11:00:00-06:00,2018-01-04 11:00:00-06:00,6587.25,2018-01-04 11:15:00-06:00,6577.0,6570.5729812987365,6596.28105610379,2018-01-04 12:15:00-06:00,6570.5729812987365,STOP,-1.1128050241798475
LOSS_STOP,4,Long,2018-01-04 14:15:00-06:00,2018-01-04 14:15:00-06:00,6583.25,2018-01-04 14:30:00-06:00,6581.0,6575.820877500778,6596.537367497666,2018-01-04 14:45:00-06:00,6575.820877500778,STOP,-1.1399851036752109
LOSS_STOP,6,Long,2018-01-05 10:45:00-06:00,2018-01-05 10:45:00-06:00,6634.5,2018-01-05 11:00:00-06:00,6633.75,6628.699868997135,6648.900393008595,2018-01-05 11:45:00-06:00,6628.699868997135,STOP,-1.1435606323062009
TIME_EXIT,1,Short,2018-01-02 15:00:00-06:00,2018-01-02 15:00:00-06:00,6495.0,2018-01-02 15:30:00-06:00,6496.25,6500.501772099465,6483.494683701606,2018-01-02 17:30:00-06:00,6494.5,TIME,0.24107595045584157
TIME_EXIT,2,Long,2018-01-03 09:30:00-06:00,2018-01-03 09:30:00-06:00,6554.75,2018-01-03 09:45:00-06:00,6551.25,6546.375631333245,6565.873106000265,2018-01-03 10:45:00-06:00,6552.75,TIME,0.1589949494969058
TIME_EXIT,11,Long,2018-01-08 14:30:00-06:00,2018-01-08 14:30:00-06:00,6668.0,2018-01-08 14:45:00-06:00,6667.0,6663.028471138928,6678.914586583217,2018-01-08 17:00:00-06:00,6670.75,TIME,0.7616714131553196
LONG,2,Long,2018-01-03 09:30:00-06:00,2018-01-03 09:30:00-06:00,6554.75,2018-01-03 09:45:00-06:00,6551.25,6546.375631333245,6565.873106000265,2018-01-03 10:45:00-06:00,6552.75,TIME,0.1589949494969058
LONG,3,Long,2018-01-04 11:00:00-06:00,2018-01-04 11:00:00-06:00,6587.25,2018-01-04 11:15:00-06:00,6577.0,6570.5729812987365,6596.28105610379,2018-01-04 12:15:00-06:00,6570.5729812987365,STOP,-1.1128050241798475
LONG,4,Long,2018-01-04 14:15:00-06:00,2018-01-04 14:15:00-06:00,6583.25,2018-01-04 14:30:00-06:00,6581.0,6575.820877500778,6596.537367497666,2018-01-04 14:45:00-06:00,6575.820877500778,STOP,-1.1399851036752109
SHORT,1,Short,2018-01-02 15:00:00-06:00,2018-01-02 15:00:00-06:00,6495.0,2018-01-02 15:30:00-06:00,6496.25,6500.501772099465,6483.494683701606,2018-01-02 17:30:00-06:00,6494.5,TIME,0.24107595045584157
SHORT,7,Short,2018-01-05 13:30:00-06:00,2018-01-05 13:30:00-06:00,6630.75,2018-01-05 13:45:00-06:00,6631.25,6635.225219550548,6619.324341348356,2018-01-05 14:30:00-06:00,6635.225219550548,STOP,-1.182379863748622
SHORT,8,Short,2018-01-08 09:30:00-06:00,2018-01-08 09:30:00-06:00,6652.75,2018-01-08 09:45:00-06:00,6660.0,6664.956717557577,6645.12984732727,2018-01-08 10:00:00-06:00,6664.956717557577,STOP,-1.1462661512539887
ERA_ERA1,1,Short,2018-01-02 15:00:00-06:00,,,2018-01-02 15:30:00-06:00,6496.25,6500.501772099465,6483.494683701606,,,TIME,0.24107595045584157
ERA_ERA1,2,Long,2018-01-03 09:30:00-06:00,,,2018-01-03 09:45:00-06:00,6551.25,6546.375631333245,6565.873106000265,,,TIME,0.1589949494969058
ERA_ERA2,2929,Short,2021-01-04 09:45:00-06:00,,,2021-01-04 10:00:00-06:00,12754.513361391806,12779.049773127444,12680.90412618489,,,TARGET,2.97045207718996
ERA_ERA2,2933,Long,2021-01-05 13:00:00-06:00,,,2021-01-05 13:15:00-06:00,12780.5,12761.483006955728,12837.550979132815,,,STOP,-1.0381237979270703
ERA_ERA3,5849,Long,2024-01-02 10:00:00-06:00,,,2024-01-02 10:15:00-06:00,16547.404250572312,16520.950541229427,16626.765378600965,,,TIME,-0.05213826743291248
ERA_ERA3,5850,Short,2024-01-02 11:45:00-06:00,,,2024-01-02 12:00:00-06:00,16507.0,16531.217402772018,16434.347791683947,,,TIME,1.1572256638677583
