failure_event_id,failure_definition,displacement_direction,reversal_direction,body_ratio,body_atr_ratio,reclaim_depth,bars_until_reclaim,bars_until_opposite_bos,extreme_beyond_disp,reversal_body,reversal_close_location,volume_ratio24
A_MID_1_2018-01-04 11:00:00-06:00_Short,A_MID_1,Long,Short,2.0114942528735633,1.053523477597908,0.4111111111111111,1,1,,9.25,0.20833333333333334,0.7274062630585911
B_OPEN_1_2018-01-04 11:00:00-06:00_Short,B_OPEN_1,Long,Short,2.0114942528735633,1.053523477597908,0.044444444444444446,1,1,,9.25,0.20833333333333334,0.7274062630585911
A_MID_2_2018-01-04 11:00:00-06:00_Short,A_MID_2,Long,Short,2.0114942528735633,1.053523477597908,0.4111111111111111,1,1,,9.25,0.20833333333333334,0.7274062630585911
B_OPEN_2_2018-01-04 11:00:00-06:00_Short,B_OPEN_2,Long,Short,2.0114942528735633,1.053523477597908,0.044444444444444446,1,1,,9.25,0.20833333333333334,0.7274062630585911
A_MID_3_2018-01-04 11:00:00-06:00_Short,A_MID_3,Long,Short,2.0114942528735633,1.053523477597908,0.4111111111111111,1,1,,9.25,0.20833333333333334,0.7274062630585911
B_OPEN_3_2018-01-04 11:00:00-06:00_Short,B_OPEN_3,Long,Short,2.0114942528735633,1.053523477597908,0.044444444444444446,1,1,,9.25,0.20833333333333334,0.7274062630585911
A_MID_4_2018-01-04 11:00:00-06:00_Short,A_MID_4,Long,Short,2.0114942528735633,1.053523477597908,0.4111111111111111,1,1,,9.25,0.20833333333333334,0.7274062630585911
B_OPEN_4_2018-01-04 11:00:00-06:00_Short,B_OPEN_4,Long,Short,2.0114942528735633,1.053523477597908,0.044444444444444446,1,1,,9.25,0.20833333333333334,0.7274062630585911
A_MID_2_2018-01-04 14:15:00-06:00_Short,A_MID_2,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,,3.75,0.23076923076923078,1.85273699167738
C_EXT_MID_2_2018-01-04 14:15:00-06:00_Short,C_EXT_MID_2,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,0.5,3.75,0.23076923076923078,1.85273699167738
A_MID_3_2018-01-04 14:15:00-06:00_Short,A_MID_3,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,,3.75,0.23076923076923078,1.85273699167738
C_EXT_MID_3_2018-01-04 14:15:00-06:00_Short,C_EXT_MID_3,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,0.5,3.75,0.23076923076923078,1.85273699167738
A_MID_4_2018-01-04 14:15:00-06:00_Short,A_MID_4,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,,3.75,0.23076923076923078,1.85273699167738
C_EXT_MID_4_2018-01-04 14:15:00-06:00_Short,C_EXT_MID_4,Long,Short,1.8309859154929577,0.902036167982783,0.42592592592592593,2,2,0.5,3.75,0.23076923076923078,1.85273699167738
A_MID_4_2018-01-05 13:30:00-06:00_Long,A_MID_4,Short,Long,1.5841584158415842,0.735459489156507,0.25,4,4,,2.25,0.5263157894736842,0.9258990568970877
C_EXT_MID_4_2018-01-05 13:30:00-06:00_Long,C_EXT_MID_4,Short,Long,1.5841584158415842,0.735459489156507,0.25,4,4,1.5,2.25,0.5263157894736842,0.9258990568970877
D_OPP_BOS_2018-01-05 13:30:00-06:00_Long,D_OPP_BOS,Short,Long,1.5841584158415842,0.735459489156507,0.8,5,5,,7.25,0.5370370370370371,3.8596664097327626
E_MID_BOS_2018-01-05 13:30:00-06:00_Long,E_MID_BOS,Short,Long,1.5841584158415842,0.735459489156507,1.7,5,5,,7.25,0.5370370370370371,3.8596664097327626
A_MID_1_2018-01-08 09:30:00-06:00_Long,A_MID_1,Short,Long,1.8726591760299627,0.9669695759519846,0.1744186046511628,1,1,,5.75,0.8529411764705882,1.862278737695915
A_MID_2_2018-01-08 09:30:00-06:00_Long,A_MID_2,Short,Long,1.8726591760299627,0.9669695759519846,0.1744186046511628,1,1,,5.75,0.8529411764705882,1.862278737695915
B_OPEN_2_2018-01-08 09:30:00-06:00_Long,B_OPEN_2,Short,Long,1.8726591760299627,0.9669695759519846,0.5116279069767442,2,2,,5.75,1.0,1.295608192698683
A_MID_3_2018-01-08 09:30:00-06:00_Long,A_MID_3,Short,Long,1.8726591760299627,0.9669695759519846,0.1744186046511628,1,1,,5.75,0.8529411764705882,1.862278737695915
B_OPEN_3_2018-01-08 09:30:00-06:00_Long,B_OPEN_3,Short,Long,1.8726591760299627,0.9669695759519846,0.5116279069767442,2,2,,5.75,1.0,1.295608192698683
A_MID_4_2018-01-08 09:30:00-06:00_Long,A_MID_4,Short,Long,1.8726591760299627,0.9669695759519846,0.1744186046511628,1,1,,5.75,0.8529411764705882,1.862278737695915
B_OPEN_4_2018-01-08 09:30:00-06:00_Long,B_OPEN_4,Short,Long,1.8726591760299627,0.9669695759519846,0.5116279069767442,2,2,,5.75,1.0,1.295608192698683
A_MID_1_2018-01-09 14:15:00-06:00_Long,A_MID_1,Short,Long,2.9885057471264367,1.5103050861564724,0.17391304347826086,1,1,,7.25,0.6304347826086957,0.8818095345575314
A_MID_2_2018-01-09 14:15:00-06:00_Long,A_MID_2,Short,Long,2.9885057471264367,1.5103050861564724,0.17391304347826086,1,1,,7.25,0.6304347826086957,0.8818095345575314
A_MID_3_2018-01-09 14:15:00-06:00_Long,A_MID_3,Short,Long,2.9885057471264367,1.5103050861564724,0.17391304347826086,1,1,,7.25,0.6304347826086957,0.8818095345575314
A_MID_4_2018-01-09 14:15:00-06:00_Long,A_MID_4,Short,Long,2.9885057471264367,1.5103050861564724,0.17391304347826086,1,1,,7.25,0.6304347826086957,0.8818095345575314
A_MID_4_2018-01-09 15:30:00-06:00_Long,A_MID_4,Short,Long,1.84,0.8299552162963127,0.125,4,4,,0.5,0.2727272727272727,0.07292178803909614
C_EXT_MID_4_2018-01-09 15:30:00-06:00_Long,C_EXT_MID_4,Short,Long,1.84,0.8299552162963127,0.125,4,4,2.75,0.5,0.2727272727272727,0.07292178803909614
A_MID_2_2018-01-10 10:15:00-06:00_Long,A_MID_2,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,,5.5,0.5555555555555556,0.7536985163331168
C_EXT_MID_2_2018-01-10 10:15:00-06:00_Long,C_EXT_MID_2,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,3.25,5.5,0.5555555555555556,0.7536985163331168
A_MID_3_2018-01-10 10:15:00-06:00_Long,A_MID_3,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,,5.5,0.5555555555555556,0.7536985163331168
C_EXT_MID_3_2018-01-10 10:15:00-06:00_Long,C_EXT_MID_3,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,3.25,5.5,0.5555555555555556,0.7536985163331168
A_MID_4_2018-01-10 10:15:00-06:00_Long,A_MID_4,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,,5.5,0.5555555555555556,0.7536985163331168
C_EXT_MID_4_2018-01-10 10:15:00-06:00_Long,C_EXT_MID_4,Short,Long,1.656441717791411,0.6336164505145607,0.18421052631578946,2,2,3.25,5.5,0.5555555555555556,0.7536985163331168
D_OPP_BOS_2018-01-10 10:15:00-06:00_Long,D_OPP_BOS,Short,Long,1.656441717791411,0.6336164505145607,0.42105263157894735,10,10,,6.5,0.6428571428571429,0.7239939004176889
E_MID_BOS_2018-01-10 10:15:00-06:00_Long,E_MID_BOS,Short,Long,1.656441717791411,0.6336164505145607,1.5526315789473684,10,10,,6.5,0.6428571428571429,0.7239939004176889
D_OPP_BOS_2018-01-10 13:00:00-06:00_Long,D_OPP_BOS,Short,Long,2.3913043478260874,1.159298872305834,0.20689655172413793,8,8,,4.5,0.9333333333333333,1.029437948485084
A_MID_2_2018-01-10 13:15:00-06:00_Long,A_MID_2,Short,Long,1.6708860759493671,0.8424481999249889,0.37272727272727274,2,2,,9.0,0.9069767441860465,0.7269048174955249
B_OPEN_2_2018-01-10 13:15:00-06:00_Long,B_OPEN_2,Short,Long,1.6708860759493671,0.8424481999249889,0.09090909090909091,2,2,,9.0,0.9069767441860465,0.7269048174955249
C_EXT_MID_2_2018-01-10 13:15:00-06:00_Long,C_EXT_MID_2,Short,Long,1.6708860759493671,0.8424481999249889,0.37272727272727274,2,2,1.75,9.0,0.9069767441860465,0.7269048174955249
C_EXT_OPEN_2_2018-01-10 13:15:00-06:00_Long,C_EXT_OPEN_2,Short,Long,1.6708860759493671,0.8424481999249889,0.09090909090909091,2,2,1.75,9.0,0.9069767441860465,0.7269048174955249
A_MID_3_2018-01-10 13:15:00-06:00_Long,A_MID_3,Short,Long,1.6708860759493671,0.8424481999249889,0.37272727272727274,2,2,,9.0,0.9069767441860465,0.7269048174955249
B_OPEN_3_2018-01-10 13:15:00-06:00_Long,B_OPEN_3,Short,Long,1.6708860759493671,0.8424481999249889,0.09090909090909091,2,2,,9.0,0.9069767441860465,0.7269048174955249
C_EXT_MID_3_2018-01-10 13:15:00-06:00_Long,C_EXT_MID_3,Short,Long,1.6708860759493671,0.8424481999249889,0.37272727272727274,2,2,1.75,9.0,0.9069767441860465,0.7269048174955249
