architecture,parameter,value,count,folds
DISPLACEMENT_FAILURE_REVERSAL,failure_definition,A_MID_4,3,7
DISPLACEMENT_FAILURE_REVERSAL,failure_definition,D_OPP_BOS,2,7
DISPLACEMENT_FAILURE_REVERSAL,failure_definition,E_OPEN_BOS,1,7
DISPLACEMENT_FAILURE_REVERSAL,failure_definition,B_OPEN_4,1,7
DISPLACEMENT_FAILURE_REVERSAL,entry_model,RECLAIM_RETEST,7,7
DISPLACEMENT_FAILURE_REVERSAL,stop_atr,0.75,6,7
DISPLACEMENT_FAILURE_REVERSAL,stop_atr,1.0,1,7
DISPLACEMENT_FAILURE_REVERSAL,target_r,2.5,6,7
DISPLACEMENT_FAILURE_REVERSAL,target_r,2.0,1,7
DISPLACEMENT_FAILURE_REVERSAL,hold_minutes,45,6,7
DISPLACEMENT_FAILURE_REVERSAL,hold_minutes,60,1,7
