window_id,entry_time_ct,architecture,direction,expected_entry,expected_stop,expected_target,expected_exit_type,displacement_time,reclaim_time
CONTINUATION_LONG,2018-01-03 09:45:00-06:00,MOMENTUM_DISPLACEMENT,Long,6551.25,6546.375631333245,6565.873106000265,TIME,2018-01-03 09:30:00-06:00,
CONTINUATION_LONG,2018-01-04 11:15:00-06:00,MOMENTUM_DISPLACEMENT,Long,6577.0,6570.5729812987365,6596.28105610379,STOP,2018-01-04 11:00:00-06:00,
CONTINUATION_SHORT,2018-01-02 15:30:00-06:00,MOMENTUM_DISPLACEMENT,Short,6496.25,6500.501772099465,6483.494683701606,TIME,2018-01-02 15:00:00-06:00,
CONTINUATION_SHORT,2018-01-05 13:45:00-06:00,MOMENTUM_DISPLACEMENT,Short,6631.25,6635.225219550548,6619.324341348356,STOP,2018-01-05 13:30:00-06:00,
REVERSAL_LONG,2018-01-08 10:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Long,6658.785895674344,6653.741265085166,6671.39747214729,TARGET,2018-01-08 09:30:00-06:00,2018-01-08 09:45:00-06:00
REVERSAL_LONG,2018-01-09 14:45:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Long,6670.25,6664.91388494334,6683.590287641649,STOP,2018-01-09 14:15:00-06:00,2018-01-09 14:30:00-06:00
REVERSAL_SHORT,2018-01-04 11:45:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Short,6580.768064173165,6587.0358124410905,6565.098693503351,TIME,2018-01-04 11:00:00-06:00,2018-01-04 11:15:00-06:00
REVERSAL_SHORT,2018-01-04 15:00:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Short,6585.0,6590.338120930452,6571.654697673871,TIME,2018-01-04 14:15:00-06:00,2018-01-04 14:45:00-06:00
ERA1,2018-01-02 15:30:00-06:00,MOMENTUM_DISPLACEMENT,Short,6496.25,6500.501772099465,6483.494683701606,TIME,,
ERA1,2018-01-03 09:45:00-06:00,MOMENTUM_DISPLACEMENT,Long,6551.25,6546.375631333245,6565.873106000265,TIME,,
ERA2,2021-01-04 10:00:00-06:00,MOMENTUM_DISPLACEMENT,Short,12754.513361391806,12779.049773127444,12680.90412618489,TARGET,,
ERA2,2021-01-04 11:30:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Long,12561.25,12527.928085982883,12644.554785042792,TARGET,,
ERA3,2024-01-02 10:15:00-06:00,MOMENTUM_DISPLACEMENT,Long,16547.404250572312,16520.950541229427,16626.765378600965,TIME,,
ERA3,2024-01-02 12:00:00-06:00,MOMENTUM_DISPLACEMENT,Short,16507.0,16531.217402772018,16434.347791683947,TIME,,
RECENT_2025,2025-01-02 11:30:00-06:00,MOMENTUM_DISPLACEMENT,Short,19887.713004344696,19952.37690265842,19693.721309403525,TIME,,
RECENT_2025,2025-01-02 14:15:00-06:00,MOMENTUM_DISPLACEMENT,Long,19908.0,19847.79526736244,20088.614197912684,TIME,,
RECENT_2026,2026-01-02 09:45:00-06:00,MOMENTUM_DISPLACEMENT,Long,23214.5,23162.240926529812,23371.277220410564,STOP,,
RECENT_2026,2026-01-02 12:15:00-06:00,DISPLACEMENT_FAILURE_REVERSAL,Short,23191.86528669418,23241.474019424415,23067.8434548686,TIME,,
