signal_id,timestamp_ct,bar_index,signal_type,direction,entry_price,open,high,low,close,atr,source_displacement_time,bos_or_reclaim_time,retest_time,stop,target,expiry_time
1,2017-10-02 10:00:00-05:00,68,S,Short,6001.0,6000.25,6003.0,5997.25,6001.0,5.315115779039283,2017-10-02 09:45:00-05:00,2017-10-02 09:45:00-05:00,2017-10-02 10:00:00-05:00,6004.986336834279,5989.040989497162,2017-10-02 11:00:00-05:00
2,2017-10-03 11:15:00-05:00,164,L,Long,5995.75,5997.75,5999.25,5994.25,5995.75,6.36691705895304,2017-10-03 11:00:00-05:00,2017-10-03 11:00:00-05:00,2017-10-03 11:15:00-05:00,5990.974812205785,6010.075563382645,2017-10-03 12:15:00-05:00
3,2017-10-03 12:15:00-05:00,168,RS,Short,5994.538315715068,5994.5,5995.25,5992.5,5994.25,5.644211217220891,2017-10-03 11:00:00-05:00,2017-10-03 12:00:00-05:00,2017-10-03 12:15:00-05:00,5998.771474127984,5983.955419682779,2017-10-03 13:00:00-05:00
4,2017-10-04 10:00:00-05:00,250,L,Long,5991.553896764904,5990.5,5997.75,5990.5,5994.5,5.679041388390197,2017-10-04 09:45:00-05:00,2017-10-04 09:45:00-05:00,2017-10-04 10:00:00-05:00,5987.294615723611,6004.331739888781,2017-10-04 11:00:00-05:00
5,2017-10-04 11:45:00-05:00,257,S,Short,6005.25,6005.5,6007.5,6001.75,6005.25,6.219727513308976,2017-10-04 11:30:00-05:00,2017-10-04 11:30:00-05:00,2017-10-04 11:45:00-05:00,6009.914795634982,5991.255613095055,2017-10-04 12:45:00-05:00
6,2017-10-05 10:30:00-05:00,343,L,Long,6032.144615791485,6030.0,6035.75,6028.25,6032.5,6.521432349504411,2017-10-05 10:15:00-05:00,2017-10-05 10:15:00-05:00,2017-10-05 10:30:00-05:00,6027.253541529357,6046.81783857787,2017-10-05 11:30:00-05:00
7,2017-10-05 13:45:00-05:00,356,L,Long,6055.866750467382,6053.75,6059.5,6052.25,6058.5,6.244825768546532,2017-10-05 13:30:00-05:00,2017-10-05 13:30:00-05:00,2017-10-05 13:45:00-05:00,6051.183131140972,6069.917608446612,2017-10-05 14:45:00-05:00
8,2017-10-06 10:30:00-05:00,434,L,Long,6054.25,6058.5,6058.75,6050.5,6054.25,7.000216011393265,2017-10-06 10:15:00-05:00,2017-10-06 10:15:00-05:00,2017-10-06 10:30:00-05:00,6048.999837991455,6070.000486025635,2017-10-06 11:30:00-05:00
9,2017-10-06 10:45:00-05:00,435,RS,Short,6058.0,6054.5,6058.75,6054.0,6058.0,6.839486296293747,2017-10-06 10:15:00-05:00,2017-10-06 10:30:00-05:00,2017-10-06 10:45:00-05:00,6063.12961472222,6045.17596319445,2017-10-06 11:30:00-05:00
10,2017-10-06 15:00:00-05:00,452,L,Long,6064.5,6067.5,6069.25,6062.5,6064.5,5.788847599185042,2017-10-06 14:45:00-05:00,2017-10-06 14:45:00-05:00,2017-10-06 15:00:00-05:00,6060.1583643006115,6077.524907098166,2017-10-08 17:15:00-05:00
11,2017-10-06 15:30:00-05:00,453,RS,Short,6064.5,6064.25,6065.75,6063.5,6064.5,5.536072770671824,2017-10-06 14:45:00-05:00,2017-10-06 15:00:00-05:00,2017-10-06 15:30:00-05:00,6068.652054578004,6054.11986355499,2017-10-08 17:15:00-05:00
12,2017-10-09 11:30:00-05:00,529,S,Short,6072.25,6072.0,6074.5,6070.5,6072.25,4.510500275676018,2017-10-09 11:15:00-05:00,2017-10-09 11:15:00-05:00,2017-10-09 11:30:00-05:00,6075.632875206757,6062.101374379729,2017-10-09 12:30:00-05:00
13,2017-10-09 14:00:00-05:00,539,S,Short,6064.047120392457,6064.5,6065.25,6055.25,6056.0,4.919596355752737,2017-10-09 13:45:00-05:00,2017-10-09 13:45:00-05:00,2017-10-09 14:00:00-05:00,6067.736817659272,6052.978028592013,2017-10-09 15:00:00-05:00
14,2017-10-10 09:45:00-05:00,613,L,Long,6064.0,6066.0,6067.25,6060.75,6064.0,5.577327311674629,2017-10-10 09:30:00-05:00,2017-10-10 09:30:00-05:00,2017-10-10 09:45:00-05:00,6059.817004516244,6076.548986451268,2017-10-10 10:45:00-05:00
15,2017-10-10 10:15:00-05:00,615,RS,Short,6061.908891035345,6058.75,6065.25,6052.25,6055.5,6.417440386086797,2017-10-10 09:30:00-05:00,2017-10-10 10:00:00-05:00,2017-10-10 10:15:00-05:00,6066.72197132491,6049.876190311432,2017-10-10 11:00:00-05:00
16,2017-10-10 11:45:00-05:00,621,L,Long,6055.0,6056.75,6057.25,6053.5,6055.0,7.338895652073014,2017-10-10 11:30:00-05:00,2017-10-10 11:30:00-05:00,2017-10-10 11:45:00-05:00,6049.495828260945,6071.512515217164,2017-10-10 12:45:00-05:00
17,2017-10-11 10:30:00-05:00,707,S,Short,6067.0,6065.25,6069.25,6065.25,6067.0,5.401843811808197,2017-10-11 10:15:00-05:00,2017-10-11 10:15:00-05:00,2017-10-11 10:30:00-05:00,6071.051382858856,6054.845851423432,2017-10-11 11:30:00-05:00
18,2017-10-11 11:00:00-05:00,709,RL,Long,6069.5319569253825,6069.75,6072.75,6069.25,6069.75,5.189600021406048,2017-10-11 10:15:00-05:00,2017-10-11 10:45:00-05:00,2017-10-11 11:00:00-05:00,6065.639756909328,6079.262456965519,2017-10-11 11:45:00-05:00
19,2017-10-11 13:15:00-05:00,718,L,Long,6073.0,6074.25,6079.25,6068.75,6073.0,4.995707220824481,2017-10-11 13:00:00-05:00,2017-10-11 13:00:00-05:00,2017-10-11 13:15:00-05:00,6069.253219584381,6084.240341246855,2017-10-11 14:15:00-05:00
20,2017-10-12 10:15:00-05:00,797,L,Long,6086.25,6088.0,6088.25,6083.75,6086.25,5.209266091878223,2017-10-12 10:00:00-05:00,2017-10-12 10:00:00-05:00,2017-10-12 10:15:00-05:00,6082.343050431091,6097.970848706726,2017-10-12 11:15:00-05:00
21,2017-10-12 12:15:00-05:00,805,L,Long,6090.0,6090.5,6091.5,6088.25,6090.0,4.926014657347258,2017-10-12 12:00:00-05:00,2017-10-12 12:00:00-05:00,2017-10-12 12:15:00-05:00,6086.30548900699,6101.083532979032,2017-10-12 13:15:00-05:00
22,2017-10-12 12:45:00-05:00,807,RS,Short,6088.014012924675,6087.75,6089.0,6086.25,6087.5,4.7091656994473805,2017-10-12 12:00:00-05:00,2017-10-12 12:30:00-05:00,2017-10-12 12:45:00-05:00,6091.5458871992605,6079.184327238211,2017-10-12 13:30:00-05:00
23,2017-10-13 09:45:00-05:00,886,S,Short,6095.276161060506,6097.25,6100.25,6092.0,6094.75,4.989218723875483,2017-10-13 09:30:00-05:00,2017-10-13 09:30:00-05:00,2017-10-13 09:45:00-05:00,6099.018075103412,6084.050418931786,2017-10-13 10:45:00-05:00
24,2017-10-13 14:45:00-05:00,906,S,Short,6096.0,6097.0,6097.0,6092.5,6096.0,3.9525626757955488,2017-10-13 14:30:00-05:00,2017-10-13 14:30:00-05:00,2017-10-13 14:45:00-05:00,6098.964422006847,6087.10673397946,2017-10-15 17:00:00-05:00
25,2017-10-13 15:30:00-05:00,908,RL,Long,6098.5384522484665,6099.0,6099.5,6098.25,6099.0,3.928485164333917,2017-10-13 14:30:00-05:00,2017-10-13 15:00:00-05:00,2017-10-13 15:30:00-05:00,6095.592088375216,6105.904361931593,2017-10-15 17:15:00-05:00
26,2017-10-16 11:15:00-05:00,983,S,Short,6103.820195886423,6104.75,6105.0,6098.0,6102.25,4.491038197500669,2017-10-16 11:00:00-05:00,2017-10-16 11:00:00-05:00,2017-10-16 11:15:00-05:00,6107.188474534549,6093.715359942046,2017-10-16 12:15:00-05:00
27,2017-10-16 14:45:00-05:00,997,L,Long,6116.5,6115.75,6117.25,6113.5,6116.5,3.9210789014700076,2017-10-16 14:30:00-05:00,2017-10-16 14:30:00-05:00,2017-10-16 14:45:00-05:00,6113.559190823898,6125.322427528307,2017-10-16 17:00:00-05:00
28,2017-10-17 10:00:00-05:00,1069,L,Long,6116.410852467867,6114.5,6119.25,6113.0,6118.25,4.261487201624158,2017-10-17 09:45:00-05:00,2017-10-17 09:45:00-05:00,2017-10-17 10:00:00-05:00,6113.214737066649,6125.999198671521,2017-10-17 11:00:00-05:00
29,2017-10-17 14:45:00-05:00,1088,L,Long,6124.25,6123.25,6125.5,6122.0,6124.25,3.5709264291005987,2017-10-17 14:30:00-05:00,2017-10-17 14:30:00-05:00,2017-10-17 14:45:00-05:00,6121.571805178174,6132.284584465477,2017-10-17 17:00:00-05:00
30,2017-10-18 09:45:00-05:00,1159,L,Long,6120.75,6122.25,6124.75,6120.25,6120.75,4.255258965351852,2017-10-18 09:30:00-05:00,2017-10-18 09:30:00-05:00,2017-10-18 09:45:00-05:00,6117.558555775986,6130.324332672041,2017-10-18 10:45:00-05:00
31,2017-10-18 10:30:00-05:00,1162,RS,Short,6119.75,6118.0,6119.75,6116.75,6119.75,4.318897210961377,2017-10-18 09:30:00-05:00,2017-10-18 10:15:00-05:00,2017-10-18 10:30:00-05:00,6122.989172908221,6111.6520677294475,2017-10-18 11:15:00-05:00
32,2017-10-18 14:45:00-05:00,1179,S,Short,6118.356476396691,6119.5,6120.25,6113.0,6116.75,4.172004887870484,2017-10-18 14:30:00-05:00,2017-10-18 14:30:00-05:00,2017-10-18 14:45:00-05:00,6121.4854800625935,6108.969465398982,2017-10-18 17:00:00-05:00
33,2017-10-19 10:00:00-05:00,1251,L,Long,6081.706411134019,6080.5,6084.0,6078.5,6083.0,9.273817673034094,2017-10-19 09:45:00-05:00,2017-10-19 09:45:00-05:00,2017-10-19 10:00:00-05:00,6074.751047879243,6102.572500898345,2017-10-19 11:00:00-05:00
34,2017-10-19 11:00:00-05:00,1255,RS,Short,6074.75,6073.5,6076.0,6068.0,6074.75,8.891711957505382,2017-10-19 09:45:00-05:00,2017-10-19 10:45:00-05:00,2017-10-19 11:00:00-05:00,6081.418783968129,6058.0780400796775,2017-10-19 11:45:00-05:00
35,2017-10-19 13:45:00-05:00,1266,L,Long,6084.5,6085.75,6086.75,6083.5,6084.5,7.160028166829048,2017-10-19 13:30:00-05:00,2017-10-19 13:30:00-05:00,2017-10-19 13:45:00-05:00,6079.129978874878,6100.610063375365,2017-10-19 14:45:00-05:00
36,2017-10-20 09:45:00-05:00,1341,S,Short,6106.441629117782,6107.25,6110.75,6104.25,6104.75,5.649158192023771,2017-10-20 09:30:00-05:00,2017-10-20 09:30:00-05:00,2017-10-20 09:45:00-05:00,6110.6784977618,6093.731023185729,2017-10-20 10:45:00-05:00
37,2017-10-20 10:45:00-05:00,1345,RL,Long,6112.442044480607,6112.5,6114.0,6111.75,6112.5,5.426127319928959,2017-10-20 09:30:00-05:00,2017-10-20 10:30:00-05:00,2017-10-20 10:45:00-05:00,6108.372448990661,6122.616033205474,2017-10-20 11:30:00-05:00
38,2017-10-20 14:00:00-05:00,1358,S,Short,6113.25,6112.75,6115.5,6111.0,6113.25,4.412373763151421,2017-10-20 13:45:00-05:00,2017-10-20 13:45:00-05:00,2017-10-20 14:00:00-05:00,6116.5592803223635,6103.322159032909,2017-10-20 15:00:00-05:00
39,2017-10-23 11:30:00-05:00,1439,L,Long,6101.25,6102.0,6103.5,6098.75,6101.25,5.494598655390635,2017-10-23 11:15:00-05:00,2017-10-23 11:15:00-05:00,2017-10-23 11:30:00-05:00,6097.129051008457,6113.612846974629,2017-10-23 12:30:00-05:00
40,2017-10-23 14:15:00-05:00,1450,S,Short,6077.644063087062,6079.5,6082.0,6070.5,6073.5,6.447985620139882,2017-10-23 14:00:00-05:00,2017-10-23 14:00:00-05:00,2017-10-23 14:15:00-05:00,6082.480052302167,6063.136095441747,2017-10-23 15:30:00-05:00
41,2017-10-24 15:00:00-05:00,1544,L,Long,6079.0,6080.5,6083.0,6078.25,6079.0,5.8423216181075475,2017-10-24 14:45:00-05:00,2017-10-24 14:45:00-05:00,2017-10-24 15:00:00-05:00,6074.61825878642,6092.145223640742,2017-10-24 17:15:00-05:00
42,2017-10-25 09:45:00-05:00,1614,S,Short,6063.0,6062.0,6066.75,6055.5,6063.0,8.255581485678855,2017-10-25 09:30:00-05:00,2017-10-25 09:30:00-05:00,2017-10-25 09:45:00-05:00,6069.191686114259,6044.424941657223,2017-10-25 10:45:00-05:00
