timestamp,continuation,reversal
2018-02-13 18:15:00+00:00,L,RL
2018-02-23 17:30:00+00:00,S,RS
2018-12-20 17:30:00+00:00,L,RL
2018-12-31 18:45:00+00:00,S,RS
2020-02-26 19:15:00+00:00,L,RL
2021-02-25 18:15:00+00:00,L,RL
2021-04-15 17:15:00+00:00,S,RS
2021-06-30 16:45:00+00:00,L,RL
2021-09-09 17:15:00+00:00,L,RL
2021-09-28 17:30:00+00:00,L,RL
2022-03-03 17:30:00+00:00,S,RS
2022-05-12 16:45:00+00:00,L,RL
2022-08-09 18:30:00+00:00,S,RS
2022-09-08 16:45:00+00:00,L,RL
2022-11-02 17:15:00+00:00,S,RL
2023-07-28 16:45:00+00:00,S,RS
2023-08-31 19:15:00+00:00,L,RL
2023-10-24 17:30:00+00:00,L,RL
2023-10-30 16:30:00+00:00,S,RS
2023-12-08 17:30:00+00:00,L,RL
2024-02-21 18:00:00+00:00,L,RL
2024-02-28 19:15:00+00:00,S,RS
2024-03-04 17:45:00+00:00,S,RS
2024-06-13 16:45:00+00:00,L,RL
2024-07-04 16:30:00+00:00,L,RL
2024-07-12 17:00:00+00:00,L,RL
2024-07-17 17:00:00+00:00,L,RL
2024-07-31 19:30:00+00:00,S,RS
2024-09-10 16:45:00+00:00,L,RL
2025-02-25 20:45:00+00:00,S,RS
2025-07-10 16:30:00+00:00,L,RL
2025-10-10 17:30:00+00:00,L,RL
2025-10-21 17:00:00+00:00,S,RS
2026-02-19 18:15:00+00:00,L,RL
2026-04-10 16:45:00+00:00,S,RS
