signal_id,filled,entry_timestamp,entry_price,exit_timestamp,exit_price,stop_price,result_R,exit_reason,mfe_r,mae_r,bars_in_trade,entry_model,direction,entry_timestamp_sig,bos_timestamp,architecture,event_id,failure_definition,displacement_timestamp,displacement_direction,reclaim_level,marker_bar_timestamp,signal_type,target,stop,implementation,net_R
1,True,2017-10-02 11:30:00-05:00,5974.90516475333,2017-10-02 12:15:00-05:00,5980.0,5969.230803078356,0.8978693179077788,TIME,1.4706209657863578,0.0,3,RECLAIM_RETEST,Long,2017-10-02 11:15:00-05:00,2017-10-02 11:15:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-02 10:45:00-05:00_Long,A_MID_4,2017-10-02 10:45:00-05:00,Short,5974.125,2017-10-02 16:30:00+00:00,RL,5989.091068940764,5969.230803078356,ORIGINAL_PHASE33_BATCH,0.7701016426117958
2,True,2017-10-03 12:15:00-05:00,5994.538315715068,2017-10-03 13:00:00-05:00,5996.25,5998.771474127984,-0.404351578176088,TIME,0.30433912209319225,0.8177544866665015,3,RECLAIM_RETEST,Short,2017-10-03 12:00:00-05:00,2017-10-03 12:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-03 11:00:00-05:00_Short,A_MID_4,2017-10-03 11:00:00-05:00,Long,5995.125,2017-10-03 17:15:00+00:00,RS,5983.955419682778,5998.771474127984,ORIGINAL_PHASE33_BATCH,-0.5756184974078151
3,True,2017-10-06 10:45:00-05:00,6058.0,2017-10-06 11:30:00-05:00,6063.12961472222,6063.12961472222,-0.9999999999999668,STOP,0.9747320745827461,2.0469373566237667,3,RECLAIM_RETEST,Short,2017-10-06 10:30:00-05:00,2017-10-06 10:30:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-06 10:15:00-05:00_Short,A_MID_4,2017-10-06 10:15:00-05:00,Long,6055.625,2017-10-06 15:45:00+00:00,RS,6045.17596319445,6063.12961472222,ORIGINAL_PHASE33_BATCH,-1.1413361508144697
4,True,2017-10-06 15:30:00-05:00,6064.5,2017-10-08 17:00:00-05:00,6068.652054578004,6068.652054578004,-1.000000000000038,STOP,1.2042230914998684,1.3246454006498551,2,RECLAIM_RETEST,Short,2017-10-06 15:00:00-05:00,2017-10-06 15:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-06 14:45:00-05:00_Short,A_MID_4,2017-10-06 14:45:00-05:00,Long,6064.875,2017-10-06 20:30:00+00:00,RS,6054.11986355499,6068.652054578004,ORIGINAL_PHASE33_BATCH,-1.1746123482675122
5,True,2017-10-09 14:30:00-05:00,6059.0,2017-10-09 14:45:00-05:00,6055.138411540349,6055.138411540349,-0.9999999999999427,STOP,1.1653235571369822,1.100583359518261,1,RECLAIM_RETEST,Long,2017-10-09 14:15:00-05:00,2017-10-09 14:15:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-09 14:00:00-05:00_Long,A_MID_4,2017-10-09 14:00:00-05:00,Short,6060.25,2017-10-09 19:30:00+00:00,RL,6068.653971149128,6055.138411540349,ORIGINAL_PHASE33_BATCH,-1.1877465730942451
7,True,2017-10-10 10:15:00-05:00,6061.908891035345,2017-10-10 10:45:00-05:00,6049.876190311432,6066.72197132491,2.5,TARGET,3.4092286120636275,0.07087123923419929,2,RECLAIM_RETEST,Short,2017-10-10 10:00:00-05:00,2017-10-10 10:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-10 09:30:00-05:00_Short,A_MID_4,2017-10-10 09:30:00-05:00,Long,6062.5,2017-10-10 15:15:00+00:00,RS,6049.876190311433,6066.72197132491,ORIGINAL_PHASE33_BATCH,2.3493688124065035
8,True,2017-10-11 11:00:00-05:00,6069.5319569253825,2017-10-11 11:45:00-05:00,6072.25,6065.639756909328,0.6983307803828552,TIME,1.2764100133922602,0.0,3,RECLAIM_RETEST,Long,2017-10-11 10:45:00-05:00,2017-10-11 10:45:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-11 10:15:00-05:00_Long,A_MID_4,2017-10-11 10:15:00-05:00,Short,6069.0,2017-10-11 16:00:00+00:00,RL,6079.262456965519,6065.639756909328,ORIGINAL_PHASE33_BATCH,0.5120608053020514
9,True,2017-10-11 15:30:00-05:00,6082.118026711053,2017-10-11 17:15:00-05:00,6081.5,6085.702304973362,0.17242710130854025,TIME,0.24217615026741937,0.5948124372391299,3,RECLAIM_RETEST,Short,2017-10-11 15:00:00-05:00,2017-10-11 15:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-11 14:45:00-05:00_Short,A_MID_4,2017-10-11 14:45:00-05:00,Long,6082.625,2017-10-11 20:30:00+00:00,RS,6073.157331055281,6085.702304973362,ORIGINAL_PHASE33_BATCH,-0.02984514067220531
10,True,2017-10-12 12:45:00-05:00,6088.014012924675,2017-10-12 13:30:00-05:00,6083.5,6091.5458871992605,1.2780785989910228,TIME,1.3488625455768162,0.6330879588253963,3,RECLAIM_RETEST,Short,2017-10-12 12:30:00-05:00,2017-10-12 12:30:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-12 12:00:00-05:00_Short,A_MID_4,2017-10-12 12:00:00-05:00,Long,6088.5,2017-10-12 17:45:00+00:00,RS,6079.18432723821,6091.5458871992605,ORIGINAL_PHASE33_BATCH,1.072805153892237
11,True,2017-10-13 15:30:00-05:00,6098.5384522484665,2017-10-15 17:00:00-05:00,6105.904361931593,6095.592088375216,2.5,TARGET,2.956711433582349,0.3524521386833433,2,RECLAIM_RETEST,Long,2017-10-13 15:00:00-05:00,2017-10-13 15:00:00-05:00,DISPLACEMENT_FAILURE_REVERSAL,A_MID_4_2017-10-13 14:30:00-05:00_Long,A_MID_4,2017-10-13 14:30:00-05:00,Short,6098.125,2017-10-13 20:30:00+00:00,RL,6105.904361931593,6095.592088375216,ORIGINAL_PHASE33_BATCH,2.253933990780244
