window_id,entry_time_ct,signal_type,direction,expected_entry,expected_stop,expected_target,candidate_id,event_id,conflict_note
RESTORED_RL,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,5969.230803078356,5989.091068940763,3.0,A_MID_4_2017-10-02 10:45:00-05:00_Long,
RESTORED_RL,2017-10-09 19:30:00+00:00,RL,Long,6059.0,6055.138411540349,6068.653971149129,16.0,A_MID_4_2017-10-09 14:00:00-05:00_Long,
RESTORED_RL,2017-10-20 20:45:00+00:00,RL,Long,6109.25,6105.9451339390625,6117.512165152344,42.0,A_MID_4_2017-10-20 14:15:00-05:00_Long,
RESTORED_RS,2017-10-11 20:30:00+00:00,RS,Short,6082.118026711053,6085.702304973362,6073.157331055282,22.0,A_MID_4_2017-10-11 14:45:00-05:00_Short,
RESTORED_RS,2017-10-16 22:30:00+00:00,RS,Short,6118.5,6120.981731154947,6112.295672112633,30.0,A_MID_4_2017-10-16 15:00:00-05:00_Short,
RESTORED_RS,2017-10-17 15:45:00+00:00,RS,Short,6115.7092136035335,6118.899511721783,6107.73346830791,32.0,A_MID_4_2017-10-17 10:00:00-05:00_Short,
COMMON_RL,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,5969.230803078356,5989.091068940763,3.0,A_MID_4_2017-10-02 10:45:00-05:00_Long,
COMMON_RL,2017-10-09 19:30:00+00:00,RL,Long,6059.0,6055.138411540349,6068.653971149129,16.0,A_MID_4_2017-10-09 14:00:00-05:00_Long,
COMMON_RS,2017-10-03 17:15:00+00:00,RS,Short,5994.538315715068,5998.771474127984,5983.955419682779,5.0,A_MID_4_2017-10-03 11:00:00-05:00_Short,
COMMON_RS,2017-10-06 15:45:00+00:00,RS,Short,6058.0,6063.12961472222,6045.17596319445,12.0,A_MID_4_2017-10-06 10:15:00-05:00_Short,
CONTINUATION_L,2017-10-03 16:15:00+00:00,L,Long,5995.75,5990.974812205785,6010.075563382645,,MOMENTUM_DISPLACEMENT_2017-10-03 11:00:00-05:00_Long,
CONTINUATION_L,2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,5987.294615723611,6004.331739888781,,MOMENTUM_DISPLACEMENT_2017-10-04 09:45:00-05:00_Long,
CONTINUATION_S,2017-10-02 15:00:00+00:00,S,Short,6001.0,6004.986336834279,5989.040989497162,,MOMENTUM_DISPLACEMENT_2017-10-02 09:45:00-05:00_Short,
CONTINUATION_S,2017-10-04 16:45:00+00:00,S,Short,6005.25,6009.914795634982,5991.255613095055,,MOMENTUM_DISPLACEMENT_2017-10-04 11:30:00-05:00_Short,
CONT_REV_CONFLICT,2018-02-13 18:15:00+00:00,L,Long,6510.1869057444255,6496.711133595748,6550.614222190458,,MOMENTUM_DISPLACEMENT_2018-02-13 12:00:00-06:00_Long,L+RL
CONT_REV_CONFLICT,2018-02-13 18:15:00+00:00,RL,Long,6505.5619057444255,6492.086133595748,6539.25133611612,317.0,A_MID_4_2018-02-13 11:15:00-06:00_Long,L+RL
CONT_REV_CONFLICT,2018-02-23 17:30:00+00:00,S,Short,6814.5,6823.033890441496,6788.898328675513,,MOMENTUM_DISPLACEMENT_2018-02-23 11:15:00-06:00_Short,S+RS
CONT_REV_CONFLICT,2018-02-23 17:30:00+00:00,RS,Short,6814.5,6823.033890441496,6793.16527389626,353.0,A_MID_4_2018-02-23 10:45:00-06:00_Short,S+RS
CONT_REV_CONFLICT,2018-12-20 17:30:00+00:00,L,Long,6138.0,6109.829490235472,6222.511529293585,,MOMENTUM_DISPLACEMENT_2018-12-20 11:15:00-06:00_Long,L+RL
