signal_id,marker_bar_timestamp,signal_type,direction,entry_price,stop,target,risk_points,atr_at_entry,exit_type,exit_timestamp,exit_price,realized_R,MFE_R,MAE_R,MFE_ATR,MAE_ATR,bars_held,max_forward_range,net_directional_move,total_absolute_move,directional_efficiency,movement_efficiency,fav_excursion_over_total,adv_excursion_over_total,time_near_entry_bars,direction_changes,max_consec_favorable,max_consec_adverse,bars_to_plus_0.25r,bars_to_plus_0.50r,bars_to_plus_1.00r,bars_to_plus_1.50r,bars_to_plus_2.00r,bars_to_target,bars_to_minus_0.25r,bars_to_minus_0.50r,bars_to_minus_1.00r
1,2017-10-02 15:00:00+00:00,S,Short,6001.0,6004.986336834279,5989.040989497162,3.9863368342794274,5.315115779039283,TARGET,2017-10-02 10:30:00-05:00,5989.040989497162,3.0,5.2679943700231675,0.8152848429797759,3.253100291803756,0.5680647355033241,2,16.0,-20.0,20.0,0.0,0.865979381443299,1.05,0.1625,0,1,2,0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,
2,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,5969.230803078356,5989.091068940763,5.674361674973625,7.56581556663104,TIME,2017-10-02 12:15:00-05:00,5980.0,0.8978693179077242,1.4706209657862686,0.0,1.1639509090770332,0.0,3,5.75,5.0948352466703,5.5948352466703,0.9106318635034751,1.0,1.491524750730887,0.0,0,1,1,1,1.0,1.0,1.0,,,,,,
3,2017-10-03 16:15:00+00:00,L,Long,5995.75,5990.974812205785,6010.075563382645,4.775187794214617,6.36691705895304,TIME,2017-10-03 12:15:00-05:00,5994.25,-0.3141237715964441,0.6282475431928882,0.6806015051256289,0.48684407195513496,0.5758111939687902,4,4.5,-1.5,2.5,0.0,0.48,1.2,1.3,2,3,1,3,1.0,1.0,,,,,2.0,2.0,
4,2017-10-03 17:15:00+00:00,RS,Short,5994.538315715068,5998.771474127984,5983.955419682779,4.233158412916055,5.644211217220891,TIME,2017-10-03 13:00:00-05:00,5996.25,-0.4043515781760511,0.30433912209316444,0.8177544866664269,0.23693241686067296,0.6809179793877215,3,3.0,1.7116842849318346,1.7116842849318346,1.0,0.27122436106698217,0.7526596618368036,2.0223848027381353,0,1,1,1,1.0,,,,,,1.0,2.0,
5,2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,5987.294615723611,6004.331739888781,4.259281041292525,5.679041388390197,TARGET,2017-10-04 10:30:00-05:00,6004.331739888781,3.0,3.039504345824473,0.0,2.182256536424846,0.0,2,10.5,10.196103235096416,12.696103235096416,0.8030891877840803,1.0,1.019691081221592,0.0,0,1,1,1,1.0,1.0,1.0,1.0,1.0,2.0,,,
6,2017-10-04 16:45:00+00:00,S,Short,6005.25,6009.914795634982,5991.255613095055,4.664795634981601,6.219727513308976,TARGET,2017-10-04 12:30:00-05:00,5991.255613095055,3.0,4.233840353453747,0.3215574951990188,2.905923759120317,0.24674978343809184,3,15.5,-14.5,14.5,0.0,0.9294117647058823,1.3620689655172413,0.10344827586206896,0,2,3,0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,
7,2017-10-05 15:30:00+00:00,L,Long,6032.144615791485,6027.253541529357,6046.81783857787,4.891074262128313,6.521432349504411,TARGET,2017-10-05 11:15:00-05:00,6046.81783857787,3.0,3.446151766499721,0.5407024407628621,2.4701760961009245,0.41822204902171806,3,12.0,13.855384208514806,14.644615791485194,0.9461077303626313,0.8643786773597336,1.1509611756639608,0.18058621879468156,1,2,2,1,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,
8,2017-10-05 18:45:00+00:00,L,Long,6055.866750467382,6051.183131140972,6069.917608446612,4.683619326409826,6.244825768546532,TIME,2017-10-05 14:45:00-05:00,6061.25,1.1493781106980525,1.8966634377237406,0.07830492655843528,1.4224133955011455,0.05840886619207109,4,6.75,5.3832495326178105,6.8832495326178105,0.7820796713976566,0.9603513008235471,1.290560438136458,0.053281588244659846,0,3,1,1,1.0,1.0,1.0,1.0,,,,,
9,2017-10-06 15:30:00+00:00,L,Long,6054.25,6048.999837991455,6070.000486025635,5.250162008544976,7.000216011393265,TIME,2017-10-06 11:30:00-05:00,6068.0,2.6189668009522356,2.714201957350499,0.2380878909956578,2.063391817342855,0.18151018618460646,4,7.75,13.75,14.75,0.9322033898305084,0.9193548387096774,0.9661016949152542,0.0847457627118644,0,3,2,1,1.0,1.0,2.0,4.0,4.0,,,,
10,2017-10-06 15:45:00+00:00,RS,Short,6058.0,6063.12961472222,6045.17596319445,5.12961472222014,6.839486296293747,STOP,2017-10-06 11:30:00-05:00,6063.12961472222,-1.0,0.9747320745827786,2.0469373566238347,0.7260407447384258,1.5203939706736826,3,7.75,10.0,11.0,0.9090909090909091,0.32258064516129037,0.45454545454545453,0.9545454545454544,1,2,1,2,1.0,1.0,,,,,1.0,2.0,3.0
11,2017-10-06 20:00:00+00:00,L,Long,6064.5,6060.1583643006115,6077.524907098166,4.341635699388462,5.788847599185042,STOP,2017-10-08 17:00:00-05:00,6060.1583643006115,-1.0,1.266803661296294,1.15163969208754,0.9639232514053064,0.8762938649139149,3,10.5,4.25,4.25,1.0,0.5238095238095238,1.2941176470588236,1.1764705882352942,1,2,3,0,1.0,3.0,3.0,,,,3.0,3.0,3.0
12,2017-10-06 20:30:00+00:00,RS,Short,6064.5,6068.652054578004,6054.11986355499,4.1520545780040266,5.536072770671824,STOP,2017-10-08 17:00:00-05:00,6068.652054578004,-1.0,1.2042230914998227,1.3246454006498047,0.8762938649139149,0.9639232514053064,2,10.5,4.25,4.25,1.0,0.4761904761904762,1.1764705882352942,1.2941176470588236,0,1,0,2,2.0,2.0,2.0,,,,1.0,2.0,2.0
13,2017-10-09 16:30:00+00:00,S,Short,6072.25,6075.632875206757,6062.101374379729,3.38287520675658,4.510500275676018,TIME,2017-10-09 12:30:00-05:00,6073.75,-0.4434097944269615,0.517311426831455,0.7390163240449358,0.4207180747781999,0.6159345880665985,4,2.75,1.5,2.5,0.6,0.4117647058823529,0.7,1.0,2,3,1,3,1.0,2.0,,,,,1.0,4.0,
14,2017-10-09 19:00:00+00:00,S,Short,6064.047120392457,6067.736817659272,6052.978028592013,3.689697266814619,4.919596355752737,TIME,2017-10-09 15:00:00-05:00,6064.25,-0.054985434541626785,2.5197515460349718,0.5292790888583686,1.71977355314127,0.36807999891038956,4,8.75,0.2028796075428545,10.297120392457145,0.01970255758993243,0.8264107015517463,0.9028854707057207,0.18965298385492116,1,3,2,2,1.0,1.0,1.0,1.0,1.0,,4.0,4.0,
15,2017-10-09 19:30:00+00:00,RL,Long,6059.0,6055.138411540349,6068.653971149129,3.8615884596511023,5.148784612868432,STOP,2017-10-09 14:45:00-05:00,6055.138411540349,-1.0,1.1653235571370488,1.1005833595183239,0.8324062357431053,0.7861614448684884,1,8.75,3.25,3.25,1.0,0.5142857142857143,1.3846153846153846,1.3076923076923077,0,0,1,0,1.0,1.0,1.0,,,,1.0,1.0,1.0
16,2017-10-10 14:45:00+00:00,L,Long,6064.0,6059.817004516244,6076.548986451268,4.182995483755803,5.577327311674629,STOP,2017-10-10 10:00:00-05:00,6059.817004516244,-1.0,0.3585946974662255,2.0918024018863157,0.25376031995627085,1.4802685330782466,1,10.25,-5.5,5.5,0.0,0.14634146341463414,0.2727272727272727,1.5909090909090908,0,0,0,1,1.0,,,,,,1.0,1.0,1.0
17,2017-10-10 15:15:00+00:00,RS,Short,6061.908891035345,6066.72197132491,6049.876190311432,4.813080289564823,6.417440386086797,TARGET,2017-10-10 10:45:00-05:00,6049.876190311432,2.5,3.4092286120638224,0.07087123923420334,2.3569299120120286,0.05281099701622826,2,13.5,-11.408891035344823,11.408891035344823,0.0,0.9796352856922282,1.4382546896547583,0.02989852068868213,0,1,2,0,1.0,1.0,1.0,2.0,2.0,2.0,,,
18,2017-10-10 16:45:00+00:00,L,Long,6055.0,6049.495828260945,6071.512515217164,5.504171739054982,7.338895652073014,TIME,2017-10-10 12:45:00-05:00,6054.5,-0.09084018880665333,1.5442832097131067,0.22710047201663333,1.1316558585472933,0.16641997919813137,4,9.75,-0.5,14.0,0.0,0.8717948717948718,0.6071428571428571,0.08928571428571429,1,3,1,1,1.0,1.0,1.0,1.0,,,,,
19,2017-10-11 15:30:00+00:00,S,Short,6067.0,6071.051382858856,6054.845851423432,4.051382858856414,5.401843811808197,STOP,2017-10-11 11:00:00-05:00,6071.051382858856,-1.0,0.061707325303382375,1.4192684819777945,0.046996286366679976,1.1079851966013596,2,4.25,2.75,2.75,1.0,0.04166666666666667,0.09090909090909091,2.090909090909091,0,1,0,2,,,,,,,1.0,1.0,2.0
20,2017-10-11 16:00:00+00:00,RL,Long,6069.5319569253825,6065.639756909328,6079.262456965519,3.8922000160546304,5.189600021406048,TIME,2017-10-11 11:45:00-05:00,6072.25,0.6983307803828384,1.2764100133922294,0.0,0.9991729851983913,0.0,3,3.75,2.718043074617526,4.718043074617526,0.5760954344058988,1.0,1.0529880706992627,0.0,0,2,2,1,1.0,1.0,1.0,,,,,,
21,2017-10-11 18:15:00+00:00,L,Long,6073.0,6069.253219584381,6084.240341246855,3.7467804156185593,4.995707220824481,TARGET,2017-10-11 14:15:00-05:00,6084.240341246855,3.0,3.136025786571264,0.6005155761519442,2.30888832569075,0.4552405084573178,4,7.0,8.5,8.5,1.0,0.8392857142857143,1.3823529411764706,0.2647058823529412,0,3,4,0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,
22,2017-10-11 20:30:00+00:00,RS,Short,6082.118026711053,6085.702304973362,6073.157331055282,3.584278262308544,4.779037683077967,TIME,2017-10-11 17:15:00-05:00,6081.5,0.17242710130853697,0.24217615026741474,0.5948124372391186,0.20538994894094284,0.48481632706056077,3,2.25,-0.6180267110530622,2.881973288946938,0.0,0.2893422370176874,0.3011917960454921,0.7397616407909016,0,1,2,1,,,,,,,1.0,2.0,
23,2017-10-12 15:15:00+00:00,L,Long,6086.25,6082.343050431091,6097.970848706726,3.9069495689091127,5.209266091878223,TIME,2017-10-12 11:15:00-05:00,6089.5,0.8318510240989508,2.751507233558068,0.2559541612612157,2.0384558160340407,0.19120338979064352,4,6.75,3.25,10.75,0.3023255813953488,0.9148936170212766,1.0,0.09302325581395349,0,3,3,1,1.0,1.0,1.0,3.0,3.0,,1.0,,
